username	startage	endage
chillie	-2	0
emeliek	-2	0
CB72	-1	0
misssecret	1	5
Puffmajs	1	2
perpa	2	2
syss	2	2
iiidaa	3	3
Proffset	4	13
Donia	4	5
elinos	5	7
kaffekatten	5	12
Phillippa	5	20
Dezzan	6	7
Eveline	6	13
Maja K	6	9
AnnaLind	6	8
NizzY	6	15
Karedo	6	13
Banankakan	6	6
Malou	6	6
denlilla	6	6
flian	7	8
LinnSann	7	9
juliajulia	7	7
honungsgatan	7	7
Engeln	8	10
noni	8	19
Liah	8	17
Poodle	8	11
Maria96	8	8
storstadstjej	9	23
memlan	9	16
Della	9	10
malin10	9	11
Löööv	9	10
EmPet	9	11
Palsternacka	9	18
hejhå	9	14
Daniella01	9	10
Buttercup	9	19
Lisun	10	25
Fido	10	14
Teda	10	14
Malén	10	12
citronella	10	14
Euphoria	10	15
UngMor	10	10
embra	10	11
planerar	10	12
citronisen	10	11
s a r a	10	11
ladymarion	11	14
Hemligtjej24	11	11
Nimsan	11	11
babysoon	11	11
majsan26	11	12
Zatzumaz	11	14
Mamalicious	11	15
Fischer	11	12
TingTing	11	12
felician	11	13
JosefineB	11	11
Fannylovisa	11	11
Majali	11	11
Moonbaby	11	11
Meli	12	18
nuria	12	14
gurkan25	12	15
maddiz	12	15
Bumpy	12	12
Rosenliv	12	12
levandecharader	12	18
längtare	12	12
Moja	12	14
olzzon	12	13
capybara	12	13
MissBeccis	12	15
Mojjans	12	12
fiffilotta	12	15
Emsie	12	13
msRose	12	15
Bebisfeber	12	14
linnann	12	15
SoM	12	12
anniie	12	13
Nilly	12	14
linzen	12	13
Kalaskula	12	12
LyckligaJag	12	13
Imra	12	13
Emmssan	12	12
lolita	12	12
Joy	12	12
Semma	12	12
stara	12	12
LolloN	13	13
Chewie	13	19
Klumpedumpe	13	16
Västeråstjej	13	14
Shoegal	13	14
noraa	13	16
lillasötarara	13	17
Jessi	13	15
JASS	13	19
penelope	13	15
Hallongrottan	13	13
Lokesmamma	13	14
emmmm	13	15
Selmas	13	16
goldfish	13	13
Miao	13	24
Jiji	13	13
confusedgirl	13	14
Eddan	13	14
FIA1	13	18
Minora	13	15
Lillärtan	13	13
Sunka	13	14
norali	13	13
Sarlin	13	16
tvillingen	13	21
Elindahl	13	15
Joka	13	13
holm	13	13
LadyJo	13	13
Fea	13	13
LinaLind	13	23
Lizzyzz	14	15
Cocco	14	20
snaran	14	16
belse	14	20
Medde	14	16
mammatilltindra	14	16
stardust	14	18
Candra	14	18
Firenze	14	28
flikkanS	14	18
ElinOlsson	14	18
gustafssons	14	17
Miila	14	15
Sossie	14	19
LillaÄrtan	14	18
Vanne	14	14
Momin	14	14
Superbruden	14	22
delirium	14	15
jeanettte	14	18
noClue	14	15
Knegarn	14	14
mammatillMilo	14	16
Sabbi	14	18
flawless	14	18
Zabina	14	18
rödarosor	14	14
cassiopeia	14	20
knasen	14	17
Loppan11	14	15
kiwii	14	22
Fridac	14	16
moan	14	17
zem	14	17
M och M	14	17
nims	14	15
Lolinondoda	14	15
EmmyLee	14	14
Jaffa	14	14
Mariina	14	17
VårTur	14	14
ebbe	14	14
miiha	14	14
ElinI	14	14
Str4nger	14	15
Bedan	15	15
Suri	15	20
Hilma	15	16
Samantha	15	15
Diva	15	21
zandrisen	15	19
trollungar	15	20
Bulldozer	15	16
lillkorven	15	19
elegi	15	19
lizzi	15	15
Unique	15	15
Michas	15	20
LinaB	15	16
Kryckan	15	17
Emmixen	15	22
Drake	15	18
jenny24	15	15
ElinMaria	15	17
truckergirl	15	20
felle	15	20
JossanH	15	15
sissig	15	16
Alex26	15	24
Pico	15	19
Joppis	15	18
Joppjopp	15	15
Unikko	15	15
Ellisen	15	16
Jessica1	15	15
villvillvill	15	15
MiaE	15	24
lasueca	15	19
Emem	15	16
Kacka	15	19
Molltroll	15	15
ellan1	15	15
Sommarlycka	15	18
Havssol	15	15
HST	15	16
fruZ	15	15
JennyMaria	15	16
Lillejag	15	15
Liniz	15	15
johannaw	15	15
