speaker	nickyear	profileyear
Beckah82	82	1983
Flisan79	79	1980
mamita64	64	1965
Maddisen80	80	1981
Johan75	75	1976
kate79	79	1980
Anne69	69	1970
AW76	76	1977
Tigra79	79	1980
Carla82	82	1983
Stella 78	78	1979
Kina79	79	1980
olympia71	71	1972
Amanda84	84	1985
Pärlan81	81	1982
Stinis83	83	1984
Pusselbiten86	86	1987
mirre67	67	1968
zitis81	81	1982
c89	89	1970
Vintersol80	80	1981
Loppan84	84	1984
Hoppfull84	84	1985
Sofiech78	78	1979
Jojo 85	85	1986
ollebulle86	86	1987
Thessis77	77	1978
josse83	83	1984
Anna81	81	1982
MajaMaria79	79	1980
kvinna 86	86	1987
Banana82	82	1983
madeleine78	78	1970
annie80	80	1981
Jennypenny83	83	1984
emme 86	86	1987
Plopps80	80	1981
Helene70	70	1971
Puman78	78	1979
Stumpan84	84	1985
Trillian80	80	1986
Cjes83	83	1984
Fe73	73	1974
carrobarro84	84	1985
Mika86	86	1987
plopp76	76	1977
Sunshine78	78	1979
Majsan72	72	1973
sommar 77	77	1978
Camilla85	85	1986
dessan59	59	1960
Lilli77	77	1978
Tussa76	76	1977
Maria70	70	1970
Nyfiken86	86	1987
Solrosen82	82	1983
tilj75	75	1976
Anna65	65	1970
Tida77	77	1978
Ninnis75	75	1976
MrsC74	74	1974
Nemi76	76	1977
bitte67	67	1968
monchichi76	76	1977
april79	79	1980
mamma83	83	1984
Ullegulle78	78	1979
mysan87	87	1970
Melle85	85	1986
Teza73	73	1974
Gravid 89	89	1990
norskan78	78	1979
Lia85	85	1986
Lizzan89	89	1990
MammaMia88	88	1989
Jenny81	81	1982
Matilda86	86	1987
mammiz83	83	1984
habibty81	81	1981
Enya70	70	1971
Johan70	70	1976
Smulan80	80	1970
Anniqa84	84	1985
Lina86	86	1987
nicke nyfiken76	76	1981
Wednesday85	85	1986
Sophie82	82	1983
NILE90	90	1991
Kaa76	76	1977
Katja77	77	1977
star67	67	1968
okt76	76	1977
s89	89	1990
Pillan81	81	1979
yennie84	84	1985
babyboom86	86	1987
Lotten73	73	1974
Indra78	78	1979
Längtan82	82	1983
inga76	76	1977
Helena85	85	1986
solrosen81	81	1982
linnea83	83	1984
Cam82	82	1983
Cat79	79	1980
Mina72	72	1973
Jw83	83	1984
Mymlan80	80	1970
Emma77	77	1978
tjorven80	80	1970
Karla79	79	1980
Lynn84	84	1985
Cattis40	40	1967
Madicken73	73	1974
challis77	77	1970
Jossa82	82	1983
vivi85	85	1986
Norpan81	81	1982
Stella81	81	1982
cocos87	87	1988
goatess82	82	1983
Andréa84	84	1985
Mulle78	78	1979
Nikki81	81	1982
lima76	76	1977
cattis82	82	1970
Louise 77	77	1978
Katta86	86	1970
MissUnderstood80	80	1981
Kristin85	85	1986
Jenny70	70	1970
Petra72	72	1973
Maggi74	74	1975
xandra84	84	1970
Sthlm72	72	1973
ebe91	91	1992
Lima80	80	1981
Jojo77	77	1978
Ebo88	88	1989
Jennsan79	79	1980
lupin84	84	1985
Jeanette81	81	1982
Danne74	74	1970
Carin82	82	1983
mumma84	84	1985
Tulpan78	78	1970
kickan89	89	1970
Ulle 74	74	1975
Sanna86	86	1987
angie91	91	1992
Jill 79	79	1980
Kallemero79	79	1980
Angie99	99	1970
SRMmamma87	87	1988
sjl89	89	1990
Fimpen72	72	1970
majken81	81	1981
M82	82	1983
Snäckan84	84	1985
Mimmi86	86	1987
smulan 75	75	1976
Petter 72	72	1973
Hjärtat78	78	1979
MD77	77	1978
Helle68	68	1969
Sofi 79	79	1980
KajsaKavat82	82	1970
Veronica74	74	1975
Anti75	75	1976
Misspiggy84	84	1970
modesty74	74	1975
mian71	71	1972
Skytten75	75	1970
soffan86	86	1987
HannaS83	83	1984
Bina86	86	1987
vera79	79	1980
mammailund85	85	1986
majo79	79	1980
Jessa76	76	1977
Isola80	80	1981
Alexandra85	85	1986
Mariella81	81	1982
Åja81	81	1982
Mamman88	88	1989
marina 81	81	1970
kvinna79	79	1980
Eleonor86	86	1987
Gummibjörnen88	88	1989
Empan81	81	1982
Tingeling76	76	1977
sanna87	87	1970
Rose77	77	1978
Annika78	78	1979
Pinglan73	73	1974
Katten79	79	1980
Blondie82	82	1983
Johanna77	77	1978
Nea 85	85	1970
Astrid80	80	1981
Emeliie89	89	1990
Adnil76	76	1977
snobben76	76	1977
pinglan77	77	1978
MsM84	84	1985
Bubblan99	99	1970
annelie80	80	1981
Kaos85	85	1986
fia 76	76	1977
Ciccie86	86	1986
tillit71	71	1972
maria77	77	1970
tan73	73	1974
HH78	78	1978
Lelle87	87	1970
annsan82	82	1970
Marre80	80	1981
carola78	78	1979
Maho81	81	1982
hope88	88	1989
Jenkan82	82	1970
Katja80	80	1981
Angel74	74	1970
jenn82	82	1983
Nina75	75	1976
MissMe83	83	1984
JMA84	84	1985
Kirenaj68	68	1970
Sarah81	81	1982
Pion82	82	1983
Elina87	87	1970
Millan91	91	1992
tjorven74	74	1970
Fjärilen72	72	1988
Emelie82	82	1970
asp76	76	1977
johanna85	85	1970
Isabelles85	85	1986
EricaN81	81	1982
jennifer88	88	1989
ser91	91	1992
lia79	79	1980
Fia86	86	1987
Tess71	71	1970
Maria73	73	1970
Emy88	88	1989
Linny79	79	1980
Ja82	82	1983
Bubblan84	84	1971
Selma77	77	1978
emmah83	83	1984
Fru H 81	81	1982
Blomman80	80	1981
solstickan41	41	1967
honeybee78	78	1979
Annisens81	81	1982
Josefin86	86	1970
estrella81	81	1981
irrbloss_83	83	1983
Ung Mamma 91	91	1992
väduren74	74	1975
carro90	90	1991
Svalan75	75	1976
Pia73	73	1973
Fresa78	78	1979
mini75	75	1976
Nanna81	81	1982
Mimmi82	82	1970
erika86	86	1987
challan82	82	1983
Erica 73	73	1974
Jordgubben82	82	1983
Jenny78	78	1979
Zessan84	84	1985
ZezzA80	80	1981
jojjo78	78	1979
LindaS75	75	1976
hoppfull 80	80	1981
Jonna79	79	1980
copycat83	83	1984
Thelma82	82	1983
PeeWee44	44	1972
mandolin76	76	1975
aquarius87	87	1988
Tvåbarnsmamman81	81	1982
Anna76	76	1977
springislovely86	86	1987
sanna77	77	1970
