"lemma"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"	"SVT nyheter okänt datum"
"Σ"	"260786"	"385"	"3262"	"4121"	"5777"	"8601"	"10388"	"10710"	"9924"	"10031"	"15002"	"17935"	"22083"	"25622"	"23712"	"20688"	"18504"	"18947"	"14952"	"13630"	"6507"	"5"
"bli"	"13959"	"25"	"147"	"225"	"314"	"453"	"556"	"557"	"548"	"545"	"802"	"985"	"1211"	"1413"	"1198"	"1138"	"930"	"984"	"783"	"764"	"380"	"1"
"vara"	"11725"	"11"	"111"	"131"	"208"	"317"	"376"	"423"	"359"	"375"	"600"	"773"	"958"	"1171"	"1140"	"1049"	"944"	"1013"	"766"	"681"	"319"	"0"
"få"	"11103"	"12"	"159"	"189"	"266"	"422"	"530"	"497"	"465"	"432"	"641"	"776"	"880"	"1103"	"942"	"855"	"759"	"785"	"637"	"517"	"236"	"0"
"ta"	"7284"	"9"	"85"	"120"	"168"	"229"	"276"	"322"	"281"	"286"	"440"	"518"	"619"	"735"	"682"	"576"	"468"	"455"	"457"	"355"	"203"	"0"
"fortsätta"	"5901"	"9"	"67"	"84"	"90"	"158"	"204"	"229"	"193"	"249"	"352"	"389"	"512"	"609"	"610"	"450"	"449"	"421"	"339"	"340"	"147"	"0"
"ha"	"5367"	"7"	"58"	"79"	"107"	"140"	"194"	"202"	"158"	"172"	"264"	"374"	"461"	"551"	"500"	"436"	"387"	"512"	"351"	"295"	"119"	"0"
"göra"	"5321"	"8"	"47"	"73"	"94"	"121"	"181"	"207"	"178"	"178"	"316"	"362"	"462"	"563"	"499"	"466"	"459"	"341"	"315"	"312"	"139"	"0"
"gå"	"4762"	"4"	"51"	"47"	"84"	"134"	"165"	"166"	"185"	"176"	"288"	"328"	"417"	"501"	"509"	"351"	"367"	"333"	"289"	"253"	"114"	"0"
"kunna"	"4488"	"2"	"48"	"63"	"82"	"116"	"154"	"154"	"156"	"159"	"272"	"312"	"401"	"403"	"393"	"370"	"312"	"391"	"344"	"238"	"118"	"0"
"hålla"	"4201"	"6"	"40"	"58"	"79"	"159"	"118"	"147"	"128"	"170"	"261"	"262"	"376"	"464"	"440"	"366"	"323"	"307"	"215"	"188"	"94"	"0"
"finna"	"3165"	"5"	"33"	"36"	"74"	"98"	"124"	"134"	"106"	"123"	"215"	"266"	"304"	"322"	"322"	"245"	"186"	"202"	"182"	"124"	"64"	"0"
"finnas"	"3131"	"4"	"32"	"36"	"73"	"95"	"123"	"133"	"105"	"118"	"212"	"262"	"301"	"322"	"321"	"243"	"183"	"201"	"182"	"122"	"63"	"0"
"påverka"	"2945"	"2"	"16"	"24"	"44"	"80"	"78"	"97"	"75"	"99"	"161"	"200"	"278"	"296"	"256"	"257"	"220"	"295"	"184"	"199"	"84"	"0"
"ske"	"2846"	"1"	"33"	"40"	"55"	"78"	"130"	"89"	"114"	"107"	"177"	"167"	"246"	"302"	"249"	"217"	"215"	"220"	"173"	"157"	"75"	"1"
"se"	"2697"	"0"	"26"	"18"	"45"	"49"	"78"	"101"	"83"	"103"	"138"	"194"	"221"	"276"	"239"	"199"	"187"	"283"	"199"	"179"	"79"	"0"
"behöva"	"2633"	"2"	"26"	"26"	"29"	"54"	"85"	"80"	"67"	"80"	"107"	"146"	"222"	"249"	"245"	"209"	"224"	"259"	"211"	"221"	"91"	"0"
