verb	signif	freq	max	min	span	s1signif	s1reversed	s1failedmodels	s1asym	s1mid	s1growth	s3signif	s3reversed	s3failedmodels	s3asym	s3mid	s3growth	s5signif	s5reversed	s5failedmodels	s5asym	s5mid	s5growth
planera	1	46827	0.373	0.042	0.331	0.0	true	602	0.923	2027	-5.77	0.033	true	567	0.929	2028	-6.2	0.129	true	525	0.929	2028	-6.54
lova	0	30644	0.487	0.035	0.452	NA			0.0	0	0.0	0.121	false	525	0.4	2011	2.88	0.315	false	498	0.404	2011	3.11
tendera	1	11187	0.167	0	0.167	0.0	true	597	0.971	2034	-5.56	0.245	true	568	0.976	2036	-6.49	0.35	true	566	0.981	2037	-7.4
riskera	1	32748	0.145	0	0.145	0.0	false	769	0.121	2015	1.28	0.33	false	538	0.125	2016	1.61	0.429	false	519	0.131	2016	2.19
fortsätta	1	137762	0.536	0	0.536	0.0	true	618	0.909	2003	4.32	0.034	true	528	0.913	2002	4.74	0.023	true	556	0.924	2001	5.64
komma	1	2519646	0.853	0	0.853	0.0	false	678	0.586	2018	-0.63	0.109	false	533	0.584	2018	-0.78	0.33	false	505	0.582	2019	-1.11
glömma	0	113035	1	0.789	0.211	0.006	false	604	0.939	1998	3.6	0.433	false	562	0.937	1999	3.51	0.429	false	568	0.938	1999	3.48
vägra	0	213407	0.95	0.753	0.197	0.007	false	597	0.889	2000	2.41	NA			0.0	0	0.0	NA			0.0	0	0.0
anse	0	17444	1	0.89	0.11	0.153	false	603	0.954	1994	3.22	0.447	false	553	0.954	1994	3.23	NA			0.0	0	0.0
sluta	1	187244	0.919	0.851	0.068	0.0	true	636	0.142	2001	6.72	0.023	true	584	0.144	2001	7.39	0.121	true	580	0.145	2001	7.91
slippa	0	228226	0.979	0.961	0.019	0.117	true	618	0.036	1991	10.58	0.425	true	570	0.035	1995	6.98	0.419	true	570	0.035	1994	7.58
försöka	2	931759	0.978	0.741	0.237	0.0	false	652	0.956	2029	-5.59	0.0	false	578	0.96	2030	-6.03	0.005	false	556	0.965	2031	-6.57
låtsas	1	9305	0.985	0.926	0.058	0.003	true	567	0.046	2005	1.41	0.478	true	516	0.045	2005	1.36	0.465	true	534	0.045	2005	1.41
lyckas	0	170580	1	0.967	0.033	NA			0.0	0	0.0	NA			0.0	0	0.0	0.366	false	622	0.987	2052	-6.88
hinna	1	231128	1	0.957	0.043	0.0	true	697	0.033	2012	0.48	0.047	true	521	0.033	2012	0.62	0.234	true	516	0.032	2011	0.92
börja	0	1659893	1	0.97	0.03	NA			0.0	0	0.0	0.402	false	598	0.993	1974	5.69	0.383	false	613	0.994	1941	12.05
orka	1	241951	0.994	0.952	0.042	0.0	true	578	0.033	2018	-1.99	0.418	true	535	0.033	2018	-2.06	0.477	true	514	0.033	2018	-2.15
våga	3	172470	0.995	0.974	0.02	0.0	true	594	0.032	2014	6.2	0.0	true	540	0.032	2014	6.23	0.0	true	525	0.032	2014	6.41
behöva	1	779085	1	0.996	0.004	0.0	true	699	0.003	2013	-0.51	0.19	true	533	0.003	2013	-0.68	0.416	true	497	0.003	2013	-1.0
bruka	1	1054833	0.999	0.997	0.002	0.0	true	586	0.002	2005	1.69	0.301	true	529	0.002	2005	1.84	0.41	true	546	0.002	2005	2.05
råka	0	130313	1.0	0.995	0.005	NA			0.0	0	0.0	NA			0.0	0	0.0	0.479	true	514	0.002	2008	0.7
