year	total	v2abs	v2rel
0	0	0	NaN
1645	0	0	NaN
1646	0	0	NaN
1647	0	0	NaN
1648	0	0	NaN
1649	0	0	NaN
1650	0	0	NaN
1651	0	0	NaN
1663	0	0	NaN
1664	0	0	NaN
1665	0	0	NaN
1666	0	0	NaN
1667	0	0	NaN
1670	0	0	NaN
1671	0	0	NaN
1672	0	0	NaN
1673	0	0	NaN
1680	0	0	NaN
1681	0	0	NaN
1682	0	0	NaN
1683	0	0	NaN
1684	0	0	NaN
1685	0	0	NaN
1686	0	0	NaN
1687	0	0	NaN
1688	0	0	NaN
1689	0	0	NaN
1692	0	0	NaN
1693	0	0	NaN
1694	0	0	NaN
1695	0	0	NaN
1696	0	0	NaN
1697	0	0	NaN
1698	0	0	NaN
1699	0	0	NaN
1700	0	0	NaN
1701	0	0	NaN
1702	0	0	NaN
1703	0	0	NaN
1704	0	0	NaN
1705	0	0	NaN
1706	0	0	NaN
1707	0	0	NaN
1708	0	0	NaN
1709	0	0	NaN
1710	0	0	NaN
1711	0	0	NaN
1712	0	0	NaN
1713	0	0	NaN
1714	0	0	NaN
1715	0	0	NaN
1716	0	0	NaN
1720	1	0	0
1721	0	0	NaN
1722	0	0	NaN
1723	0	0	NaN
1724	0	0	NaN
1725	0	0	NaN
1726	0	0	NaN
1727	0	0	NaN
1728	0	0	NaN
1729	0	0	NaN
1730	0	0	NaN
1731	0	0	NaN
1732	0	0	NaN
1733	0	0	NaN
1734	0	0	NaN
1735	0	0	NaN
1736	0	0	NaN
1737	0	0	NaN
1738	0	0	NaN
1739	0	0	NaN
1740	0	0	NaN
1741	0	0	NaN
1742	0	0	NaN
1743	0	0	NaN
1744	0	0	NaN
1745	0	0	NaN
1746	0	0	NaN
1747	0	0	NaN
1748	0	0	NaN
1749	0	0	NaN
1750	0	0	NaN
1751	0	0	NaN
1752	0	0	NaN
1753	0	0	NaN
1754	0	0	NaN
1755	0	0	NaN
1756	1	1	1
1757	0	0	NaN
1758	0	0	NaN
1759	0	0	NaN
1760	0	0	NaN
1761	0	0	NaN
1762	0	0	NaN
1763	1	1	1
1764	0	0	NaN
1765	1	1	1
1766	0	0	NaN
1767	2	2	1
1768	0	0	NaN
1769	0	0	NaN
1770	0	0	NaN
1771	3	3	1
1772	1	1	1
1773	0	0	NaN
1774	0	0	NaN
1775	1	1	1
1776	0	0	NaN
1777	0	0	NaN
1778	1	1	1
1779	3	3	1
1780	0	0	NaN
1781	0	0	NaN
1782	1	1	1
1783	1	1	1
1784	3	3	1
1785	0	0	NaN
1786	2	2	1
1787	0	0	NaN
1788	1	1	1
1789	0	0	NaN
1790	0	0	NaN
1791	1	1	1
1792	1	1	1
1793	0	0	NaN
1794	2	2	1
1795	1	1	1
1796	0	0	NaN
1797	1	1	1
1798	1	1	1
1799	1	1	1
1800	3	3	1
1801	3	2	0.666666666666667
1802	14	1	0.0714285714285714
1803	8	3	0.375
1804	17	4	0.235294117647059
1805	31	8	0.258064516129032
1806	36	4	0.111111111111111
1807	42	4	0.0952380952380952
1808	21	2	0.0952380952380952
1809	28	1	0.0357142857142857
1810	18	2	0.111111111111111
1811	25	5	0.2
1812	14	3	0.214285714285714
1813	12	1	0.0833333333333333
1814	21	5	0.238095238095238
1815	20	8	0.4
1816	34	4	0.117647058823529
1817	26	9	0.346153846153846
1818	23	8	0.347826086956522
1819	39	9	0.230769230769231
1820	36	5	0.138888888888889
1821	23	8	0.347826086956522
1822	30	5	0.166666666666667
1823	42	9	0.214285714285714
1824	21	1	0.0476190476190476
1825	34	4	0.117647058823529
1826	35	8	0.228571428571429
1827	30	3	0.1
1828	41	0	0
1829	39	4	0.102564102564103
1830	45	2	0.0444444444444444
1831	66	1	0.0151515151515152
1832	58	4	0.0689655172413793
