period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2008	Vildrosen	37	Gen2	8.0	6.0	2.0	0.75	0.25
2008	Manchester	38	Gen2	85.0	78.0	7.0	0.9176470588235294	0.08235294117647059
2008	Mara	34	Gen2	3.0	0.0	3.0	0.0	1.0
2006	Jennie med ie	30	Gen2	264.0	7.0	257.0	0.026515151515151516	0.9734848484848485
2009	Jennie med ie	33	Gen2	85.0	5.0	80.0	0.058823529411764705	0.9411764705882353
2007	Nimbus	37	Gen2	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2006	werner	30	Gen2	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2008	Nimbus	38	Gen2	11.0	9.0	2.0	0.8181818181818182	0.18181818181818182
2008	Sally	34	Gen2	8.0	2.0	6.0	0.25	0.75
2011	Emeli	57	Gen1	10.0	4.0	6.0	0.4	0.6
2006	Vildrosen	35	Gen2	9.0	7.0	2.0	0.7777777777777778	0.2222222222222222
2011	Metalmom	30	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Emeli	56	Gen1	18.0	12.0	6.0	0.6666666666666666	0.3333333333333333
2010	gottelina	36	Gen2	2.0	1.0	1.0	0.5	0.5
2008	Emeli	54	Gen1	24.0	21.0	3.0	0.875	0.125
2007	Sally	33	Gen2	2.0	0.0	2.0	0.0	1.0
2010	wilma123	35	Gen2	1.0	0.0	1.0	0.0	1.0
2009	rallarrosen	39	Gen2	4.0	1.0	3.0	0.25	0.75
2014	Emeli	60	Gen1	4.0	2.0	2.0	0.5	0.5
2007	Jennie med ie	31	Gen2	122.0	6.0	116.0	0.04918032786885246	0.9508196721311475
2007	Manchester	37	Gen2	8.0	7.0	1.0	0.875	0.125
2009	Manchester	39	Gen2	94.0	88.0	6.0	0.9361702127659575	0.06382978723404255
2009	Emeli	55	Gen1	14.0	9.0	5.0	0.6428571428571429	0.35714285714285715
2008	Crollan	40	Gen1	2.0	2.0	0.0	1.0	0.0
2007	Vildrosen	36	Gen2	9.0	9.0	0.0	1.0	0.0
2009	Längtande mamma	39	Gen2	10.0	5.0	5.0	0.5	0.5
2011	ForReal	27	Gen3	12.0	5.0	7.0	0.4166666666666667	0.5833333333333334
2010	Manchester	40	Gen2	63.0	55.0	8.0	0.873015873015873	0.12698412698412698
2009	Nimbus	39	Gen2	4.0	1.0	3.0	0.25	0.75
2007	Minnea	37	Gen2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2011	gottelina	37	Gen2	2.0	2.0	0.0	1.0	0.0
2012	Vitsippa	39	Gen2	1.0	0.0	1.0	0.0	1.0
2008	Camarogirl	37	Gen2	4.0	1.0	3.0	0.25	0.75
2011	Kurreburre	33	Gen2	3.0	0.0	3.0	0.0	1.0
2009	Tap dancing mum	39	Gen2	1.0	0.0	1.0	0.0	1.0
2009	Camarogirl	38	Gen2	7.0	2.0	5.0	0.2857142857142857	0.7142857142857143
2008	GoJ	38	Gen2	1.0	0.0	1.0	0.0	1.0
2008	rallarrosen	38	Gen2	9.0	0.0	9.0	0.0	1.0
2008	Boel1	38	Gen2	4.0	2.0	2.0	0.5	0.5
2012	Kurreburre	34	Gen2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2012	Emeli	58	Gen1	10.0	2.0	8.0	0.2	0.8
2007	MIC	22	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Linnis	23	Gen3	2.0	0.0	2.0	0.0	1.0
2008	Ninnie	28	Gen3	1.0	0.0	1.0	0.0	1.0
2014	Heavy	34	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Nimbus	40	Gen2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2011	Nimbus	41	Gen2	2.0	1.0	1.0	0.5	0.5
2009	Diwa	35	Gen2	5.0	1.0	4.0	0.2	0.8
2009	annajo	31	Gen2	9.0	1.0	8.0	0.1111111111111111	0.8888888888888888
2006	Boel1	36	Gen2	3.0	0.0	3.0	0.0	1.0
2010	Längtande mamma	40	Gen2	1.0	1.0	0.0	1.0	0.0
2009	Helle68	40	Gen1	4.0	1.0	3.0	0.25	0.75
2010	Jennie med ie	34	Gen2	62.0	4.0	58.0	0.06451612903225806	0.9354838709677419
2007	Ennna	27	Gen3	1.0	0.0	1.0	0.0	1.0
2008	Multignutten	28	Gen3	4.0	0.0	4.0	0.0	1.0
2011	Manchester	41	Gen2	26.0	22.0	4.0	0.8461538461538461	0.15384615384615385
2014	Vildrosen	43	Gen2	1.0	0.0	1.0	0.0	1.0
2003	Jennie med ie	27	Gen2	8.0	0.0	8.0	0.0	1.0
2017	Regndamen	36	Gen3	2.0	1.0	1.0	0.5	0.5
2009	Kina79	29	Gen3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2007	rallarrosen	37	Gen2	4.0	1.0	3.0	0.25	0.75
2005	Jennie med ie	29	Gen2	135.0	7.0	128.0	0.05185185185185185	0.9481481481481482
2006	MIC	21	Gen3	1.0	1.0	0.0	1.0	0.0
2009	Josefina	39	Gen2	7.0	4.0	3.0	0.5714285714285714	0.42857142857142855
2011	Sally	37	Gen2	2.0	0.0	2.0	0.0	1.0
2007	NiWa	29	Gen2	1.0	0.0	1.0	0.0	1.0
2007	erika86	20	Gen3	4.0	1.0	3.0	0.25	0.75
2009	JAG är BÄST	36	Gen2	37.0	15.0	22.0	0.40540540540540543	0.5945945945945946
2009	mariahammarberg	28	Gen3	5.0	2.0	3.0	0.4	0.6
2009	bripoint	41	Gen1	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2009	Mara	35	Gen2	5.0	0.0	5.0	0.0	1.0
2005	Kuben	30	Gen2	1.0	1.0	0.0	1.0	0.0
2008	Smulan1973	34	Gen2	1.0	1.0	0.0	1.0	0.0
2008	Jennie med ie	32	Gen2	82.0	5.0	77.0	0.06097560975609756	0.9390243902439024
2006	längtaren	36	Gen2	1.0	1.0	0.0	1.0	0.0
2004	Jennie med ie	28	Gen2	29.0	1.0	28.0	0.034482758620689655	0.9655172413793104
2007	challis77	37	Gen2	12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
2005	majsan2	24	Gen3	1.0	0.0	1.0	0.0	1.0
2013	Emeli	59	Gen1	13.0	4.0	9.0	0.3076923076923077	0.6923076923076923
2005	UllaBella	35	Gen2	4.0	1.0	3.0	0.25	0.75
2007	Tonx	37	Gen2	47.0	40.0	7.0	0.851063829787234	0.14893617021276595
2005	Pippi	35	Gen2	1.0	1.0	0.0	1.0	0.0
2005	Vildrosen	34	Gen2	1.0	0.0	1.0	0.0	1.0
2008	marina 81	38	Gen2	17.0	6.0	11.0	0.35294117647058826	0.6470588235294118
2004	Krusmynta	24	Gen3	1.0	0.0	1.0	0.0	1.0
2013	Helle68	44	Gen1	2.0	1.0	1.0	0.5	0.5
2007	Sabineb	27	Gen3	4.0	1.0	3.0	0.25	0.75
2008	Petrellie	34	Gen2	2.0	0.0	2.0	0.0	1.0
2012	Helle68	43	Gen1	2.0	0.0	2.0	0.0	1.0
2011	Helle68	42	Gen1	1.0	1.0	0.0	1.0	0.0
2011	msmalin	29	Gen3	2.0	0.0	2.0	0.0	1.0
2008	Birgitta2	38	Gen2	13.0	2.0	11.0	0.15384615384615385	0.8461538461538461
2011	trettioplus	41	Gen2	70.0	56.0	14.0	0.8	0.2
2019	Liberté	34	Gen3	20.0	0.0	20.0	0.0	1.0
2008	bellanbus	38	Gen2	11.0	5.0	6.0	0.45454545454545453	0.5454545454545454
2008	Kajsala	47	Gen1	4.0	3.0	1.0	0.75	0.25
2009	Cacto	39	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Missermajser	36	Gen2	2.0	0.0	2.0	0.0	1.0
2008	Smetanina	31	Gen2	8.0	1.0	7.0	0.125	0.875
2009	hymafr	44	Gen1	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
2010	hymafr	45	Gen1	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
2012	Nemi76	35	Gen2	5.0	0.0	5.0	0.0	1.0
2010	Fembarnsmorsan	38	Gen2	1.0	1.0	0.0	1.0	0.0
2008	Mummy	38	Gen2	16.0	0.0	16.0	0.0	1.0
2008	hymafr	43	Gen1	14.0	5.0	9.0	0.35714285714285715	0.6428571428571429
2011	mandelblomma	21	Gen4	28.0	13.0	15.0	0.4642857142857143	0.5357142857142857
2009	SaraSara	33	Gen2	1.0	0.0	1.0	0.0	1.0
2009	mamita64	44	Gen1	40.0	7.0	33.0	0.175	0.825
2011	Birgitta2	41	Gen2	1.0	0.0	1.0	0.0	1.0
2014	k ek84	29	Gen3	1.0	0.0	1.0	0.0	1.0
2009	Frank	39	Gen2	12.0	9.0	3.0	0.75	0.25
2009	Miss Cee	28	Gen3	27.0	12.0	15.0	0.4444444444444444	0.5555555555555556
2010	Saaaraa	40	Gen2	7.0	1.0	6.0	0.14285714285714285	0.8571428571428571
2009	antitanten	54	Gen1	7.0	2.0	5.0	0.2857142857142857	0.7142857142857143
2018	mastress	56	Gen1	1.0	1.0	0.0	1.0	0.0
2012	Drake M	34	Gen2	2.0	1.0	1.0	0.5	0.5
2021	Tomelilla15	51	Gen2	2.0	1.0	1.0	0.5	0.5
2011	ekim	28	Gen3	4.0	2.0	2.0	0.5	0.5
2012	sportpappa	34	Gen2	9.0	2.0	7.0	0.2222222222222222	0.7777777777777778
2017	TheDummy	34	Gen3	7.0	2.0	5.0	0.2857142857142857	0.7142857142857143
2017	Domesticgoddess	41	Gen2	10.0	0.0	10.0	0.0	1.0
2020	Tecum	63	Gen1	31.0	4.0	27.0	0.12903225806451613	0.8709677419354839
2015	Fialoppa	49	Gen1	1.0	0.0	1.0	0.0	1.0
2022	Kvittning	52	Gen2	3.0	0.0	3.0	0.0	1.0
2012	Butterscotch	37	Gen2	18.0	1.0	17.0	0.05555555555555555	0.9444444444444444
2015	XEmmabus	45	Gen2	2.0	1.0	1.0	0.5	0.5
2012	Nikis	24	Gen3	2.0	2.0	0.0	1.0	0.0
2012	Ripper500	28	Gen3	7.0	2.0	5.0	0.2857142857142857	0.7142857142857143
2011	Pumpkin	26	Gen3	1.0	1.0	0.0	1.0	0.0
2013	riboflavin	28	Gen3	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2016	carpediem86	29	Gen3	2.0	1.0	1.0	0.5	0.5
2015	sportpappa	37	Gen2	14.0	4.0	10.0	0.2857142857142857	0.7142857142857143
2011	jådåsåatt	27	Gen3	21.0	5.0	16.0	0.23809523809523808	0.7619047619047619
2017	nnnnnnnn	47	Gen2	24.0	4.0	20.0	0.16666666666666666	0.8333333333333334
2012	Jag1977	34	Gen2	20.0	3.0	17.0	0.15	0.85
2020	Elviram	50	Gen2	1.0	1.0	0.0	1.0	0.0
2016	sportpappa	38	Gen2	14.0	2.0	12.0	0.14285714285714285	0.8571428571428571
2011	Annsofie82	28	Gen3	1.0	1.0	0.0	1.0	0.0
2012	riboflavin	27	Gen3	10.0	4.0	6.0	0.4	0.6
2015	Tacksamt	37	Gen2	1.0	0.0	1.0	0.0	1.0
2012	Johan70	36	Gen2	20.0	18.0	2.0	0.9	0.1
2009	LinaP	39	Gen2	2.0	1.0	1.0	0.5	0.5
2007	Atamon	35	Gen2	51.0	6.0	45.0	0.11764705882352941	0.8823529411764706
2008	carrobarro84	23	Gen3	3.0	0.0	3.0	0.0	1.0
2004	Jossebell	35	Gen1	15.0	14.0	1.0	0.9333333333333333	0.06666666666666667
2008	Minimum	38	Gen2	4.0	1.0	3.0	0.25	0.75
2008	Beckah82	25	Gen3	73.0	52.0	21.0	0.7123287671232876	0.2876712328767123
2008	MajaMaria79	28	Gen3	5.0	4.0	1.0	0.8	0.2
2008	delifi2	33	Gen2	4.0	0.0	4.0	0.0	1.0
2009	cherryblossom	26	Gen3	1.0	1.0	0.0	1.0	0.0
2006	Supermamsen	21	Gen3	5.0	2.0	3.0	0.4	0.6
2011	GirlieGirl	25	Gen3	2.0	0.0	2.0	0.0	1.0
2009	Malo	27	Gen3	3.0	0.0	3.0	0.0	1.0
2006	LinaP	36	Gen2	17.0	6.0	11.0	0.35294117647058826	0.6470588235294118
2011	riboflavin	26	Gen3	33.0	10.0	23.0	0.30303030303030304	0.696969696969697
2008	Klantus	26	Gen3	1.0	0.0	1.0	0.0	1.0
2008	hot fuss	28	Gen3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2006	Jossebell	37	Gen1	19.0	18.0	1.0	0.9473684210526315	0.05263157894736842
2008	Saaaraa	38	Gen2	2.0	0.0	2.0	0.0	1.0
2007	sheeba	37	Gen2	37.0	7.0	30.0	0.1891891891891892	0.8108108108108109
2012	Skit i det du	42	Gen2	18.0	5.0	13.0	0.2777777777777778	0.7222222222222222
2011	Lavish	25	Gen3	48.0	35.0	13.0	0.7291666666666666	0.2708333333333333
2006	Moomin	24	Gen3	62.0	44.0	18.0	0.7096774193548387	0.2903225806451613
2011	MrsHW	24	Gen3	3.0	0.0	3.0	0.0	1.0
2011	Natli	26	Gen3	1.0	0.0	1.0	0.0	1.0
2007	Mina72	34	Gen2	4.0	0.0	4.0	0.0	1.0
2011	Jordgubbssmak	43	Gen1	8.0	0.0	8.0	0.0	1.0
2009	Mummy	39	Gen2	18.0	3.0	15.0	0.16666666666666666	0.8333333333333334
2010	Rae	35	Gen2	3.0	0.0	3.0	0.0	1.0
2007	LaFontaine	22	Gen3	5.0	1.0	4.0	0.2	0.8
2012	ToK	23	Gen3	4.0	0.0	4.0	0.0	1.0
2007	karinagumman	28	Gen2	8.0	6.0	2.0	0.75	0.25
2008	TigerLinn	22	Gen3	6.0	0.0	6.0	0.0	1.0
2009	Damien och Adrian	36	Gen2	10.0	1.0	9.0	0.1	0.9
2007	gladis	37	Gen2	1.0	1.0	0.0	1.0	0.0
2011	Neith	26	Gen3	1.0	0.0	1.0	0.0	1.0
2007	junimagi	25	Gen3	18.0	3.0	15.0	0.16666666666666666	0.8333333333333334
2009	Rae	34	Gen2	7.0	4.0	3.0	0.5714285714285714	0.42857142857142855
2009	EmmAhh	22	Gen3	1.0	1.0	0.0	1.0	0.0
2004	Mamba	19	Gen3	7.0	4.0	3.0	0.5714285714285714	0.42857142857142855
