year	c_to_c	c_to_i	i_to_c	i_to_i	n_to_c	n_to_i
2000	2.0	0.0	0.0	0.0	4.0	1.0
2001	0.0	0.0	0.0	0.0	2.0	0.0
2002	3.0	0.0	0.0	0.0	3.0	2.0
2003	0.0	0.0	0.0	0.0	12.0	2.0
2004	14.0	0.0	0.0	0.0	45.0	5.0
2005	132.0	2.0	0.0	0.0	165.0	11.0
2006	237.0	2.0	0.0	0.0	398.0	25.0
2007	647.0	3.0	1.0	0.0	678.0	15.0
2008	617.0	27.0	15.0	6.0	837.0	46.0
2009	802.0	35.0	20.0	3.0	1343.0	72.0
2010	1754.0	194.0	71.0	24.0	2134.0	284.0
2011	1529.0	424.0	283.0	235.0	1868.0	761.0
2012	504.0	442.0	335.0	524.0	1203.0	1188.0
2013	399.0	443.0	381.0	805.0	987.0	1442.0
2014	183.0	461.0	458.0	2540.0	556.0	2893.0
2015	114.0	311.0	328.0	2944.0	262.0	2636.0
2016	42.0	231.0	235.0	2367.0	208.0	2855.0
2017	6.0	112.0	83.0	1790.0	119.0	2363.0
2018	46.0	166.0	214.0	2591.0	180.0	2954.0
2019	15.0	121.0	130.0	3083.0	143.0	3241.0
2020	18.0	91.0	127.0	3239.0	105.0	3605.0
2021	4.0	157.0	139.0	4354.0	116.0	3850.0
2022	12.0	232.0	201.0	5328.0	135.0	4516.0
