ID	Verb	Category_SAG	Att_present_SAG	Comment_SAG	Category_Lagervall	Att_present_Lagervall	Att_omission_Lagervall	Category_Bylin	Att_present_Bylin	Att_omission_Bylin	Category_Mjöberg	Att-present_Mjöberg	Category_Own	Variation_reported	Sample_Narrow_1	Sample_Narrow_2	Att_present_Familjeliv_2009	Att_Familjeliv_trend	Familjeliv_data
ID186	acceptera	Värdering	Yes										Value	No	Include	Include	96%	stable	
ID142	äga	Deontisk	Yes										Modal	No	Include	Include	13%		
ID187	älska	Värdering	Yes										Value	No	Include	Include			
ID36	ämna	Intentionell	No		modalliknande_verb	8.1%	91.9%				ingen	Optional	Intentional	Yes	Include	Include			
ID45	anse	Intentionell	yes			10.0%							Intentional	Yes	Include	Include	7%	stable	
ID20	avböja	Initiativ	Yes								ingen		Initiative	No	Include	Include	95%	stable	little
ID31	avse	Intentionell	Yes										Intentional	No	Include	Include	68%	stable	
ID183	avsky	Värdering	Yes										Value	No	Include	Include	98%	stable	
ID139	befinnas	Epistemic	No										Modal	No	Include	Include	NaN	NaN	
ID7	begynna										ingen	Optional	Aspectual	Yes	Include	Include	NaN	NaN	
ID47	behaga	Intentionell	Optional										Intentional	Yes	Include	Include	19%	stable	
ID144	behöva	Epistemic/Deontisk	No		modalliknande_verb	0.1%	99.9%				modala_hjälpverb_frändskap	No_but_possible	Modal	Yes	Include	Include	0%	stable	
ID39	besluta	Intentionell	Optional								ingen	Optional	Intentional	Yes	Include	Include	96%	stable	
ID126	böra	Deontisk	No		centrala_modala_hjälpverb	0.0%	100.0%				modala_hjälpverb_trängre_mening	No_without_exception	Modal	No	Include	Include			
ID4	börja	Aktionell	Optional		modalliknande_verb	2.3%	97.7%	aspektuell	2%	98%	modala_hjälpverb_frändskap	No_but_possible	Aspectual	Yes	Include	Include	1%	stable	
ID3	bruka	Aktionell	No		modalliknande_verb	0.1%	99.9%	aspektuell	0%	100%	modala_hjälpverb_frändskap	No_but_possible	Aspectual	Yes	Include	Include	0%	stable	
ID32	diskutera	Intentionell	Yes										Intentional	No	Include	Include	80%	stable	
ID133	få	Deontisk	No	"vara tillåtet att, måste"	övriga_modala_verb	1.0%	99.0%				ingen	No_without_exception	Modal	No	Include	Include			
