verb	freq	jaggedness
anse	17296.0	5.670381799
avse	2947.0	4.122424813
behaga	16412.0	4.430585131
behöva	770875.0	4.582093279
besluta	3869.0	4.102269845
bruka	1049629.0	4.157559346
börja	1652378.0	1.798054548
fortsätta	136437.0	1.66239857
förmå	3374.0	4.251972839
försöka	924745.0	1.230678554
glömma	112680.0	3.67949207
hinna	230378.0	2.859107516
hota	4557.0	6.097978028
idas	4128.0	5.559596311
komma	2676420.0	1.396520795
lova	30545.0	6.224694679
lyckas	169289.0	3.185167694
låtsas	9079.0	4.899172701
orka	240888.0	3.529646448
planera	46610.0	4.476109026
riskera	32256.0	4.095485083
råka	129308.0	5.520553154
slippa	227375.0	3.866590938
sluta	245858.0	2.21784427
tendera	11012.0	3.905897908
torde	6238.0	NaN
vägra	212118.0	2.07938817
våga	171107.0	5.064016884
