post_year	username	age	agebin	total	v1abs	v2abs	v3abs	v1rel	v2rel	v3rel
2012	1022	44	40--49	218	162	53	3	0.7431192661	0.2431192661	0.0137614679
2013	1022	45	40--49	46	33	13	0	0.7173913043	0.2826086957	0
2007	1973	39	30--39	15	5	1	9	0.3333333333	0.0666666667	0.6
2006	1977	38	30--39	13	11	1	1	0.8461538462	0.0769230769	0.0769230769
2011	47705	41	40--49	15	11	4	0	0.7333333333	0.2666666667	0
2020	170909	52	50--59	23	21	2	0	0.9130434783	0.0869565217	0
2015	191919	47	40--49	15	8	0	7	0.5333333333	0	0.4666666667
2016	191919	48	40--49	54	42	2	10	0.7777777778	0.037037037	0.1851851852
2017	191919	49	40--49	11	8	0	3	0.7272727273	0	0.2727272727
2005	1980 längtar	26	20--29	33	21	12	0	0.6363636364	0.3636363636	0
2006	1980 längtar	27	20--29	22	12	10	0	0.5454545455	0.4545454545	0
2007	1980 längtar	28	20--29	16	9	7	0	0.5625	0.4375	0
2008	1980 längtar	29	20--29	10	8	2	0	0.8	0.2	0
2010	1Barn	42	40--49	128	121	7	0	0.9453125	0.0546875	0
2009	2babiesmom	28	20--29	17	13	4	0	0.7647058824	0.2352941176	0
2004	3barnsmor	36	30--39	10	0	0	10	0	0	1
2009	3barnsmor	41	40--49	26	3	0	23	0.1153846154	0	0.8846153846
2010	3barnsmor	42	40--49	25	0	0	25	0	0	1
2011	3barnsmor	43	40--49	69	0	0	69	0	0	1
2010	3way	22	20--29	505	479	25	1	0.9485148515	0.0495049505	0.001980198
2003	5 barn Waldenryd	29	20--29	14	14	0	0	1	0	0
2006	5 barnsmamman	29	20--29	26	0	0	26	0	0	1
2009	5 barnsmamman	32	30--39	24	2	0	22	0.0833333333	0	0.9166666667
2011	5 barnsmamman	34	30--39	26	0	0	26	0	0	1
2008	5barnsmamman	31	30--39	66	57	9	0	0.8636363636	0.1363636364	0
2009	5barnsmamman	32	30--39	31	22	9	0	0.7096774194	0.2903225806	0
2010	5barnsmamman	33	30--39	13	12	1	0	0.9230769231	0.0769230769	0
2010	737 dagar	26	20--29	14	14	0	0	1	0	0
2011	737 dagar	27	20--29	34	34	0	0	1	0	0
2014	737 dagar	30	30--39	12	12	0	0	1	0	0
2008	81missan	28	20--29	11	2	0	9	0.1818181818	0	0.8181818182
2009	83an	27	20--29	14	14	0	0	1	0	0
2011	89Mamma10o12	23	20--29	17	12	1	4	0.7058823529	0.0588235294	0.2352941176
2013	8airam8	35	30--39	17	15	2	0	0.8823529412	0.1176470588	0
2016	8airam8	38	30--39	29	25	3	1	0.8620689655	0.1034482759	0.0344827586
2017	8airam8	39	30--39	54	45	9	0	0.8333333333	0.1666666667	0
2018	8airam8	40	40--49	14	11	3	0	0.7857142857	0.2142857143	0
2019	8airam8	41	40--49	14	10	4	0	0.7142857143	0.2857142857	0
2006	A b C d E	38	30--39	25	20	5	0	0.8	0.2	0
2014	A n n e L i e	31	30--39	19	9	0	10	0.4736842105	0	0.5263157895
2012	AAEV	27	20--29	14	9	0	5	0.6428571429	0	0.3571428571
2008	Aaglars	39	30--39	34	31	2	1	0.9117647059	0.0588235294	0.0294117647
2009	Aaglars	40	40--49	19	15	1	3	0.7894736842	0.0526315789	0.1578947368
2010	Aakashan	42	40--49	32	6	5	21	0.1875	0.15625	0.65625
2011	Aakashan	43	40--49	22	4	2	16	0.1818181818	0.0909090909	0.7272727273
2015	AAke	30	30--39	69	0	0	69	0	0	1
2008	Aamamman	35	30--39	17	17	0	0	1	0	0
2018	Aamon	27	20--29	46	38	7	1	0.8260869565	0.152173913	0.0217391304
2019	Aamon	28	20--29	45	37	7	1	0.8222222222	0.1555555556	0.0222222222
2020	Aamon	29	20--29	10	7	2	1	0.7	0.2	0.1
2006	aanna	38	30--39	12	8	4	0	0.6666666667	0.3333333333	0
2010	AaronElina	29	20--29	18	7	0	11	0.3888888889	0	0.6111111111
2015	Ab imo pectore	33	30--39	16	0	0	16	0	0	1
2011	abinito	35	30--39	14	9	5	0	0.6428571429	0.3571428571	0
2008	Ablan	24	20--29	55	49	5	1	0.8909090909	0.0909090909	0.0181818182
2009	Ablan	25	20--29	57	47	9	1	0.8245614035	0.1578947368	0.0175438596
2017	absalon	49	40--49	59	44	13	2	0.7457627119	0.2203389831	0.0338983051
2012	abuelita	63	>60	125	118	6	1	0.944	0.048	0.008
2007	Acantha	33	30--39	22	19	2	1	0.8636363636	0.0909090909	0.0454545455
2008	Acantha	34	30--39	11	8	3	0	0.7272727273	0.2727272727	0
2012	Acelise	30	30--39	355	289	66	0	0.814084507	0.185915493	0
2011	Adidas16	24	20--29	22	19	2	1	0.8636363636	0.0909090909	0.0454545455
2010	Adnil76	35	30--39	11	7	4	0	0.6363636364	0.3636363636	0
2009	Adoniram	33	30--39	25	24	1	0	0.96	0.04	0
2010	Adoniram	34	30--39	16	13	3	0	0.8125	0.1875	0
2011	Adoniram	35	30--39	15	13	2	0	0.8666666667	0.1333333333	0
2008	adromina	33	30--39	12	9	3	0	0.75	0.25	0
2009	Adut 27	26	20--29	34	28	6	0	0.8235294118	0.1764705882	0
2010	Adut 27	27	20--29	14	9	5	0	0.6428571429	0.3571428571	0
2011	Adut 27	28	20--29	12	8	4	0	0.6666666667	0.3333333333	0
2013	Adut 27	30	30--39	17	10	7	0	0.5882352941	0.4117647059	0
2010	Afrodisiac	33	30--39	10	9	1	0	0.9	0.1	0
2011	Afrodisiac	34	30--39	26	23	3	0	0.8846153846	0.1153846154	0
2011	Afterlife	32	30--39	67	54	13	0	0.8059701493	0.1940298507	0
2012	Afterlife	33	30--39	496	392	104	0	0.7903225806	0.2096774194	0
2013	Afterlife	34	30--39	13	12	1	0	0.9230769231	0.0769230769	0
2014	Afterlife	35	30--39	11	7	4	0	0.6363636364	0.3636363636	0
2015	Afterlife	36	30--39	17	15	2	0	0.8823529412	0.1176470588	0
2017	Afterlife	38	30--39	106	85	21	0	0.8018867925	0.1981132075	0
2018	Afterlife	39	30--39	103	87	16	0	0.8446601942	0.1553398058	0
2020	Afterlife	41	40--49	11	5	6	0	0.4545454545	0.5454545455	0
2007	Agapi	21	20--29	384	355	3	26	0.9244791667	0.0078125	0.0677083333
2008	Agapi	22	20--29	551	518	1	32	0.9401088929	0.001814882	0.058076225
2009	Agapi	23	20--29	199	188	1	10	0.9447236181	0.0050251256	0.0502512563
2010	Agapi	24	20--29	144	126	0	18	0.875	0	0.125
2011	Agapi	25	20--29	94	85	0	9	0.9042553191	0	0.0957446809
2012	Agapi	26	20--29	186	172	0	14	0.9247311828	0	0.0752688172
2013	Agapi	27	20--29	495	442	0	53	0.8929292929	0	0.1070707071
2014	Agapi	28	20--29	224	182	0	42	0.8125	0	0.1875
2015	Agapi	29	20--29	23	19	0	4	0.8260869565	0	0.1739130435
2009	Agent 355	36	30--39	15	11	4	0	0.7333333333	0.2666666667	0
2010	Agent 355	37	30--39	19	13	6	0	0.6842105263	0.3157894737	0
2011	Agent 355	38	30--39	10	7	2	1	0.7	0.2	0.1
2007	Agnes mamma	39	30--39	21	0	21	0	0	1	0
2008	Agnes mamma	40	40--49	32	4	28	0	0.125	0.875	0
2006	agtiwi	28	20--29	53	47	0	6	0.8867924528	0	0.1132075472
2007	agtiwi	29	20--29	35	27	0	8	0.7714285714	0	0.2285714286
2008	agtiwi	30	30--39	42	40	0	2	0.9523809524	0	0.0476190476
2011	agtiwi	33	30--39	104	89	0	15	0.8557692308	0	0.1442307692
2007	Ahdela	30	30--39	12	6	6	0	0.5	0.5	0
2008	Ahdela	31	30--39	24	11	13	0	0.4583333333	0.5416666667	0
2009	Ahdela	32	30--39	11	11	0	0	1	0	0
2010	Ahdela	33	30--39	20	19	1	0	0.95	0.05	0
2008	ahh	20	20--29	10	5	5	0	0.5	0.5	0
2008	aiight	40	40--49	17	16	0	1	0.9411764706	0	0.0588235294
2008	Airona	27	20--29	11	5	6	0	0.4545454545	0.5454545455	0
2008	Aisha	42	40--49	21	12	4	5	0.5714285714	0.1904761905	0.2380952381
2009	Aiva	28	20--29	19	5	0	14	0.2631578947	0	0.7368421053
2010	Aiva	29	20--29	15	2	0	13	0.1333333333	0	0.8666666667
2011	Aiva	30	30--39	34	1	0	33	0.0294117647	0	0.9705882353
2004	Aiwendil	18	<20	91	8	0	83	0.0879120879	0	0.9120879121
2005	Aiwendil	19	<20	15	1	0	14	0.0666666667	0	0.9333333333
2009	Aiwendil	23	20--29	36	12	0	24	0.3333333333	0	0.6666666667
2010	Aiyana	49	40--49	13	9	4	0	0.6923076923	0.3076923077	0
2011	Aiyana	50	50--59	18	9	9	0	0.5	0.5	0
2013	Aiyana	52	50--59	29	24	5	0	0.8275862069	0.1724137931	0
2014	Aiyana	53	50--59	41	29	11	1	0.7073170732	0.2682926829	0.0243902439
2015	Aiyana	54	50--59	53	39	13	1	0.7358490566	0.2452830189	0.0188679245
2016	Aiyana	55	50--59	13	10	3	0	0.7692307692	0.2307692308	0
2017	Aiyana	56	50--59	54	29	25	0	0.537037037	0.462962963	0
2018	Aiyana	57	50--59	92	57	32	3	0.6195652174	0.347826087	0.0326086957
2019	Aiyana	58	50--59	65	41	24	0	0.6307692308	0.3692307692	0
2007	Åja81	27	20--29	26	0	1	25	0	0.0384615385	0.9615384615
2010	Åja81	30	30--39	77	8	0	69	0.1038961039	0	0.8961038961
2011	Åja81	31	30--39	97	25	0	72	0.2577319588	0	0.7422680412
2009	ajkw	21	20--29	13	5	3	5	0.3846153846	0.2307692308	0.3846153846
2008	ajmaj	35	30--39	25	19	3	3	0.76	0.12	0.12
2010	akademikern	42	40--49	14	8	6	0	0.5714285714	0.4285714286	0
2009	Akilla	28	20--29	74	58	13	3	0.7837837838	0.1756756757	0.0405405405
2010	Akilla	29	20--29	13	8	5	0	0.6153846154	0.3846153846	0
2007	Akina	39	30--39	15	8	1	6	0.5333333333	0.0666666667	0.4
2016	Akira Öken	36	30--39	12	10	2	0	0.8333333333	0.1666666667	0
2017	Akira Öken	37	30--39	36	32	4	0	0.8888888889	0.1111111111	0
2018	Akira Öken	38	30--39	140	111	22	7	0.7928571429	0.1571428571	0.05
2019	Akira Öken	39	30--39	50	37	10	3	0.74	0.2	0.06
2020	Akira Öken	40	40--49	31	25	5	1	0.8064516129	0.1612903226	0.0322580645
2006	akl	38	30--39	12	0	0	12	0	0	1
2011	AKU	32	30--39	22	9	0	13	0.4090909091	0	0.5909090909
2017	alade	38	30--39	13	11	1	1	0.8461538462	0.0769230769	0.0769230769
2011	alanbanks	23	20--29	20	12	2	6	0.6	0.1	0.3
2012	alanbanks	24	20--29	41	30	1	10	0.7317073171	0.0243902439	0.243902439
2010	aldrigmer	58	50--59	63	54	9	0	0.8571428571	0.1428571429	0
2011	aldrigmer	59	50--59	116	90	26	0	0.775862069	0.224137931	0
