post_year	username	age	agebin	total	v1abs	v2abs	v3abs	v1rel	v2rel	v3rel
2012	1022	44	40--49	117	115	0	2	0.9829059829	0	0.0170940171
2013	1022	45	40--49	23	22	1	0	0.9565217391	0.0434782609	0
2007	1973	39	30--39	10	3	0	7	0.3	0	0.7
2006	1977	38	30--39	10	9	0	1	0.9	0	0.1
2020	170909	52	50--59	13	13	0	0	1	0	0
2016	191919	48	40--49	14	6	0	8	0.4285714286	0	0.5714285714
2005	1980 längtar	26	20--29	13	13	0	0	1	0	0
2010	1Barn	42	40--49	65	65	0	0	1	0	0
2009	2babiesmom	28	20--29	13	13	0	0	1	0	0
2009	3barnsmor	41	40--49	23	3	0	20	0.1304347826	0	0.8695652174
2010	3barnsmor	42	40--49	14	0	0	14	0	0	1
2011	3barnsmor	43	40--49	44	0	0	44	0	0	1
2010	3way	22	20--29	344	340	3	1	0.988372093	0.0087209302	0.0029069767
2003	5 barn Waldenryd	29	20--29	12	12	0	0	1	0	0
2006	5 barnsmamman	29	20--29	13	0	0	13	0	0	1
2009	5 barnsmamman	32	30--39	11	0	0	11	0	0	1
2011	5 barnsmamman	34	30--39	14	0	0	14	0	0	1
2008	5barnsmamman	31	30--39	39	39	0	0	1	0	0
2009	5barnsmamman	32	30--39	13	13	0	0	1	0	0
2011	737 dagar	27	20--29	17	17	0	0	1	0	0
2011	89Mamma10o12	23	20--29	14	11	0	3	0.7857142857	0	0.2142857143
2016	8airam8	38	30--39	17	16	0	1	0.9411764706	0	0.0588235294
2017	8airam8	39	30--39	23	23	0	0	1	0	0
2006	A b C d E	38	30--39	18	17	1	0	0.9444444444	0.0555555556	0
2014	A n n e L i e	31	30--39	12	8	0	4	0.6666666667	0	0.3333333333
2008	Aaglars	39	30--39	22	21	0	1	0.9545454545	0	0.0454545455
2009	Aaglars	40	40--49	16	13	0	3	0.8125	0	0.1875
2010	Aakashan	42	40--49	17	1	0	16	0.0588235294	0	0.9411764706
2011	Aakashan	43	40--49	15	0	0	15	0	0	1
2015	AAke	30	30--39	44	0	0	44	0	0	1
2008	Aamamman	35	30--39	13	13	0	0	1	0	0
2018	Aamon	27	20--29	29	27	1	1	0.9310344828	0.0344827586	0.0344827586
2019	Aamon	28	20--29	23	22	0	1	0.9565217391	0	0.0434782609
2010	AaronElina	29	20--29	11	4	0	7	0.3636363636	0	0.6363636364
2008	Ablan	24	20--29	30	29	0	1	0.9666666667	0	0.0333333333
2009	Ablan	25	20--29	30	30	0	0	1	0	0
2017	absalon	49	40--49	27	24	1	2	0.8888888889	0.037037037	0.0740740741
2012	abuelita	63	>60	77	76	0	1	0.987012987	0	0.012987013
2007	Acantha	33	30--39	16	16	0	0	1	0	0
2012	Acelise	30	30--39	193	193	0	0	1	0	0
2011	Adidas16	24	20--29	17	16	0	1	0.9411764706	0	0.0588235294
2009	Adoniram	33	30--39	21	20	1	0	0.9523809524	0.0476190476	0
2011	Adoniram	35	30--39	10	10	0	0	1	0	0
2009	Adut 27	26	20--29	20	20	0	0	1	0	0
2013	Adut 27	30	30--39	11	8	3	0	0.7272727273	0.2727272727	0
2011	Afrodisiac	34	30--39	17	17	0	0	1	0	0
2011	Afterlife	32	30--39	45	45	0	0	1	0	0
2012	Afterlife	33	30--39	290	289	1	0	0.9965517241	0.0034482759	0
2017	Afterlife	38	30--39	54	54	0	0	1	0	0
2018	Afterlife	39	30--39	59	59	0	0	1	0	0
2007	Agapi	21	20--29	284	269	0	15	0.9471830986	0	0.0528169014
2008	Agapi	22	20--29	368	351	0	17	0.9538043478	0	0.0461956522
2009	Agapi	23	20--29	150	142	0	8	0.9466666667	0	0.0533333333
2010	Agapi	24	20--29	111	98	0	13	0.8828828829	0	0.1171171171
2011	Agapi	25	20--29	61	55	0	6	0.9016393443	0	0.0983606557
2012	Agapi	26	20--29	132	124	0	8	0.9393939394	0	0.0606060606
2013	Agapi	27	20--29	352	313	0	39	0.8892045455	0	0.1107954545
2014	Agapi	28	20--29	175	140	0	35	0.8	0	0.2
2015	Agapi	29	20--29	18	16	0	2	0.8888888889	0	0.1111111111
2007	Agnes mamma	39	30--39	10	0	10	0	0	1	0
2006	agtiwi	28	20--29	36	36	0	0	1	0	0
2007	agtiwi	29	20--29	20	20	0	0	1	0	0
2008	agtiwi	30	30--39	28	28	0	0	1	0	0
2011	agtiwi	33	30--39	67	64	0	3	0.9552238806	0	0.0447761194
2008	Ahdela	31	30--39	10	10	0	0	1	0	0
