period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1998	1	0	1	0.0000000000	1.0000000000	0.0	32.33211549031653
1999	31	12	19	0.3870967742	0.6129032258	19.937131578422708	31.567124999169284
2000	10	2	8	0.2000000000	0.8000000000	10.773482151033445	43.09392860413378
2001	23	4	19	0.1739130435	0.8260869565	14.685905202481917	69.75804971178911
2002	12	2	10	0.1666666667	0.8333333333	11.287509806024145	56.43754903012072
2003	18	4	14	0.2222222222	0.7777777778	18.636029034933237	65.22610162226633
2004	40	9	31	0.2250000000	0.7750000000	15.489707089638935	53.35343553097855
2005	470	292	178	0.6212765957	0.3787234043	64.19255656529373	39.13107900213111
2006	816	462	354	0.5661764706	0.4338235294	58.8744880022204	45.111620677026025
2007	1713	856	857	0.4997081144	0.5002918856	46.755396684310455	46.810017474829515
2008	3278	1412	1866	0.4307504576	0.5692495424	34.06762495936073	45.02137972674725
2009	5463	2133	3330	0.3904448105	0.6095551895	29.857851430690815	46.613523330614356
2010	6657	2575	4082	0.3868108758	0.6131891242	28.055411649755282	44.47463703079653
2011	6797	2489	4308	0.3661909666	0.6338090334	26.6709986054786	46.162580149619046
2012	5151	1819	3332	0.3531353135	0.6468646865	25.570782315241328	46.839937698946734
2013	3982	1399	2583	0.3513309895	0.6486690105	27.113676287551254	50.06049024356319
2014	2699	954	1745	0.3534642460	0.6465357540	44.59095163587796	81.56311384130716
2015	0	0	0	NaN	NaN	0.0	0.0
2016	0	0	0	NaN	NaN	0.0	0.0
2017	0	0	0	NaN	NaN	0.0	0.0
