period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	10	0	10	0.0000000000	1.0000000000	0.0	3.2179111508987948
2004	94	9	85	0.0957446809	0.9042553191	0.27308709393731784	2.5791558871857796
2005	301	23	278	0.0764119601	0.9235880399	0.2847532699579853	3.441800393405213
2006	872	67	805	0.0768348624	0.9231651376	0.3597382207518343	4.322227876197412
2007	1256	89	1167	0.0708598726	0.9291401274	0.33507452362360857	4.393617629985968
2008	1270	102	1168	0.0803149606	0.9196850394	0.3968268186955338	4.544056119964544
2009	1640	127	1513	0.0774390244	0.9225609756	0.4631969422582704	5.5182438869036465
2010	1091	98	993	0.0898258478	0.9101741522	0.5186768741358109	5.2555728164985736
2011	1295	107	1188	0.0826254826	0.9173745174	0.5481847617290597	6.086387821814234
2012	1194	105	1089	0.0879396985	0.9120603015	0.5757229855230672	5.9710698212820965
2013	1047	79	968	0.0754536772	0.9245463228	0.5547529037873641	6.7974786185590945
2014	760	60	700	0.0789473684	0.9210526316	0.6092521395462782	7.107941628039912
2015	512	46	466	0.0898437500	0.9101562500	0.7182564792394601	7.276250420121487
2016	329	34	295	0.1033434650	0.8966565350	0.7175234484024985	6.225571096433442
2017	298	23	275	0.0771812081	0.9228187919	0.47448059743626164	5.673137578042259
2018	288	26	262	0.0902777778	0.9097222222	0.5641695689755343	5.685093348907307
2019	274	26	248	0.0948905109	0.9051094891	0.6803316156093926	6.4893169488895905
2020	208	16	192	0.0769230769	0.9230769231	0.4440112374804094	5.328134849764913
2021	235	23	212	0.0978723404	0.9021276596	0.6470252675744862	5.963885075034395
2022	187	16	171	0.0855614973	0.9144385027	0.5414721103790897	5.786983179676521
2023	139	12	127	0.0863309353	0.9136690647	0.5717991244897705	6.051540734183405
