period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1	0	1	0.0000000000	1.0000000000	0.0	0.32179111508987945
2004	6	4	2	0.6666666667	0.3333333333	0.12137204174991903	0.060686020874959515
2005	30	5	25	0.1666666667	0.8333333333	0.06190288477347505	0.3095144238673753
2006	117	23	94	0.1965811966	0.8034188034	0.12349222503421177	0.5047073544876481
2007	108	38	70	0.3518518519	0.6481481481	0.14306552694041713	0.2635417601534
2008	228	72	156	0.3157894737	0.6842105263	0.280113048490965	0.6069116050637576
2009	261	66	195	0.2528735632	0.7471264368	0.24071652117358933	0.711207903467423
2010	211	54	157	0.2559241706	0.7440758294	0.2858015428911611	0.8309415228502277
2011	221	64	157	0.2895927602	0.7104072398	0.327886212622989	0.8043458653407699
2012	299	80	219	0.2675585284	0.7324414716	0.4386460842080512	1.2007936555195402
2013	254	67	187	0.2637795276	0.7362204724	0.47048663992092904	1.3131492785852794
2014	193	56	137	0.2901554404	0.7098445596	0.568635330243193	1.3911257186306683
2015	124	34	90	0.2741935484	0.7258064516	0.5308852237856879	1.4052844159032913
2016	101	28	73	0.2772277228	0.7227722772	0.5909016633902928	1.5405650509818347
2017	133	37	96	0.2781954887	0.7218045113	0.7632948741365949	1.9804407545165705
2018	106	30	76	0.2830188679	0.7169811321	0.6509648872794627	1.6491110477746385
2019	88	32	56	0.3636363636	0.6363636364	0.83733121921156	1.4653296336202302
2020	56	26	30	0.4642857143	0.5357142857	0.7215182609056653	0.8325210702757676
2021	92	37	55	0.4021739130	0.5978260870	1.0408667347937388	1.5472343355042062
2022	70	20	50	0.2857142857	0.7142857143	0.6768401379738621	1.6921003449346554
2023	56	19	37	0.3392857143	0.6607142857	0.9053486137754699	1.7630473005101257
