period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	175	4	171	0.0228571429	0.9771428571	1.2871644603595178	55.026280680369396
2004	1081	28	1053	0.0259019426	0.9740980574	0.8496042922494333	31.951189990666183
2005	2766	44	2722	0.0159074476	0.9840925524	0.5447453860065805	33.699930470679824
2006	6548	117	6431	0.0178680513	0.9821319487	0.6281995795218599	34.529499965000696
2007	9318	130	9188	0.0139514917	0.9860485083	0.48943469742774287	34.5917384612777
2008	9039	120	8919	0.0132758048	0.9867241952	0.4668550808182751	34.69900388181829
2009	9940	134	9806	0.0134808853	0.9865191147	0.48872748238274194	35.764639494366925
2010	7468	82	7386	0.0109801821	0.9890198179	0.4339949355013928	39.09129992211326
2011	7276	74	7202	0.0101704233	0.9898295767	0.3791184333453311	36.897445364230734
2012	6868	73	6795	0.0106290041	0.9893709959	0.4002645518398467	37.25750177742135
2013	5521	65	5456	0.0117732295	0.9882267705	0.4564422626098565	38.3130613046058
2014	3995	51	3944	0.0127659574	0.9872340426	0.5178643186143365	40.04817397284202
2015	2668	35	2633	0.0131184408	0.9868815592	0.5464994950735022	41.112376300815185
2016	2012	24	1988	0.0119284294	0.9880715706	0.5064871400488224	41.95401810071079
2017	2168	28	2140	0.0129151292	0.9870848708	0.5776285534006664	44.14732515276522
2018	1918	22	1896	0.0114702815	0.9885297185	0.47737425067160594	41.14098087606204
2019	1580	10	1570	0.0063291139	0.9936708861	0.2616660060036125	41.08156294256716
2020	1637	19	1618	0.0116065974	0.9883934026	0.5272633445079862	44.9006363902064
2021	1540	17	1523	0.0110389610	0.9889610390	0.4782360673376638	42.844325326780115
2022	1297	19	1278	0.0146491904	0.9853508096	0.642998131075169	43.25008481652979
2023	1103	9	1094	0.0081595648	0.9918404352	0.4288493433673279	52.12902018265075
