period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	131	0	131	0.0000000000	1.0000000000	0.0	42.15463607677421
2004	1193	36	1157	0.0301760268	0.9698239732	1.0923483757492713	35.10686307616408
2005	3330	108	3222	0.0324324324	0.9675675676	1.3371023111070612	39.89021894802733
2006	8563	277	8286	0.0323484760	0.9676515240	1.4872759275859417	44.48941637536864
2007	12196	331	11865	0.0271400459	0.9728599541	1.2461760372967912	44.6703283460013
2008	11801	321	11480	0.0272010847	0.9727989153	1.2488373411888858	44.66246939828165
2009	12882	276	12606	0.0214252445	0.9785747555	1.0066327249077371	45.97685554415556
2010	8774	191	8583	0.0217688625	0.9782311375	1.0108906424483661	45.426567456200665
2011	8835	204	8631	0.0230899830	0.9769100170	1.0451373027357775	44.21852970545341
2012	8023	170	7852	0.0211890814	0.9786862770	0.9321229289421088	43.05311316502022
2013	6141	139	6002	0.0226347500	0.9773652500	0.9760842231195394	42.1471763105286
2014	4105	115	3990	0.0280146163	0.9719853837	1.1677332674636998	40.5152672798275
2015	2547	58	2489	0.0227718885	0.9772281115	0.9056277346932323	38.863921235369915
2016	1731	44	1687	0.0254188330	0.9745811670	0.9285597567561744	35.601825219265145
2017	1782	43	1739	0.0241301908	0.9758698092	0.8870724212938805	35.87485908441996
2018	1641	48	1593	0.0292504570	0.9707495430	1.04154381964714	34.566235514539464
2019	1334	40	1294	0.0299850075	0.9700149925	1.04666402401445	33.85958117686746
2020	1342	25	1317	0.0186289121	0.9813710879	0.6937675585631397	36.5476749851062
2021	1190	28	1162	0.0235294118	0.9764705882	0.787682934438505	32.68884177919796
2022	955	33	922	0.0345549738	0.9654450262	1.1167862276568725	31.202330360595045
2023	690	24	666	0.0347826087	0.9652173913	1.143598248979541	31.734851409182262
