period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	88	36	52	0.4090909091	0.5909090909	9.633764417530562	13.915437491988587
2004	1324	622	702	0.4697885196	0.5302114804	9.794887805544203	11.0546804493441
2005	3292	1476	1816	0.4483596598	0.5516403402	9.735474750821975	11.978063785564165
2006	6449	2821	3628	0.4374321600	0.5625678400	9.971834181427049	12.824464519750917
2007	9054	3669	5385	0.4052352551	0.5947647449	9.933829513451888	14.579905132171822
2008	9652	3743	5909	0.3877952756	0.6122047244	10.234739954193262	16.157381349005608
2009	9203	3648	5555	0.3963924807	0.6036075193	11.431167685976598	17.40683566217105
2010	7051	2697	4354	0.3824989363	0.6175010637	12.085917456266872	19.51134023158545
2011	5377	1906	3471	0.3544727543	0.6455272457	11.515600158158852	20.97095915475833
2012	3573	1216	2357	0.3403302547	0.6596697453	11.252855759173636	21.811662026621928
2013	2221	743	1478	0.3345339937	0.6654660063	11.368115697490433	22.61382907253144
2014	1329	440	889	0.3310759970	0.6689240030	10.983057261292299	22.190767966565577
2015	925	263	662	0.2843243243	0.7156756757	10.619202036819479	26.729702465302264
2016	676	180	496	0.2662721893	0.7337278107	10.860260544890647	29.926051279254224
2017	551	151	400	0.2740471869	0.7259528131	11.545729230934388	30.584713194528177
2018	382	122	260	0.3193717277	0.6806282723	11.666724522144829	24.863511276702095
2019	298	84	214	0.2818791946	0.7181208054	11.115010186112906	28.316811664620975
2020	240	62	178	0.2583333333	0.7416666667	10.934630486208343	31.39297139588847
2021	218	57	161	0.2614678899	0.7385321101	11.036674870594988	31.17376586255777
2022	160	58	102	0.3625000000	0.6375000000	16.78818806244048	29.52405486842981
2023	162	45	117	0.2777777778	0.7222222222	12.676156318979416	32.95800642934649
