period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	687	57	630	0.0829694323	0.9170305677	15.253460327756722	168.59087730678482
2004	9534	783	8751	0.0821271240	0.9178728760	12.330220501191496	137.80556782366128
2005	24730	1554	23175	0.0628386575	0.9371209058	10.249951058792242	152.85882611808893
2006	47541	2804	44737	0.0589806693	0.9410193307	9.911741596852693	158.13893859429348
2007	64228	3672	60555	0.0571713271	0.9428131033	9.941952023274824	163.9528607759823
2008	65415	3489	61924	0.0533363907	0.9466330352	9.540210446214346	169.32301280349014
2009	59065	2977	56087	0.0504020994	0.9495809701	9.328559813912372	175.75106962811665
2010	44722	2217	42505	0.0495729171	0.9504270829	9.934919911213811	190.47531385933382
2011	33973	1582	32391	0.0465663910	0.9534336090	9.55806896653059	195.69874329639214
2012	22833	1061	21772	0.0464678316	0.9535321684	9.818486809607917	201.47794045125693
2013	14547	703	13844	0.0483261154	0.9516738846	10.756104085243303	211.81721899873156
2014	9343	495	8848	0.0529808413	0.9470191587	12.355939418953836	220.85929692707788
2015	6069	285	5784	0.0469599605	0.9530400395	11.50750030605913	233.54169042191583
2016	3933	191	3742	0.0485634376	0.9514365624	11.523943133745073	225.77274977211553
2017	3173	131	3042	0.0412858494	0.9587141506	10.01649357120798	232.59674384438682
2018	2701	122	2579	0.0451684561	0.9548315439	11.666724522144829	246.62690608697966
2019	1935	88	1847	0.0454780362	0.9545219638	11.644296385451616	244.39790254464924
2020	1397	63	1334	0.0450966356	0.9549033644	11.110995494050416	235.27092046132148
2021	1285	52	1233	0.0404669261	0.9595330739	10.068545495981393	238.74070377971262
2022	991	37	954	0.0373360242	0.9626639758	10.709706177763755	276.1367484753141
2023	1063	44	1019	0.0413922860	0.9586077140	12.39446395633543	287.0445175342228
