period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	25	21	4	0.8400000000	0.1600000000	5.61969591022616	1.070418268614507
2004	377	331	46	0.8779840849	0.1220159151	5.212392063722075	0.724380770184941
2005	1135	1001	134	0.8819383260	0.1180616740	6.602445952285093	0.8838439136925099
2006	2312	2071	241	0.8957612457	0.1042387543	7.320690744323083	0.8519007577894077
2007	3026	2689	337	0.8886318572	0.1113681428	7.280476304625818	0.9124286034432505
2008	2464	2142	322	0.8693181818	0.1306818182	5.857016559412762	0.8804665416110689
2009	1990	1690	300	0.8492462312	0.1507537688	5.295688977330167	0.9400631320704439
2010	1416	1198	218	0.8460451977	0.1539548023	5.368531372861591	0.9769113850449305
2011	914	804	110	0.8796498906	0.1203501094	4.8575774014479105	0.6645939230836694
2012	541	471	70	0.8706099815	0.1293900185	4.358630808035183	0.6477795256103244
2013	302	259	43	0.8576158940	0.1423841060	3.962775189300164	0.6579124831656643
2014	160	141	19	0.8812500000	0.1187500000	3.5195706223686685	0.474268381737622
2015	104	81	23	0.7788461538	0.2211538462	3.2705527185641743	0.928675463296
2016	76	63	13	0.8289473684	0.1710526316	3.801091190711726	0.7843521504643244
2017	46	41	5	0.8913043478	0.1086956522	3.1349331024391387	0.3823089149316023
2018	32	28	4	0.8750000000	0.1250000000	2.677608906721764	0.38251555810310917
2019	30	25	5	0.8333333333	0.1666666667	3.3080387458669365	0.6616077491733873
2020	15	12	3	0.8000000000	0.2000000000	2.1163800941048407	0.5290950235262102
2021	15	13	2	0.8666666667	0.1333333333	2.5171363739953483	0.38725174984543814
2022	5	5	0	1.0000000000	0.0000000000	1.4472575915896966	0.0
2023	10	8	2	0.8000000000	0.2000000000	2.2535389011518965	0.5633847252879741
