period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	83	0	83	0.0000000000	1.0000000000	0.0	22.21117907375102
2004	1158	0	1158	0.0000000000	1.0000000000	0.0	18.235498519003514
2005	2974	1	2973	0.0003362475	0.9996637525	0.00659585010218291	19.60946235378979
2006	5413	6	5407	0.0011084426	0.9988915574	0.021209147496831723	19.112976752561522
2007	7337	7	7330	0.0009540684	0.9990459316	0.01895252292018621	19.845999000709273
2008	7421	6	7415	0.0008085164	0.9991914836	0.01640620884989569	20.275339770329428
2009	7002	4	6998	0.0005712654	0.9994287346	0.012534175094272586	21.92853932742989
2010	4943	1	4942	0.0002023063	0.9997976937	0.004481244885527205	22.146312224275444
2011	3900	2	3898	0.0005128205	0.9994871795	0.012083525874248534	23.550791928910396
2012	2605	1	2604	0.0003838772	0.9996161228	0.009253993223004634	24.097398352704072
2013	1547	1	1546	0.0006464124	0.9993535876	0.015300290306178242	23.654248813351558
2014	1010	1	1009	0.0009900990	0.9990099010	0.024961493775664315	25.186147219645292
2015	695	0	695	0.0000000000	1.0000000000	0.0	28.062149869161743
2016	437	0	437	0.0000000000	1.0000000000	0.0	26.36629921176229
2017	362	0	362	0.0000000000	1.0000000000	0.0	27.679165441048003
2018	298	0	298	0.0000000000	1.0000000000	0.0	28.497409078681635
2019	246	0	246	0.0000000000	1.0000000000	0.0	32.55110125933065
2020	160	0	160	0.0000000000	1.0000000000	0.0	28.218401254731212
2021	169	0	169	0.0000000000	1.0000000000	0.0	32.722772861939525
2022	121	0	121	0.0000000000	1.0000000000	0.0	35.023633716470655
2023	99	1	98	0.0101010101	0.9898989899	0.28169236264398706	27.60585153911073
