period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	0	0	0	NaN	NaN	0.0	0.0
2004	58	0	58	0.0000000000	1.0000000000	0.0	0.9133496667549256
2005	117	0	117	0.0000000000	1.0000000000	0.0	0.7717144619554004
2006	174	0	174	0.0000000000	1.0000000000	0.0	0.61506527740812
2007	212	0	212	0.0000000000	1.0000000000	0.0	0.573990694154211
2008	245	0	245	0.0000000000	1.0000000000	0.0	0.6699201947040742
2009	176	0	176	0.0000000000	1.0000000000	0.0	0.5515037041479939
2010	143	0	143	0.0000000000	1.0000000000	0.0	0.6408180186303902
2011	135	0	135	0.0000000000	1.0000000000	0.0	0.815637996511776
2012	108	0	108	0.0000000000	1.0000000000	0.0	0.9994312680845007
2013	76	0	76	0.0000000000	1.0000000000	0.0	1.1628220632695463
2014	45	0	45	0.0000000000	1.0000000000	0.0	1.1232672199048943
2015	15	0	15	0.0000000000	1.0000000000	0.0	0.6056579108452174
2016	22	0	22	0.0000000000	1.0000000000	0.0	1.3273651777088566
2017	15	0	15	0.0000000000	1.0000000000	0.0	1.1469267447948068
2018	15	0	15	0.0000000000	1.0000000000	0.0	1.4344333428866596
2019	3	0	3	0.0000000000	1.0000000000	0.0	0.3969646495040324
2020	14	0	14	0.0000000000	1.0000000000	0.0	2.469110109788981
2021	3	0	3	0.0000000000	1.0000000000	0.0	0.5808776247681572
2022	2	0	2	0.0000000000	1.0000000000	0.0	0.5789030366358786
2023	5	0	5	0.0000000000	1.0000000000	0.0	1.4084618132199354
