period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1011	2	1009	0.0019782394	0.9980217606	0.29220700002323047	147.41843151171977
2004	12070	23	12047	0.0019055510	0.9980944490	0.23844319484314136	124.89239862066624
2005	29211	47	29164	0.0016089829	0.9983910171	0.20225304730793447	125.50016748273619
2006	62943	92	62851	0.0014616399	0.9985383601	0.19610211032621597	133.9697145229674
2007	90156	125	90031	0.0013864856	0.9986135144	0.19686387314069337	141.7908109018381
2008	94097	89	94008	0.0009458325	0.9990541675	0.14291350950518233	150.95520451194585
2009	96169	118	96050	0.0012270066	0.9987625950	0.19888458345527726	161.88868000745236
2010	73485	92	73393	0.0012519562	0.9987480438	0.2232497242247116	178.09746750026366
2011	67338	77	67261	0.0011434851	0.9988565149	0.21347127444172279	186.47131675616515
2012	57569	58	57511	0.0010074867	0.9989925133	0.19969643662642533	198.01278908314396
2013	44001	56	43945	0.0012726983	0.9987273017	0.2695366142411374	211.51404487190683
2014	28771	28	28743	0.0009732022	0.9990267978	0.20210317368460193	207.4661257577326
2015	19698	34	19664	0.0017260636	0.9982739364	0.38283791236189363	221.41543260836107
2016	15820	18	15802	0.0011378003	0.9988621997	0.28142853562460773	247.06298444111397
2017	15324	20	15304	0.0013051423	0.9986948577	0.32492594490942345	248.6333330446908
2018	15283	32	15251	0.0020938297	0.9979061703	0.5659457096062528	269.7261880376551
2019	12807	13	12794	0.0010150699	0.9989849301	0.2840039887267894	279.5036178285033
2020	12683	4	12679	0.0003153828	0.9996846172	0.09591134032429495	304.0149709929339
2021	12557	16	12541	0.0012741897	0.9987258103	0.39300551384279636	308.04263431890683
2022	10930	9	10921	0.0008234218	0.9991765782	0.27269516906873237	330.9004379332918
2023	8173	14	8159	0.0017129573	0.9982870427	0.570581711723127	332.52687042492806
