period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	199	95	104	0.4773869347	0.5226130653	13.879832501103445	15.194764001207982
2004	2265	1052	1213	0.4644591611	0.5355408389	10.906184390216726	12.575286754118714
2005	5440	2400	3040	0.4411764706	0.5588235294	10.32781518168176	13.081899230130231
2006	11174	4789	6385	0.4285842134	0.5714157866	10.207967460350524	13.60991276557488
2007	15772	6440	9332	0.4083185392	0.5916814608	10.142426744208521	14.697069313191603
2008	16420	6489	9931	0.3951887942	0.6048112058	10.41984003572054	15.94689958310074
2009	16977	6606	10371	0.3891146846	0.6108853154	11.134165748352217	17.479932330632884
2010	13125	5084	8041	0.3873523810	0.6126476190	12.33697389085254	19.512511222727237
2011	12391	4488	7903	0.3621983698	0.6378016302	12.442325710317556	21.909915349518638
2012	10294	3619	6675	0.3515640179	0.6484359821	12.460369037086782	22.982305422092917
2013	7467	2658	4809	0.3559662515	0.6440337485	12.793362868802557	23.146456747957675
2014	5294	1976	3318	0.3732527389	0.6267472611	14.262709685741907	23.94922608162533
2015	3660	1290	2370	0.3524590164	0.6475409836	14.525320792554199	26.68605447934376
2016	2890	913	1977	0.3159169550	0.6840830450	14.274680723625936	30.910234162769417
2017	2852	950	1902	0.3330995792	0.6669004208	15.433982383197613	30.90045736088616
2018	2595	862	1733	0.3321772640	0.6678227360	15.245162552518435	30.649497335863632
2019	2068	673	1395	0.3254352031	0.6745647969	14.702668031779172	30.47581263645163
2020	2072	678	1394	0.3272200772	0.6727799228	16.256972184967996	33.42510210301679
2021	2059	653	1406	0.3171442448	0.6828557552	16.039537533709126	34.53535952893573
2022	1632	561	1071	0.3437500000	0.6562500000	16.997998871950983	32.450725119179154
2023	1315	407	908	0.3095057034	0.6904942966	16.587625476522334	37.00629958889995
