period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	24	24	0	1.0000000000	0.0000000000	3.5064840002787654	0.0
2004	363	327	36	0.9008264463	0.0991735537	3.390040204943792	0.37321543540665597
2005	1000	864	136	0.8640000000	0.1360000000	3.7180134654054338	0.5852428602952998
2006	2032	1838	194	0.9045275591	0.0954724409	3.917779117169402	0.4135196674270206
2007	2883	2568	315	0.8907388137	0.1092611863	4.044371409802404	0.49609696031454725
2008	3130	2808	322	0.8971246006	0.1028753994	4.5090015133769885	0.5170578658502102
2009	3872	3492	380	0.9018595041	0.0981404959	5.885635300218882	0.640475777228859
2010	2914	2615	299	0.8973919012	0.1026080988	6.345630748343704	0.7255616037303126
2011	3021	2717	304	0.8993710692	0.1006289308	7.532486398157932	0.8427956809127756
2012	2647	2377	270	0.8979977333	0.1020022667	8.18411085967264	0.929621342916118
2013	2241	2017	224	0.9000446229	0.0999553771	9.708131266506681	1.0781464569645496
2014	1548	1390	158	0.8979328165	0.1020671835	10.032978979342738	1.1404393372202537
2015	1059	939	120	0.8866855524	0.1133144476	10.573082344347592	1.351192631865507
2016	821	719	102	0.8757612667	0.1242387333	11.241506506338498	1.594761701872777
2017	973	844	129	0.8674203494	0.1325796506	13.711874875177667	2.095772344665781
2018	837	747	90	0.8924731183	0.1075268817	13.211295158620965	1.5917223082675862
2019	721	636	85	0.8821081831	0.1178918169	13.894348986941386	1.8569491570597767
2020	789	662	127	0.8390367554	0.1609632446	15.873326823670814	3.0451850552963644
2021	795	697	98	0.8767295597	0.1232704403	17.120302696776815	2.4071587722871275
2022	614	527	87	0.8583061889	0.1416938111	15.967817122135774	2.636053300997746
2023	488	420	68	0.8606557377	0.1393442623	17.117451351693813	2.771396885512331
