period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	322	5	317	0.0155279503	0.9844720497	0.7305175000580761	46.31480950368203
2004	3983	126	3857	0.0316344464	0.9683655536	1.306254023923296	39.985887065652
2005	10459	331	10128	0.0316473850	0.9683526150	1.424377843806943	43.58338006669703
2006	23333	700	22633	0.0300004286	0.9699995714	1.4920812742212084	48.243250684926586
2007	32423	849	31573	0.0261851155	0.9737840422	1.3370994263715892	49.724664533368895
2008	33103	844	32259	0.0254961786	0.9745038214	1.3552696856446504	51.80052700143457
2009	32336	691	31645	0.0213693716	0.9786306284	1.1646546370135304	53.33646308001906
2010	23644	483	23161	0.0204280156	0.9795719844	1.1720610521797359	56.20311807357114
2011	19539	399	19140	0.0204206971	0.9795793029	1.106169331198018	53.06285964694252
2012	14848	286	14561	0.0192618534	0.9806707974	0.984710015088925	50.13413471926517
2013	10123	210	9913	0.0207448385	0.9792551615	1.0107623034042652	47.71279387450705
2014	6381	163	6218	0.0255445855	0.9744554145	1.1765291896639325	44.8813404989591
2015	4140	91	4049	0.0219806763	0.9780193237	1.0246544124980093	45.591491386861975
2016	2723	64	2659	0.0235034888	0.9764965112	1.0006347933319386	41.57324867921289
2017	2448	59	2389	0.0241013072	0.9758986928	0.958531537482799	38.81240411943063
2018	2152	56	2096	0.0260223048	0.9739776952	0.9904049918109424	37.06944397920956
2019	1663	46	1617	0.0276608539	0.9723391461	1.0049371908794085	35.32572690547834
2020	1547	30	1517	0.0193923723	0.9806076277	0.7193350524322121	36.374375817988856
2021	1425	31	1394	0.0217543860	0.9782456140	0.761448183070418	34.24060539355363
2022	1115	35	1080	0.0313901345	0.9686098655	1.0604812130450705	32.72342028824788
2023	841	27	814	0.0321046373	0.9678953627	1.1004075868946022	33.17525095304467
