period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	9	7	2	0.7777777778	0.2222222222	2.388687177527231	0.682482050722066
2001	7	7	0	1.0000000000	0.0000000000	2.777665348466054	0.0
2002	18	13	5	0.7222222222	0.2777777778	2.3943453666378183	0.9209020640914685
2003	11	8	3	0.7272727273	0.2727272727	1.4700129306012408	0.5512548489754653
2004	81	63	18	0.7777777778	0.2222222222	2.6169403688598223	0.7476972482456634
2005	121	92	29	0.7603305785	0.2396694215	2.4002030154324445	0.7565857331254444
2006	189	146	43	0.7724867725	0.2275132275	2.3260202566094224	0.6850607605082546
2007	216	150	66	0.6944444444	0.3055555556	1.8323606246957136	0.806238674866114
2008	216	161	55	0.7453703704	0.2546296296	1.4036398456142636	0.47950429508561804
2009	293	209	84	0.7133105802	0.2866894198	1.4587396705614435	0.5862877144840252
2010	358	248	110	0.6927374302	0.3072625698	1.3475463978427522	0.5977020313012207
2011	347	257	90	0.7406340058	0.2593659942	1.4130249727972075	0.4948336480612789
2012	370	240	130	0.6486486486	0.3513513514	1.3705213019897546	0.7423657052444506
2013	450	276	174	0.6133333333	0.3866666667	1.726533723069546	1.0884669123699309
2014	481	327	154	0.6798336798	0.3201663202	2.243276104021303	1.056466422077311
2015	511	319	192	0.6242661448	0.3757338552	2.5311733638168072	1.5234648459336269
2016	342	213	129	0.6228070175	0.3771929825	1.9923577086887365	1.206639175684728
2017	372	211	161	0.5672043011	0.4327956989	2.3751672058615165	1.8123313750886452
2018	501	259	242	0.5169660679	0.4830339321	2.6658285603594276	2.490851396165952
2019	303	161	142	0.5313531353	0.4686468647	1.7668086105340817	1.55830324655801
2020	385	244	141	0.6337662338	0.3662337662	2.1173091856881805	1.2235270294345635
2021	538	330	208	0.6133828996	0.3866171004	3.1162448275293526	1.964178557957895
2022	617	367	250	0.5948136143	0.4051863857	3.204716672308831	2.1830495042975686
2023	421	265	156	0.6294536817	0.3705463183	2.9482719894168383	1.735586529618969
2024	398	248	150	0.6231155779	0.3768844221	2.969400495521102	1.7960083642264733
