period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	10	0	10	0.0000000000	1.0000000000	0.0	3.41241025361033
2001	6	0	6	0.0000000000	1.0000000000	0.0	2.3808560129709035
2002	10	0	10	0.0000000000	1.0000000000	0.0	1.841804128182937
2003	23	0	23	0.0000000000	1.0000000000	0.0	4.226287175478567
2004	112	2	110	0.0178571429	0.9821428571	0.08307747202729593	4.569260961501277
2005	141	8	133	0.0567375887	0.9432624113	0.20871330568977778	3.4698587070925555
2006	197	5	192	0.0253807107	0.9746192893	0.0796582279660761	3.0588759538973225
2007	180	14	166	0.0777777778	0.9222222222	0.17102032497159994	2.0278124246632565
2008	263	13	250	0.0494296578	0.9505703422	0.11333737883841881	2.1795649776619
2009	291	19	272	0.0652920962	0.9347079038	0.13261269732376757	1.8984554564244622
2010	294	15	279	0.0510204082	0.9489795918	0.08150482245016646	1.5159896975730962
2011	382	14	368	0.0366492147	0.9633507853	0.0769741230317545	2.023319805406118
2012	371	21	350	0.0566037736	0.9433962264	0.11992061392410355	1.9986768987350594
2013	337	20	317	0.0593471810	0.9406528190	0.12511113935286564	1.9830115587429205
2014	361	17	344	0.0470914127	0.9529085873	0.11662291672282002	2.359899020744123
2015	425	13	412	0.0305882353	0.9694117647	0.10315126561008932	3.2691016485659077
2016	303	24	279	0.0792079208	0.9207920792	0.22449100942971678	2.6097079846204574
2017	299	9	290	0.0301003344	0.9698996656	0.10131044953911682	3.264447818482653
2018	341	22	319	0.0645161290	0.9354838710	0.22644103601508653	3.283395022218755
2019	323	19	304	0.0588235294	0.9411764706	0.20850536397607175	3.336085823617148
2020	434	21	413	0.0483870968	0.9516129032	0.18222742991578603	3.5838061216771253
2021	469	22	447	0.0469083156	0.9530916844	0.20774965516862348	4.221095266380668
2022	413	17	396	0.0411622276	0.9588377724	0.14844736629223465	3.4579504148073488
2023	327	15	312	0.0458715596	0.9541284404	0.1668833201556701	3.471173059237938
2024	300	7	293	0.0233333333	0.9766666667	0.08381372366390208	3.5082030047890442
