period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	162	6	156	0.0370370370	0.9629629630	2.047446152166198	53.23359995632115
2001	110	1	109	0.0090909091	0.9909090909	0.3968093354951506	43.25221756897142
2002	284	5	279	0.0176056338	0.9823943662	0.9209020640914685	51.38633517630394
2003	267	5	262	0.0187265918	0.9812734082	0.9187580816257755	48.142923477190635
2004	1328	21	1307	0.0158132530	0.9841867470	0.8723134562866074	54.29112796983789
2005	2327	22	2305	0.0094542329	0.9905457671	0.5739615906468888	60.13552120186722
2006	3938	57	3881	0.0144743525	0.9855256475	0.9081037988132676	61.83071654726828
2007	5032	70	4962	0.0139109698	0.9860890302	0.8551016248579998	60.61448946493421
2008	6991	76	6915	0.0108711200	0.9891288800	0.6625877532092176	60.28676728212816
2009	9778	122	9656	0.0124769892	0.9875230108	0.8515131091315602	67.39516870306842
2010	12249	157	12092	0.0128173728	0.9871826272	0.8530838083117422	65.70375420449419
2011	11976	180	11796	0.0150300601	0.9849699399	0.9896672961225578	64.85619680589828
2012	11687	146	11541	0.0124925130	0.9875074870	0.8337337920437675	65.90494310943232
2013	10891	145	10746	0.0133137453	0.9866862547	0.9070557603082758	67.22221517429472
2014	9979	136	9843	0.0136286201	0.9863713799	0.9329833337825602	67.52466878251279
2015	8399	95	8304	0.0113108703	0.9886891297	0.7537977102275758	65.88985458662935
2016	7171	112	7059	0.0156184633	0.9843815367	1.0476247106720116	66.02841814851544
2017	6078	80	5998	0.0131622244	0.9868377756	0.9005373292365939	67.51778625951363
2018	6485	86	6399	0.0132613724	0.9867386276	0.8851785953317018	65.86346315729722
2019	5690	69	5621	0.0121265378	0.9878734622	0.7572036902288921	61.68466583734207
2020	7052	84	6968	0.0119115145	0.9880884855	0.7289097196631441	60.46479674539034
2021	6471	104	6367	0.0160717045	0.9839282955	0.9820892789789475	60.12463883902845
2022	7962	132	7830	0.0165787491	0.9834212509	1.1526501382691163	68.37311047459986
2023	6330	92	6238	0.0145339652	0.9854660348	1.02355103028811	69.40121007540468
2024	5878	74	5804	0.0125893161	0.9874106839	0.8860307930183935	69.49355030646967
