period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	2	0	2	0.0000000000	1.0000000000	0.0	0.6294375346190644
2001	2	2	0	1.0000000000	0.0000000000	0.6077612324911587	0.0
2002	4	1	3	0.2500000000	0.7500000000	0.1658686449709373	0.49760593491281196
2003	12	6	6	0.5000000000	0.5000000000	0.8444414920267834	0.8444414920267834
2004	26	3	23	0.1153846154	0.8846153846	0.12878119842581295	0.9873225212645662
2005	51	6	45	0.1176470588	0.8823529412	0.14269543495423614	1.0702157621567712
2006	70	13	57	0.1857142857	0.8142857143	0.22710240840706564	0.9957567137848262
2007	103	10	93	0.0970873786	0.9029126214	0.11331839222777251	1.0538610477182844
2008	145	13	132	0.0896551724	0.9103448276	0.10449850384267123	1.0610617313255848
2009	144	25	119	0.1736111111	0.8263888889	0.1633619363747732	0.7776028171439203
2010	151	18	133	0.1192052980	0.8807947020	0.10416178227475827	0.7696398356968249
2011	168	32	136	0.1904761905	0.8095238095	0.16995278069118447	0.722299317937534
2012	146	24	122	0.1643835616	0.8356164384	0.13176297849554072	0.6697951406856654
2013	163	23	140	0.1411042945	0.8588957055	0.14139911510343522	0.8606902658469968
2014	134	20	114	0.1492537313	0.8507462687	0.1517735229419719	0.8651090807692399
2015	106	17	89	0.1603773585	0.8396226415	0.14846179649620203	0.7772411698918813
2016	108	13	95	0.1203703704	0.8796296296	0.11250593663537564	0.8221587677200528
2017	109	12	97	0.1100917431	0.8899082569	0.1216401902432302	0.9832582044661108
2018	90	10	80	0.1111111111	0.8888888889	0.10753266767170999	0.8602613413736799
2019	121	15	106	0.1239669421	0.8760330579	0.15587619589256663	1.1015251176408043
2020	81	12	69	0.1481481481	0.8518518519	0.11278222730293626	0.6484978069918834
2021	72	9	63	0.1250000000	0.8750000000	0.08242060299682412	0.5769442209777688
2022	77	12	65	0.1558441558	0.8441558442	0.12430654042591646	0.6733270939737143
2023	64	11	53	0.1718750000	0.8281250000	0.108744704417114	0.5239517576460947
2024	46	6	40	0.1304347826	0.8695652174	0.0662288790585609	0.441525860390406
