period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	599	1	598	0.0016694491	0.9983305509	0.3147187673095322	188.20182285110025
2001	704	0	704	0.0000000000	1.0000000000	0.0	213.93195383688783
2002	1164	1	1163	0.0008591065	0.9991408935	0.1658686449709373	192.9052341012001
2003	1810	0	1810	0.0000000000	1.0000000000	0.0	254.73985009474637
2004	5751	4	5747	0.0006955312	0.9993044688	0.17170826456775062	246.7018491177157
2005	10765	2	10762	0.0001857873	0.9997213191	0.04756514498474538	255.9480451629149
2006	14223	3	14220	0.0002109260	0.9997890740	0.052408248093938216	248.4150959652672
2007	21538	7	21530	0.0003250070	0.9996285635	0.07932287455944076	243.9744984663942
2008	27722	12	27708	0.0004328692	0.9994949859	0.09646015739323499	222.72650342097955
2009	34781	24	34757	0.0006900319	0.9993099681	0.15682745891978228	227.11883290311968
2010	39593	28	39563	0.0007071957	0.9992422903	0.16202943909406842	228.94181067423673
2011	41691	18	41668	0.0004317479	0.9994483222	0.09559843913879126	221.29976455750858
2012	40047	13	40034	0.0003246186	0.9996753814	0.07137161335175124	219.7916283787699
2013	33900	29	33870	0.0008554572	0.9991150442	0.17828584078259221	208.2255664588413
2014	27759	22	27735	0.0007925358	0.9991354155	0.16695087523616908	210.47193293977952
2015	23177	22	23154	0.0009492169	0.9990076369	0.19212703075979087	202.20496682782718
2016	20175	8	20165	0.0003965304	0.9995043371	0.06923442254484655	174.51401632710386
2017	18317	17	18300	0.0009280996	0.9990719004	0.17232360284457612	185.50129012092606
2018	17115	16	17099	0.0009348525	0.9990651475	0.172052268274736	183.8701084518569
2019	17902	23	17879	0.0012847727	0.9987152273	0.23901016703526887	185.7940337575466
2020	18805	17	18788	0.0009040149	0.9990959851	0.15977482201249302	176.5793738806305
2021	19122	4	19118	0.0002091831	0.9997908169	0.0366313791096996	175.07967645480926
2022	17538	8	17529	0.0004561524	0.9994868286	0.08287102695061098	181.58077892715747
2023	17250	7	17243	0.0004057971	0.9995942029	0.06920117553816345	170.46226711493605
2024	15604	9	15595	0.0005767752	0.9994232248	0.09934331858784134	172.13989481970955
