period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	13	12	1	0.9230769231	0.0769230769	3.7766252077143863	0.3147187673095322
2001	18	17	1	0.9444444444	0.0555555556	5.165970476174848	0.3038806162455793
2002	30	27	3	0.9000000000	0.1000000000	4.478453414215307	0.49760593491281196
2003	33	30	3	0.9090909091	0.0909090909	4.222207460133917	0.4222207460133917
2004	104	96	8	0.9230769231	0.0769230769	4.1209983496260145	0.34341652913550125
2005	187	172	15	0.9197860963	0.0802139037	4.090602468688103	0.3567385873855904
2006	312	289	23	0.9262820513	0.0737179487	5.048661233049382	0.40179656872019304
2007	366	328	38	0.8961748634	0.1038251366	3.716843265070938	0.43060989046553555
2008	461	406	55	0.8806941432	0.1193058568	3.2635686584711165	0.4421090547189937
2009	537	487	50	0.9068901304	0.0931098696	3.182290520580582	0.3267238727495464
2010	529	465	64	0.8790170132	0.1209829868	2.6908460420979217	0.3703530036435849
2011	628	539	89	0.8582802548	0.1417197452	2.8626421497671384	0.4726811712973568
2012	592	517	75	0.8733108108	0.1266891892	2.838394161758107	0.41175930779856484
2013	483	426	57	0.8819875776	0.1180124224	2.6189575232201476	0.3504238939519916
2014	372	320	52	0.8602150538	0.1397849462	2.4283763670715506	0.3946111596491269
2015	368	326	42	0.8858695652	0.1141304348	2.846973273985992	0.3667879678141462
2016	313	268	45	0.8562300319	0.1437699681	2.31935315525236	0.3894436268147619
2017	322	256	66	0.7950310559	0.2049689441	2.5949907251889113	0.6690210463377662
2018	293	238	55	0.8122866894	0.1877133106	2.5592774905866977	0.591429672194405
2019	315	251	64	0.7968253968	0.2031746032	2.6083283446022816	0.6650717691416176
2020	320	272	48	0.8500000000	0.1500000000	2.5563971521998883	0.45112890921174503
2021	338	265	73	0.7840236686	0.2159763314	2.426828866017599	0.6685226687520177
2022	295	243	52	0.8237288136	0.1762711864	2.5172074436248084	0.5386616751789715
2023	304	254	50	0.8355263158	0.1644736842	2.5110140838133597	0.4942941109868818
2024	290	237	53	0.8172413793	0.1827586207	2.6160407228131555	0.5850217650172879
