period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	18	18	0	1.0000000000	0.0000000000	5.664937811571579	0.0
2001	18	14	4	0.7777777778	0.2222222222	4.25432862743811	1.2155224649823173
2002	29	25	4	0.8620689655	0.1379310345	4.146716124273433	0.6634745798837492
2003	69	65	4	0.9420289855	0.0579710145	9.148116163623488	0.5629609946845223
2004	159	133	26	0.8364779874	0.1635220126	5.709299796877708	1.1161037196903791
2005	299	277	22	0.9264214047	0.0735785953	6.587772580387235	0.5232165948321993
2006	485	445	40	0.9175257732	0.0824742268	7.773890133934168	0.6987766412525096
2007	827	767	60	0.9274486094	0.0725513906	8.69152068387015	0.6799103533666351
2008	1184	1118	66	0.9442567568	0.0557432432	8.986871330469725	0.5305308656627924
2009	1587	1485	102	0.9357277883	0.0642722117	9.703699020661528	0.6665167004090746
2010	1850	1737	113	0.9389189189	0.0610810811	10.051611989514173	0.6539045220582046
2011	2169	2015	154	0.9289995390	0.0710004610	10.701714159148022	0.8178977570763253
2012	2148	1994	154	0.9283054004	0.0716945996	10.947307463337845	0.8454791120130531
2013	1849	1723	126	0.9318550568	0.0681449432	10.592638057531255	0.7746212392622972
2014	1572	1465	107	0.9319338422	0.0680661578	11.117410555499442	0.8119883477395496
2015	1398	1294	104	0.9256080114	0.0743919886	11.300562627416792	0.9082368726826479
2016	1102	1000	102	0.9074410163	0.0925589837	8.65430281810582	0.8827388874467935
2017	1006	878	128	0.8727634195	0.1272365805	8.900007252796343	1.2974953625944556
2018	950	841	109	0.8852631579	0.1147368421	9.04349735119081	1.1721060776216388
2019	1008	912	96	0.9047619048	0.0952380952	9.477272710268052	0.9976076537124264
2020	973	881	92	0.9054470709	0.0945529291	8.280095187823903	0.8646637426558447
2021	1034	901	133	0.8713733075	0.1286266925	8.251218144459838	1.217993355397512
2022	901	773	128	0.8579356271	0.1420643729	8.007412979102785	1.3259364312097757
2023	889	787	102	0.8852643420	0.1147356580	7.78018930693352	1.0083599864132389
2024	872	777	95	0.8910550459	0.1089449541	8.576639838083636	1.0486239184272141
