period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	1	0	1	0.0000000000	1.0000000000	0.0	0.3147187673095322
2001	3	1	2	0.3333333333	0.6666666667	0.3038806162455793	0.6077612324911587
2002	9	4	5	0.4444444444	0.5555555556	0.6634745798837492	0.8293432248546867
2003	18	3	15	0.1666666667	0.8333333333	0.4222207460133917	2.1111037300669584
2004	27	5	22	0.1851851852	0.8148148148	0.2146353307096883	0.9443954551226285
2005	67	8	59	0.1194029851	0.8805970149	0.19026057993898152	1.4031717770499887
2006	95	14	81	0.1473684211	0.8526315789	0.24457182443837838	1.415022698536332
2007	181	35	146	0.1933701657	0.8066298343	0.3966143727972038	1.6544485265254785
2008	201	45	156	0.2238805970	0.7761194030	0.3617255902246312	1.2539820461120548
2009	314	59	255	0.1878980892	0.8121019108	0.3855341698444647	1.6662917510226867
2010	322	70	252	0.2173913043	0.7826086957	0.405073597735171	1.4582649518466158
2011	333	85	248	0.2552552553	0.7447447447	0.45143707371095876	1.3171340503566795
2012	354	91	263	0.2570621469	0.7429378531	0.4996012934622587	1.4439026393469674
2013	356	95	261	0.2668539326	0.7331460674	0.5840398232533194	1.60457256704333
2014	326	75	251	0.2300613497	0.7699386503	0.5691507110323946	1.9047577129217472
2015	228	47	181	0.2061403509	0.7938596491	0.41045320207773506	1.580681480341916
2016	247	49	198	0.1983805668	0.8016194332	0.42406083808718514	1.7135519579849523
2017	269	59	210	0.2193308550	0.7806691450	0.5980642686958818	2.128703329256529
2018	295	67	228	0.2271186441	0.7728813559	0.720468873400457	2.451744822914988
2019	241	51	190	0.2116182573	0.7883817427	0.5299790660347266	1.9744318146391775
2020	268	68	200	0.2537313433	0.7462686567	0.6390992880499721	1.8797037883822707
2021	302	71	231	0.2350993377	0.7649006623	0.6502069791971681	2.115462143585152
2022	258	62	196	0.2403100775	0.7596899225	0.6422504588672352	2.0303401602899687
2023	275	61	214	0.2218181818	0.7781818182	0.6030388154039958	2.115578795023854
2024	191	57	134	0.2984293194	0.7015706806	0.6291743510563285	1.4791116323078601
