period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	27	0	27	0.0000000000	1.0000000000	0.0	4.420490117748759
2001	34	1	33	0.0294117647	0.9705882353	0.1720913295569612	5.679013875379719
2002	114	0	114	0.0000000000	1.0000000000	0.0	9.949097276513166
2003	51	1	50	0.0196078431	0.9803921569	0.07969767801612077	3.9848839008060386
2004	201	0	201	0.0000000000	1.0000000000	0.0	4.243259882504767
2005	263	3	260	0.0114068441	0.9885931559	0.03732379111630819	3.2347285634133764
2006	486	6	480	0.0123456790	0.9876543210	0.04999539500749152	3.9996316005993218
2007	683	8	675	0.0117130307	0.9882869693	0.047028796196320374	3.968054679064531
2008	949	15	934	0.0158061117	0.9841938883	0.06273381861343598	3.906225772329947
2009	1196	22	1174	0.0183946488	0.9816053512	0.0742468692879479	3.9620829338204917
2010	1627	16	1611	0.0098340504	0.9901659496	0.04483723192270909	4.514548789217771
2011	1736	31	1705	0.0178571429	0.9821428571	0.08374600799664156	4.606030439815286
2012	1668	19	1649	0.0113908873	0.9886091127	0.05318239341556289	4.615671933803326
2013	1598	24	1574	0.0150187735	0.9849812265	0.07441444920987342	4.880347627347533
2014	1565	18	1547	0.0115015974	0.9884984026	0.06485452576805242	5.573886186843172
2015	1528	16	1512	0.0104712042	0.9895287958	0.06651808743203931	6.285959262327714
2016	1478	22	1456	0.0148849797	0.9851150203	0.09889508522038978	6.545056549131251
2017	1405	27	1378	0.0192170819	0.9807829181	0.14400963443655665	7.349825046428706
2018	1505	19	1486	0.0126245847	0.9873754153	0.09992083587712937	7.814861163863908
2019	1544	18	1526	0.0116580311	0.9883419689	0.0960743128404867	8.144966744143483
2020	1754	23	1731	0.0131128848	0.9868871152	0.1037717175255163	7.8099496972464655
2021	1923	22	1901	0.0114404576	0.9885595424	0.1022814890347456	8.838050484320517
2022	2111	33	2078	0.0156324017	0.9843675983	0.1563579017588331	9.845809692571368
2023	1871	22	1849	0.0117584180	0.9882415820	0.11516062997261636	9.67872749178944
2024	1940	28	1912	0.0144329897	0.9855670103	0.1608146761219417	10.981345026612589
