period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	35	29	6	0.8285714286	0.1714285714	4.747933830174593	0.9823311372775021
2001	41	37	4	0.9024390244	0.0975609756	6.367379193607564	0.6883653182278447
2002	102	88	14	0.8627450980	0.1372549020	7.680004915203145	1.2218189637823185
2003	123	116	7	0.9430894309	0.0569105691	9.244930649870009	0.5578837461128453
2004	390	344	46	0.8820512821	0.1179487179	7.2620965153315415	0.9710943014687528
2005	754	664	90	0.8806366048	0.1193633952	8.260999100409546	1.1197137334892455
2006	1185	1019	166	0.8599156118	0.1400843882	8.490884585438977	1.3832059285405987
2007	1634	1445	189	0.8843329253	0.1156670747	8.494576312960367	1.1110553101380687
2008	2163	1942	221	0.8978270920	0.1021729080	8.121938383152845	0.9242782609046235
2009	2627	2368	258	0.9014084507	0.0982108869	7.991663021539118	0.8707132852859343
2010	3335	2958	377	0.8869565217	0.1130434783	8.289283251710842	1.0564772771788329
2011	3734	3382	352	0.9057311194	0.0942688806	9.136419324020702	0.9509224133812203
2012	3939	3545	394	0.8999746128	0.1000253872	9.92271498200897	1.1028348950385145
2013	3878	3422	456	0.8824136153	0.1175863847	10.610260216507786	1.413874534987595
2014	3856	3337	519	0.8654045643	0.1345954357	12.023308471555051	1.8699721596455114
2015	3680	3104	576	0.8434782609	0.1565217391	12.904508961815624	2.394651147553415
2016	3423	2900	523	0.8472100497	0.1527899503	13.036170324505926	2.351005889557448
2017	3065	2573	492	0.8394779772	0.1605220228	13.723584792787417	2.6241755608439212
2018	3412	2785	627	0.8162368113	0.1837631887	14.646290943042384	3.297387583945269
2019	3249	2650	599	0.8156355802	0.1843644198	14.14427383484943	3.1971396328584185
2020	5022	4101	921	0.8166069295	0.1833930705	18.5029484161801	4.155380514826109
2021	4457	3654	803	0.8198339690	0.1801660310	16.988025496952744	3.733274349768214
2022	4245	3411	834	0.8035335689	0.1964664311	16.1617212999812	3.951590608086873
2023	3362	2728	634	0.8114217728	0.1885782272	14.27991811660443	3.318719972847217
2024	3183	2585	598	0.8121269243	0.1878730757	14.846640634829258	3.4345420114614686
