period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	151	6	145	0.0397350993	0.9602649007	0.9823311372775021	23.739669150872963
2001	154	5	149	0.0324675325	0.9675324675	0.860456647784806	25.64160810398722
2002	294	20	274	0.0680272109	0.9319727891	1.7454556625461695	23.912742576882522
2003	421	9	412	0.0213776722	0.9786223278	0.7172791021450869	32.83544334264176
2004	1548	63	1485	0.0406976744	0.9593023256	1.3299769780985091	31.34945734089343
2005	2636	106	2530	0.0402124431	0.9597875569	1.3187739527762226	31.476397174753238
2006	3880	145	3735	0.0373711340	0.9626288660	1.2082220460143784	31.12213339216347
2007	5454	188	5266	0.0344701137	0.9655298863	1.1051767106135286	30.956705096227886
2008	7365	207	7158	0.0281059063	0.9718940937	0.8657266968654165	29.93657824233165
2009	9085	280	8805	0.0308200330	0.9691799670	0.9449601545738823	29.71562200365369
2010	11042	369	10673	0.0334178591	0.9665821409	1.0340586612174782	29.90923601944213
2011	11040	385	10655	0.0348731884	0.9651268116	1.0400713896357097	28.78431339368438
2012	10661	319	10342	0.0299221461	0.9700778539	0.8929043947139242	28.948016458092177
2013	9050	265	8785	0.0292817680	0.9707182320	0.821659543359019	27.238789012864082
2014	7750	238	7512	0.0307096774	0.9692903226	0.8575209518220265	27.06595542053388
2015	6495	216	6279	0.0332563510	0.9667436490	0.8979941803325306	26.10419193661092
2016	5522	160	5362	0.0289750091	0.9710249909	0.7192369834210166	24.10342940689682
2017	4854	183	4671	0.0377008653	0.9622991347	0.9760653000699951	24.9136667575243
2018	5006	179	4827	0.0357570915	0.9642429085	0.9413594537897978	25.385151304152814
2019	4866	157	4709	0.0322646938	0.9677353062	0.8379815064420228	25.134107731436217
2020	5540	185	5355	0.0333935018	0.9666064982	0.8346855540095875	24.160762928223466
2021	5582	171	5411	0.0306341813	0.9693658187	0.7950061193155226	25.156597143954926
2022	5684	171	5513	0.0300844476	0.9699155524	0.8102182182048623	26.121245830195356
2023	4907	155	4752	0.0315875280	0.9684124720	0.811358983897979	24.874696074085136
2024	4608	164	4444	0.0355902778	0.9644097222	0.9419145315713726	25.523586453068173
