period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	25	24	1	0.9600000000	0.0400000000	3.9293245491100084	0.163721856212917
2001	36	33	3	0.9166666667	0.0833333333	5.679013875379719	0.5162739886708836
2002	52	47	5	0.9038461538	0.0961538462	4.101820806983498	0.43636391563654237
2003	119	105	14	0.8823529412	0.1176470588	5.414637466816008	0.7219516622421344
2004	943	844	99	0.8950159067	0.1049840933	5.868109075688415	0.688320851295205
2005	2459	2218	241	0.9019926800	0.0980073200	7.091703175056228	0.7705592719515559
2006	4747	4240	507	0.8931957025	0.1068042975	7.19675523834416	0.86055540232087
2007	6181	5526	655	0.8940300922	0.1059699078	6.864041488204486	0.8135988372736045
2008	5445	4735	710	0.8696051423	0.1303948577	5.493933227060437	0.8237999136669294
2009	5010	4381	629	0.8744510978	0.1255489022	4.924587142021226	0.707045266453173
2010	3812	3322	490	0.8714585519	0.1285414481	4.320228176921698	0.6372401585465479
2011	3335	2955	380	0.8860569715	0.1139430285	4.043120228876123	0.5199274744409229
2012	2780	2438	342	0.8769784173	0.1230215827	3.7640771022005093	0.5280206599477335
2013	2047	1795	252	0.8768930142	0.1231069858	3.3849914457777457	0.4752188547832824
2014	1635	1426	209	0.8721712538	0.1278287462	3.427165091959612	0.5022983900557917
2015	1212	1063	149	0.8770627063	0.1229372937	3.227603646907922	0.4524110474028978
2016	1051	896	155	0.8525214082	0.1474785918	3.128301890349737	0.5411682957636264
2017	933	774	159	0.8295819936	0.1704180064	3.107935179699266	0.6384518004808569
2018	1032	844	188	0.8178294574	0.1821705426	3.4212555888834766	0.7620806288034283
2019	910	741	169	0.8142857143	0.1857142857	3.178498082445565	0.7249206152946025
2020	927	794	133	0.8565264293	0.1434735707	3.0150501697323255	0.5050398898921905
2021	946	766	180	0.8097251586	0.1902748414	2.994473347605921	0.7036621443460389
2022	1017	844	173	0.8298918387	0.1701081613	3.4581924224063054	0.7088474989055579
2023	758	617	141	0.8139841689	0.1860158311	2.8621279165866262	0.6540681300465386
2024	696	556	140	0.7988505747	0.2011494253	3.193319997278556	0.8040733806097083
