period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	27	0	27	0.0000000000	1.0000000000	0.0	4.420490117748759
2001	34	1	33	0.0294117647	0.9705882353	0.1720913295569612	5.679013875379719
2002	114	0	114	0.0000000000	1.0000000000	0.0	9.949097276513166
2003	59	1	58	0.0169491525	0.9830508475	0.05156797587443817	2.9909426007174136
2004	310	3	307	0.0096774194	0.9903225806	0.020858207615006213	2.1344899126023025
2005	571	6	565	0.0105078809	0.9894921191	0.019184048264354086	1.8064978782266765
2006	1180	14	1166	0.0118644068	0.9881355932	0.023762871070004302	1.9791076905446439
2007	1609	32	1577	0.0198881293	0.9801118707	0.03974834014161121	1.9588478876037778
2008	1862	29	1833	0.0155746509	0.9844253491	0.03364816548780416	2.1267961151429318
2009	2098	38	2060	0.0181124881	0.9818875119	0.04271497635170202	2.3156013495922676
2010	2260	29	2231	0.0128318584	0.9871681416	0.03771421346499977	2.901393456566017
2011	2527	41	2486	0.0162247725	0.9837752275	0.05609743803178379	3.4014202670003537
2012	2387	29	2358	0.0121491412	0.9878508588	0.04477368169147448	3.6405634975343726
2013	2176	33	2143	0.0151654412	0.9848345588	0.0622310405073346	4.041246054764183
2014	2045	24	2021	0.0117359413	0.9882640587	0.05768019790114353	4.857153331592128
2015	1849	23	1826	0.0124391563	0.9875608437	0.06983526235078288	5.544312567501284
2016	1705	28	1677	0.0164222874	0.9835777126	0.09775943407342928	5.85509181932646
2017	1658	31	1627	0.0186972256	0.9813027744	0.12447802399312306	6.533088549574555
2018	1780	25	1755	0.0140449438	0.9859550562	0.10134050914939208	7.114103742287323
2019	1813	21	1792	0.0115830116	0.9884169884	0.09007889302477308	7.686732204780636
2020	1994	25	1969	0.0125376128	0.9874623872	0.094932310130111	7.476868745847542
2021	2146	24	2122	0.0111835974	0.9888164026	0.09382161924613852	8.295394835012747
2022	2330	36	2294	0.0154506438	0.9845493562	0.14750583792254382	9.399399783175433
2023	2096	24	2072	0.0114503817	0.9885496183	0.11133074553983636	9.611554364939206
2024	1940	28	1912	0.0144329897	0.9855670103	0.1608146761219417	10.981345026612589
