period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	17	0	17	0.0000000000	1.0000000000	0.0	2.783271555619589
2001	11	2	9	0.1818181818	0.8181818182	0.3441826591139224	1.5488219660126508
2002	37	8	29	0.2162162162	0.7837837838	0.6981822650184678	2.5309107106919457
2003	30	7	23	0.2333333333	0.7666666667	0.3609758311210672	1.186063445112078
2004	92	11	81	0.1195652174	0.8804347826	0.07648009458835611	0.5631716056051678
2005	190	18	172	0.0947368421	0.9052631579	0.05755214479306226	0.5499427169114839
2006	383	51	332	0.1331592689	0.8668407311	0.08656474461215853	0.5635195139458163
2007	535	96	439	0.1794392523	0.8205607477	0.11924502042483363	0.5452975413177288
2008	550	124	426	0.2254545455	0.7745454545	0.1438749144995764	0.4942799482001576
2009	728	142	586	0.1950549451	0.8049450549	0.15961912215636018	0.658709898476247
2010	854	175	679	0.2049180328	0.7950819672	0.2275857709094814	0.8830327911287877
2011	832	208	624	0.2500000000	0.7500000000	0.28459188074661046	0.8537756422398313
2012	906	216	690	0.2384105960	0.7615894040	0.3334867325985685	1.065304840245427
2013	920	224	696	0.2434782609	0.7565217391	0.4224167598073621	1.3125092179728752
2014	843	176	667	0.2087781732	0.7912218268	0.42298811794171925	1.6030288333359473
2015	600	122	478	0.2033333333	0.7966666667	0.3704305220345875	1.4513589305945311
2016	549	105	444	0.1912568306	0.8087431694	0.36659787777535974	1.550185311735807
2017	546	132	414	0.2417582418	0.7582417582	0.5300354570029756	1.6623839333275143
2018	614	149	465	0.2426710098	0.7573289902	0.6039894345303767	1.8849334701786926
2019	527	124	403	0.2352941176	0.7647058824	0.531894415955803	1.7286568518563599
2020	578	155	423	0.2681660900	0.7318339100	0.5885803228066881	1.606254687401478
2021	606	159	447	0.2623762376	0.7376237624	0.6215682275056678	1.74742765845933
2022	621	147	474	0.2367149758	0.7632850242	0.6023155048503873	1.942160199313494
2023	519	135	384	0.2601156069	0.7398843931	0.6262354436615795	1.7812919286373818
2024	372	97	275	0.2607526882	0.7392473118	0.5571079851367265	1.5794298547690702
