period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
2003	Jennie med ie	1976		15.0	14.0	1.0	0.9333333333333333	0.06666666666666667
2003	Moonlight	1977		2.0	0.0	2.0	0.0	1.0
2003	vanilla	1973		4.0	4.0	0.0	1.0	0.0
2003	evita	1971		1.0	1.0	0.0	1.0	0.0
2003	MalinI	1979		38.0	6.0	32.0	0.15789473684210525	0.8421052631578947
2003	Maria2	1978		1.0	1.0	0.0	1.0	0.0
2003	Baronessan	1975		21.0	3.0	18.0	0.14285714285714285	0.8571428571428571
2003	hummelhonung	1973		10.0	1.0	9.0	0.1	0.9
2003	Jossebell	1969		36.0	36.0	0.0	1.0	0.0
2003	Snoffsan	1980		9.0	0.0	9.0	0.0	1.0
2003	Prillis	1971		6.0	6.0	0.0	1.0	0.0
2003	Lena	1980		5.0	1.0	4.0	0.2	0.8
2003	annica83	1985		3.0	0.0	3.0	0.0	1.0
2003	Maja Gräddnos	1979		2.0	2.0	0.0	1.0	0.0
2003	Eken	1985		2.0	0.0	2.0	0.0	1.0
2003	Morfen	1975		1.0	0.0	1.0	0.0	1.0
2003	Atjo	1977		2.0	1.0	1.0	0.5	0.5
2003	marremask	1980		9.0	6.0	3.0	0.6666666666666666	0.3333333333333333
2003	Jissa	1978		15.0	0.0	15.0	0.0	1.0
2003	Mamba	1985		9.0	0.0	9.0	0.0	1.0
2003	Annicka	1977		6.0	4.0	2.0	0.6666666666666666	0.3333333333333333
2003	Tilda	1981		3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2003	GalnaMamman	1985		3.0	3.0	0.0	1.0	0.0
2003	5 barn Waldenryd	1976		17.0	11.0	6.0	0.6470588235294118	0.35294117647058826
2003	Pyris	1978		3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2003	jebba	1975		1.0	1.0	0.0	1.0	0.0
2003	tuvali	1978		1.0	0.0	1.0	0.0	1.0
2003	CharlotteA	1979		1.0	1.0	0.0	1.0	0.0
2003	sommar 77	1978		1.0	0.0	1.0	0.0	1.0
2003	Norea	1973		2.0	0.0	2.0	0.0	1.0
2003	Linda3	1982		1.0	1.0	0.0	1.0	0.0
2003	tigger	1973		3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2003	Akela	1978		5.0	5.0	0.0	1.0	0.0
2003	Nemi	1971		17.0	14.0	3.0	0.8235294117647058	0.17647058823529413
2003	pabe	1983		2.0	2.0	0.0	1.0	0.0
2003	Gwendolyn	1976		1.0	0.0	1.0	0.0	1.0
2003	fowler	1980		2.0	0.0	2.0	0.0	1.0
2003	Zizzla	1968		2.0	1.0	1.0	0.5	0.5
2003	Sunflower	1971		5.0	5.0	0.0	1.0	0.0
2003	Rebecca	1981		2.0	2.0	0.0	1.0	0.0
2003	Lilla Mina	1979		1.0	1.0	0.0	1.0	0.0
2003	Tavi	1978		1.0	1.0	0.0	1.0	0.0
2003	aggebagge	1978		2.0	0.0	2.0	0.0	1.0
2003	Pix	1966		1.0	1.0	0.0	1.0	0.0
2003	ladymarina	1978		10.0	6.0	4.0	0.6	0.4
2003	car	1975		1.0	1.0	0.0	1.0	0.0
2003	Michanna	1978		1.0	1.0	0.0	1.0	0.0
2003	s74	1975		1.0	1.0	0.0	1.0	0.0
2003	Snutten	1981		2.0	2.0	0.0	1.0	0.0
2003	Tipptopp	1972		5.0	5.0	0.0	1.0	0.0
2003	Persikan	1983		7.0	6.0	1.0	0.8571428571428571	0.14285714285714285
2003	Vilda	1981		2.0	0.0	2.0	0.0	1.0
2003	Lorelei	1978		3.0	0.0	3.0	0.0	1.0
2003	jesslin	1973		1.0	1.0	0.0	1.0	0.0
2003	fröken	1977		7.0	7.0	0.0	1.0	0.0
2003	Julianna	1974		1.0	1.0	0.0	1.0	0.0
2003	Noel	1964		5.0	3.0	2.0	0.6	0.4
2003	Längtan01	1979		5.0	4.0	1.0	0.8	0.2
2003	Trulsan	1973		2.0	2.0	0.0	1.0	0.0
2003	Mysen	1978		1.0	1.0	0.0	1.0	0.0
2003	Nallen	1980		1.0	1.0	0.0	1.0	0.0
2003	Lillstrumpa	1982		1.0	1.0	0.0	1.0	0.0
2003	Minimo	1975		1.0	0.0	1.0	0.0	1.0
