period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
2003	MalinI	1979		10.0	0.0	10.0	0.0	1.0
2003	Snoffsan	1980		1.0	0.0	1.0	0.0	1.0
2003	Pyris	1978		1.0	0.0	1.0	0.0	1.0
2003	Jossebell	1969		4.0	0.0	4.0	0.0	1.0
2003	Baronessan	1975		1.0	0.0	1.0	0.0	1.0
2003	Leonesse	1981		1.0	0.0	1.0	0.0	1.0
2003	Vitsippa	1973		1.0	0.0	1.0	0.0	1.0
2003	Frida	1979		1.0	0.0	1.0	0.0	1.0
2003	pabe	1983		1.0	0.0	1.0	0.0	1.0
2003	Tilda	1981		1.0	0.0	1.0	0.0	1.0
2003	Lena	1980		1.0	0.0	1.0	0.0	1.0
2003	Jennie med ie	1976		2.0	0.0	2.0	0.0	1.0
2003	Sunflower	1971		1.0	0.0	1.0	0.0	1.0
2003	Moonlight	1977		1.0	0.0	1.0	0.0	1.0
2003	Lilla H	1979		1.0	0.0	1.0	0.0	1.0
2003	Persikan	1983		2.0	0.0	2.0	0.0	1.0
2003	höst	1975		1.0	0.0	1.0	0.0	1.0
2003	Jojo77	1978		1.0	0.0	1.0	0.0	1.0
2003	Snutten	1981		1.0	0.0	1.0	0.0	1.0
