year	v2abs	v2rel	total
2003	0.0	NA	0
2004	40.0	0.6349206349206349	63.0
2005	99.0	0.5380434782608695	184.0
2006	210.0	0.5384615384615384	390.0
2007	222.0	0.556390977443609	399.0
2008	335.0	0.600358422939068	558.0
2009	423.0	0.5700808625336927	742.0
2010	337.0	0.5922671353251318	569.0
2011	361.0	0.6256499133448874	577.0
2012	232.0	0.5933503836317136	391.0
2013	102.0	0.5964912280701754	171.0
2014	71.0	0.4797297297297297	148.0
2015	78.0	0.6	130.0
2016	73.0	0.7525773195876289	97.0
2017	89.0	0.7876106194690266	113.0
2018	54.0	0.5294117647058824	102.0
2019	55.0	0.7333333333333333	75.0
2020	49.0	0.7205882352941176	68.0
2021	12.0	0.6	20.0
2022	14.0	0.5833333333333334	24.0
