year	v2abs	v2rel	total
2003	8.0	0.8	10.0
2004	61.0	0.782051282051282	78.0
2005	295.0	0.8501440922190202	347.0
2006	611.0	0.8201342281879195	745.0
2007	869.0	0.8698698698698699	999.0
2008	974.0	0.8233305156382079	1183.0
2009	1257.0	0.8493243243243244	1480.0
2010	910.0	0.8496732026143791	1071.0
2011	945.0	0.8906691800188501	1061.0
2012	602.0	0.887905604719764	678.0
2013	271.0	0.8442367601246106	321.0
2014	108.0	0.8120300751879699	133.0
2015	99.0	0.9252336448598131	107.0
2016	47.0	0.7833333333333333	60.0
2017	64.0	0.8205128205128205	78.0
2018	39.0	0.8478260869565217	46.0
2019	59.0	0.8309859154929577	71.0
2020	46.0	0.7931034482758621	58.0
2021	14.0	1.0	14.0
2022	0.0	NA	0
