period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
2003	Jennie med ie	1976		2.0	0.0	2.0	0.0	1.0
2003	Jossebell	1969		3.0	3.0	0.0	1.0	0.0
2003	Lena	1980		1.0	0.0	1.0	0.0	1.0
2003	Maja Gräddnos	1979		1.0	0.0	1.0	0.0	1.0
2003	Nemi	1971		1.0	1.0	0.0	1.0	0.0
2003	Baronessan	1975		2.0	0.0	2.0	0.0	1.0
2003	annica83	1985		2.0	0.0	2.0	0.0	1.0
2003	Pyris	1978		1.0	1.0	0.0	1.0	0.0
2003	Vitsippa	1973		2.0	2.0	0.0	1.0	0.0
2004	Jennie med ie	1976		5.0	1.0	4.0	0.2	0.8
2004	Brodsmulan	1978		2.0	0.0	2.0	0.0	1.0
2004	giftgrodan	1980		1.0	0.0	1.0	0.0	1.0
2004	Väntarochlängtar	1971		2.0	2.0	0.0	1.0	0.0
2004	hannis	1979		1.0	1.0	0.0	1.0	0.0
2004	kixan	1982		14.0	0.0	14.0	0.0	1.0
2004	Lottizz	1984		1.0	0.0	1.0	0.0	1.0
2004	Mitti	1982		8.0	7.0	1.0	0.875	0.125
2004	Mamma till 1	1985		1.0	1.0	0.0	1.0	0.0
2004	Jossebell	1969		7.0	7.0	0.0	1.0	0.0
2004	pabe	1983		2.0	1.0	1.0	0.5	0.5
2004	Sunshine78	1979		2.0	1.0	1.0	0.5	0.5
2004	Toffsan	1985		3.0	0.0	3.0	0.0	1.0
2004	Kassiopeja	1978		1.0	1.0	0.0	1.0	0.0
2004	Catja3	1982		1.0	0.0	1.0	0.0	1.0
2004	Sashimi	1976		2.0	2.0	0.0	1.0	0.0
2004	TigerLily	1974		2.0	0.0	2.0	0.0	1.0
2004	morotsland	1981		3.0	3.0	0.0	1.0	0.0
2004	Pyris	1978		3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2004	Tvillingmamma80	1981		1.0	0.0	1.0	0.0	1.0
2004	mamma30	1986		3.0	3.0	0.0	1.0	0.0
2004	andypandy	1976		1.0	0.0	1.0	0.0	1.0
2004	ronja3	1969		1.0	0.0	1.0	0.0	1.0
2004	Maja Gräddnos	1979		2.0	1.0	1.0	0.5	0.5
2004	AnnaKlara	1971		1.0	1.0	0.0	1.0	0.0
2004	VIVO	1986		1.0	0.0	1.0	0.0	1.0
2004	Pallas	1974		6.0	0.0	6.0	0.0	1.0
2004	sommar 77	1978		2.0	0.0	2.0	0.0	1.0
2004	tigger	1973		2.0	1.0	1.0	0.5	0.5
2004	Sladdis	1974		1.0	0.0	1.0	0.0	1.0
2004	evita	1971		1.0	1.0	0.0	1.0	0.0
2004	msblaise	1977		1.0	0.0	1.0	0.0	1.0
2004	Vitsippa	1973		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2004	s74	1975		2.0	0.0	2.0	0.0	1.0
2004	Mistress	1977		2.0	1.0	1.0	0.5	0.5
2004	Tilda	1981		2.0	2.0	0.0	1.0	0.0
2004	TessaLisa	1984		2.0	2.0	0.0	1.0	0.0
2004	Jennaz	1980		5.0	0.0	5.0	0.0	1.0
2004	Diana	1966		1.0	1.0	0.0	1.0	0.0
2004	Anne M	1959		5.0	4.0	1.0	0.8	0.2
2004	foxy	1982		3.0	0.0	3.0	0.0	1.0
2004	mammatill5	1985		1.0	0.0	1.0	0.0	1.0
2004	Norea	1973		1.0	0.0	1.0	0.0	1.0
2004	Strumpa	1984		1.0	1.0	0.0	1.0	0.0
2004	Katja80	1981		1.0	0.0	1.0	0.0	1.0
2004	place	1978		1.0	1.0	0.0	1.0	0.0
2004	Zizzla	1968		1.0	1.0	0.0	1.0	0.0
2004	SandraS	1984		1.0	0.0	1.0	0.0	1.0
2004	BirkaCarro	1980		1.0	0.0	1.0	0.0	1.0
2004	delifi2	1975		4.0	2.0	2.0	0.5	0.5
2004	Sparvöga	1980		1.0	1.0	0.0	1.0	0.0
2004	MammaU	1973		1.0	0.0	1.0	0.0	1.0
2004	Tulsa	1965		2.0	2.0	0.0	1.0	0.0
2004	MME	1969		1.0	0.0	1.0	0.0	1.0
2004	jesslin	1973		3.0	0.0	3.0	0.0	1.0
2004	Peppan	1973		1.0	1.0	0.0	1.0	0.0
2004	lillsmulan	1981		1.0	1.0	0.0	1.0	0.0
2004	Josefin	1971		1.0	1.0	0.0	1.0	0.0
2004	Jennie84	1985		1.0	1.0	0.0	1.0	0.0
2004	Tizzan	1984		1.0	1.0	0.0	1.0	0.0
2004	bripoint	1968		1.0	1.0	0.0	1.0	0.0
2004	GalnaMamman	1985		1.0	1.0	0.0	1.0	0.0
2004	Snoffsan	1980		2.0	0.0	2.0	0.0	1.0
2004	vanilla	1973		1.0	1.0	0.0	1.0	0.0
2004	Litenmyra	1978		1.0	1.0	0.0	1.0	0.0
2004	anna83	1984		1.0	0.0	1.0	0.0	1.0
2004	annacarin	1972		1.0	1.0	0.0	1.0	0.0
2004	Julianna	1974		5.0	2.0	3.0	0.4	0.6
2004	Pyttet	1976		1.0	1.0	0.0	1.0	0.0
2004	werner	1976		2.0	0.0	2.0	0.0	1.0
2004	mittliv	1977		2.0	2.0	0.0	1.0	0.0
2004	Eva77	1978		2.0	2.0	0.0	1.0	0.0
2004	Scraptroll	1984		1.0	0.0	1.0	0.0	1.0
2004	Emy	1984		1.0	1.0	0.0	1.0	0.0
2004	ego	1980		1.0	0.0	1.0	0.0	1.0
2004	Saucy	1982		1.0	1.0	0.0	1.0	0.0
2004	svarten	1966		1.0	1.0	0.0	1.0	0.0
2004	India	1975		1.0	1.0	0.0	1.0	0.0
2004	ljus	1951		2.0	1.0	1.0	0.5	0.5
2004	Morfen	1975		1.0	1.0	0.0	1.0	0.0
2004	Linda 1978	1979		1.0	0.0	1.0	0.0	1.0
2004	Aran	1971		2.0	1.0	1.0	0.5	0.5
2004	annica83	1985		1.0	0.0	1.0	0.0	1.0
2004	Pompelipossa	1968		1.0	0.0	1.0	0.0	1.0
2004	tuvali	1978		1.0	0.0	1.0	0.0	1.0
2004	Limani	1983		1.0	0.0	1.0	0.0	1.0
2004	Anova	1979		2.0	1.0	1.0	0.5	0.5
2004	Fluortanten	1977		4.0	0.0	4.0	0.0	1.0
2004	Regnbågsbarn	1986		1.0	1.0	0.0	1.0	0.0
2004	IMagine	1980		1.0	0.0	1.0	0.0	1.0
2004	Essa	1986		1.0	1.0	0.0	1.0	0.0
2004	MissWiren	1983		1.0	0.0	1.0	0.0	1.0
2004	Linha	1972		3.0	3.0	0.0	1.0	0.0
2004	Totinona	1973		1.0	1.0	0.0	1.0	0.0
2004	Lilla Jag	1984		1.0	0.0	1.0	0.0	1.0
2004	glader	1975		1.0	1.0	0.0	1.0	0.0
2004	stinaliza	1972		1.0	1.0	0.0	1.0	0.0
2004	bubbelmaja	1978		1.0	0.0	1.0	0.0	1.0
2004	Magic	1976		3.0	3.0	0.0	1.0	0.0
2004	lens	1980		1.0	1.0	0.0	1.0	0.0
2004	3flickor4pojkar7barnsmamma	1977		1.0	1.0	0.0	1.0	0.0
2004	Sigrid	1975		1.0	0.0	1.0	0.0	1.0
2004	sydney	1978		1.0	0.0	1.0	0.0	1.0
2004	Lenen	1985		1.0	0.0	1.0	0.0	1.0
2004	zetika	1985		1.0	0.0	1.0	0.0	1.0
2004	nonno	1985		1.0	0.0	1.0	0.0	1.0
2004	Kiapia	1971		2.0	2.0	0.0	1.0	0.0
2004	sladdisen	1985		2.0	2.0	0.0	1.0	0.0
2004	Pinja	1975		2.0	0.0	2.0	0.0	1.0
2004	CoolJen	1980		2.0	2.0	0.0	1.0	0.0
2004	Jois	1974		1.0	0.0	1.0	0.0	1.0
2005	vanilla	1973		1.0	0.0	1.0	0.0	1.0
2005	Miss Cee	1981		4.0	2.0	2.0	0.5	0.5
2005	trollprinsessan	1978		5.0	5.0	0.0	1.0	0.0
2005	Pyris	1978		4.0	4.0	0.0	1.0	0.0
2005	Lilla Morran	1984		1.0	0.0	1.0	0.0	1.0
2005	Anova	1979		1.0	1.0	0.0	1.0	0.0
2005	pysis	1980		1.0	0.0	1.0	0.0	1.0
2005	Anne M	1959		4.0	2.0	2.0	0.5	0.5
2005	tempo21	1974		1.0	0.0	1.0	0.0	1.0
2005	Jennaz	1980		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2005	camave	1979		1.0	0.0	1.0	0.0	1.0
2005	sebbeman	1980		1.0	0.0	1.0	0.0	1.0
2005	TessaLisa	1984		9.0	9.0	0.0	1.0	0.0
2005	Maggi74	1975		2.0	0.0	2.0	0.0	1.0
2005	Jennie med ie	1976		10.0	0.0	10.0	0.0	1.0
2005	ShuppShupp	1985		1.0	1.0	0.0	1.0	0.0
2005	Lillatroll	1974		2.0	1.0	1.0	0.5	0.5
2005	Lejla	1980		1.0	0.0	1.0	0.0	1.0
2005	Väntarochlängtar	1971		3.0	3.0	0.0	1.0	0.0
2005	Avalon	1980		1.0	1.0	0.0	1.0	0.0
2005	Atjo	1977		1.0	0.0	1.0	0.0	1.0
2005	Marre	1980		3.0	0.0	3.0	0.0	1.0
2005	Lenen	1985		5.0	2.0	3.0	0.4	0.6
2005	Fjärilen	1982		1.0	1.0	0.0	1.0	0.0
2005	mamma30	1986		2.0	2.0	0.0	1.0	0.0
2005	Vaja	1979		1.0	0.0	1.0	0.0	1.0
2005	Mitti	1982		3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2005	saralways	1978		2.0	2.0	0.0	1.0	0.0
2005	hot fuss	1980		5.0	1.0	4.0	0.2	0.8
2005	Theresa1	1980		3.0	0.0	3.0	0.0	1.0
2005	Jennski	1983		1.0	1.0	0.0	1.0	0.0
2005	Gustie	1973		1.0	0.0	1.0	0.0	1.0
2005	HeyMama	1985		6.0	0.0	6.0	0.0	1.0
2005	Mistress	1977		1.0	0.0	1.0	0.0	1.0
2005	giftgrodan	1980		1.0	0.0	1.0	0.0	1.0
2005	delifi2	1975		2.0	1.0	1.0	0.5	0.5
2005	fru bengtsson	1972		4.0	0.0	4.0	0.0	1.0
2005	smultronpuss	1973		4.0	4.0	0.0	1.0	0.0
2005	Pallas	1974		28.0	2.0	26.0	0.07142857142857142	0.9285714285714286
2005	Legewiel	1985		1.0	1.0	0.0	1.0	0.0
2005	morotsland	1981		5.0	3.0	2.0	0.6	0.4
2005	Bojangles	1971		1.0	0.0	1.0	0.0	1.0
2005	näbben	1978		1.0	0.0	1.0	0.0	1.0
2005	brokig	1984		1.0	0.0	1.0	0.0	1.0
