period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
2003	Jossebell	1969		6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2003	MalinI	1979		4.0	0.0	4.0	0.0	1.0
2003	Baronessan	1975		2.0	0.0	2.0	0.0	1.0
2003	marremask	1980		1.0	0.0	1.0	0.0	1.0
2003	millface	1978		1.0	0.0	1.0	0.0	1.0
2003	GalnaMamman	1985		1.0	0.0	1.0	0.0	1.0
2003	pabe	1983		1.0	1.0	0.0	1.0	0.0
2003	Akela	1978		1.0	0.0	1.0	0.0	1.0
2003	Michanna	1978		1.0	0.0	1.0	0.0	1.0
2003	Persikan	1983		1.0	0.0	1.0	0.0	1.0
2003	fröken	1977		1.0	0.0	1.0	0.0	1.0
2004	Mamma till 1	1985		1.0	0.0	1.0	0.0	1.0
2004	msblaise	1977		2.0	0.0	2.0	0.0	1.0
2004	Josephine	1972		2.0	2.0	0.0	1.0	0.0
2004	Gulletuss	1981		1.0	0.0	1.0	0.0	1.0
2004	Jossebell	1969		7.0	4.0	3.0	0.5714285714285714	0.42857142857142855
2004	delifi2	1975		1.0	1.0	0.0	1.0	0.0
2004	Strumpa	1984		2.0	0.0	2.0	0.0	1.0
2004	millface	1978		6.0	3.0	3.0	0.5	0.5
2004	musli	1972		4.0	2.0	2.0	0.5	0.5
2004	Regnbågsbarn	1986		2.0	0.0	2.0	0.0	1.0
2004	Brodsmulan	1978		15.0	1.0	14.0	0.06666666666666667	0.9333333333333333
2004	Mitti	1982		2.0	0.0	2.0	0.0	1.0
2004	Anova	1979		1.0	0.0	1.0	0.0	1.0
2004	morotsland	1981		4.0	4.0	0.0	1.0	0.0
2004	LitensMamma	1979		1.0	0.0	1.0	0.0	1.0
2004	andypandy	1976		2.0	0.0	2.0	0.0	1.0
2004	ronja3	1969		1.0	0.0	1.0	0.0	1.0
2004	mammatill5	1985		1.0	0.0	1.0	0.0	1.0
2004	SandraS	1984		1.0	1.0	0.0	1.0	0.0
2004	fröken	1977		1.0	0.0	1.0	0.0	1.0
2004	Betty Boop	1974		1.0	0.0	1.0	0.0	1.0
2004	Marlene	1967		4.0	0.0	4.0	0.0	1.0
2004	Anne M	1959		2.0	0.0	2.0	0.0	1.0
2004	MalinI	1979		5.0	0.0	5.0	0.0	1.0
2004	Josefin	1971		2.0	1.0	1.0	0.5	0.5
2004	minime	1985		2.0	0.0	2.0	0.0	1.0
2004	mamma30	1986		3.0	3.0	0.0	1.0	0.0
2004	marremask	1980		2.0	2.0	0.0	1.0	0.0
2004	Michanna	1978		4.0	2.0	2.0	0.5	0.5
2004	Veran	1973		1.0	0.0	1.0	0.0	1.0
2004	Naomi	1972		2.0	2.0	0.0	1.0	0.0
2004	Rose77	1978		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2004	adromina	1977		2.0	1.0	1.0	0.5	0.5
2004	Annika31	1973		1.0	0.0	1.0	0.0	1.0
2004	Jennaz	1980		2.0	0.0	2.0	0.0	1.0
2004	kixan	1982		8.0	0.0	8.0	0.0	1.0
2004	Lena	1980		1.0	0.0	1.0	0.0	1.0
2004	lenka	1986		1.0	1.0	0.0	1.0	0.0
2004	Dellan	1967		1.0	0.0	1.0	0.0	1.0
2004	pabe	1983		3.0	0.0	3.0	0.0	1.0
2004	Pyris	1978		3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2004	Sladdis	1974		1.0	1.0	0.0	1.0	0.0
2004	Snutten	1981		1.0	1.0	0.0	1.0	0.0
2004	Sanna80	1981		1.0	1.0	0.0	1.0	0.0
2004	evita	1971		1.0	0.0	1.0	0.0	1.0
2004	Baronessan	1975		3.0	0.0	3.0	0.0	1.0
2004	annacarin	1972		1.0	0.0	1.0	0.0	1.0
2004	Mossberg	1963		1.0	1.0	0.0	1.0	0.0
2004	Rae	1975		1.0	0.0	1.0	0.0	1.0
2004	jebba	1975		1.0	1.0	0.0	1.0	0.0
2004	Jennie med ie	1976		3.0	0.0	3.0	0.0	1.0
2004	Leonesse	1981		1.0	0.0	1.0	0.0	1.0
2004	Joje	1975		2.0	0.0	2.0	0.0	1.0
2004	jesslin	1973		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
2004	Diana	1966		1.0	1.0	0.0	1.0	0.0
2004	MissWiren	1983		3.0	0.0	3.0	0.0	1.0
2004	Maja Gräddnos	1979		1.0	0.0	1.0	0.0	1.0
2004	Lily of the valley	1986		1.0	0.0	1.0	0.0	1.0
2004	TildisVildis	1976		1.0	0.0	1.0	0.0	1.0
2004	place	1978		1.0	1.0	0.0	1.0	0.0
2004	Sano	1981		1.0	1.0	0.0	1.0	0.0
2004	Vanna	1986		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2004	Lioness	1977		1.0	0.0	1.0	0.0	1.0
2004	Dantes matte	1972		1.0	0.0	1.0	0.0	1.0
2004	Tulsa	1965		1.0	1.0	0.0	1.0	0.0
2004	GalnaMamman	1985		1.0	1.0	0.0	1.0	0.0
2004	Flinga	1971		2.0	0.0	2.0	0.0	1.0
2004	simme	1969		1.0	0.0	1.0	0.0	1.0
2004	Scraptroll	1984		2.0	0.0	2.0	0.0	1.0
2004	fian82	1983		1.0	0.0	1.0	0.0	1.0
2004	Vilda	1981		5.0	0.0	5.0	0.0	1.0
2004	anna83	1984		1.0	0.0	1.0	0.0	1.0
2004	Annie1982	1983		1.0	0.0	1.0	0.0	1.0
2004	Minja	1976		1.0	1.0	0.0	1.0	0.0
2004	Eken	1985		1.0	1.0	0.0	1.0	0.0
2004	Lorelei	1978		1.0	0.0	1.0	0.0	1.0
2004	Tizzan	1984		1.0	0.0	1.0	0.0	1.0
2004	Norea	1973		1.0	0.0	1.0	0.0	1.0
2004	Sara K	1986		1.0	1.0	0.0	1.0	0.0
2004	Fluortanten	1977		5.0	0.0	5.0	0.0	1.0
2004	gotjej	1971		1.0	0.0	1.0	0.0	1.0
2004	Zizzla	1968		1.0	0.0	1.0	0.0	1.0
2004	Kuben	1975		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2004	Russi	1975		1.0	0.0	1.0	0.0	1.0
2004	sommar 77	1978		1.0	0.0	1.0	0.0	1.0
2004	Malvan	1978		1.0	0.0	1.0	0.0	1.0
2004	Mamba	1985		1.0	0.0	1.0	0.0	1.0
2004	mariiee	1986		1.0	0.0	1.0	0.0	1.0
2004	Suzieq	1982		1.0	0.0	1.0	0.0	1.0
2004	Nefertiti	1980		2.0	1.0	1.0	0.5	0.5
2004	Nina75	1976		1.0	0.0	1.0	0.0	1.0
2004	Linha	1972		1.0	0.0	1.0	0.0	1.0
2004	mamma83	1984		2.0	0.0	2.0	0.0	1.0
2004	Julianna	1974		3.0	0.0	3.0	0.0	1.0
2004	stinaliza	1972		1.0	0.0	1.0	0.0	1.0
2004	Vildrosen	1971		1.0	0.0	1.0	0.0	1.0
2004	Pinja	1975		2.0	0.0	2.0	0.0	1.0
2004	sladdisen	1985		1.0	0.0	1.0	0.0	1.0
2005	zuzz	1968		10.0	0.0	10.0	0.0	1.0
2005	kicke	1979		3.0	0.0	3.0	0.0	1.0
2005	Regnbågsbarn	1986		1.0	0.0	1.0	0.0	1.0
2005	Norea	1973		1.0	0.0	1.0	0.0	1.0
2005	brokig	1984		2.0	0.0	2.0	0.0	1.0
2005	Jennie med ie	1976		7.0	0.0	7.0	0.0	1.0
2005	Lorelei	1978		10.0	3.0	7.0	0.3	0.7
2005	Pyris	1978		10.0	1.0	9.0	0.1	0.9
2005	cheetah	1980		2.0	0.0	2.0	0.0	1.0
2005	Lilla Morran	1984		3.0	0.0	3.0	0.0	1.0
2005	Emy	1984		5.0	3.0	2.0	0.6	0.4
2005	EmilyS	1972		2.0	1.0	1.0	0.5	0.5
2005	fru bengtsson	1972		5.0	1.0	4.0	0.2	0.8
2005	Michanna	1978		10.0	5.0	5.0	0.5	0.5
2005	morotsland	1981		3.0	0.0	3.0	0.0	1.0
2005	Anne M	1959		2.0	1.0	1.0	0.5	0.5
2005	tempo21	1974		1.0	0.0	1.0	0.0	1.0
2005	IMagine	1980		5.0	0.0	5.0	0.0	1.0
2005	Mango Morsan	1986		1.0	0.0	1.0	0.0	1.0
2005	TypeONegative	1987		1.0	0.0	1.0	0.0	1.0
2005	TessaLisa	1984		2.0	0.0	2.0	0.0	1.0
2005	Kalina	1971		3.0	0.0	3.0	0.0	1.0
2005	Supermamsen	1985		1.0	0.0	1.0	0.0	1.0
2005	skruttis11	1982		3.0	0.0	3.0	0.0	1.0
2005	UWO BaraJag	1973		2.0	0.0	2.0	0.0	1.0
2005	hot fuss	1980		9.0	0.0	9.0	0.0	1.0
2005	Anova	1979		1.0	0.0	1.0	0.0	1.0
2005	Piri	1967		1.0	0.0	1.0	0.0	1.0
2005	lenka	1986		1.0	0.0	1.0	0.0	1.0
2005	Jossebell	1969		6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2005	Pärlan81	1982		5.0	0.0	5.0	0.0	1.0
2005	Jennsan79	1980		1.0	0.0	1.0	0.0	1.0
2005	Miss Cee	1981		7.0	2.0	5.0	0.2857142857142857	0.7142857142857143
2005	Konvaljen	1985		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2005	MalinI	1979		4.0	0.0	4.0	0.0	1.0
2005	msblaise	1977		5.0	1.0	4.0	0.2	0.8
2005	Jennaz	1980		2.0	1.0	1.0	0.5	0.5
2005	Legewiel	1985		5.0	1.0	4.0	0.2	0.8
2005	Theresa1	1980		2.0	0.0	2.0	0.0	1.0
2005	musiknallen	1977		1.0	0.0	1.0	0.0	1.0
2005	HeyMama	1985		10.0	0.0	10.0	0.0	1.0
2005	Baronessan	1975		9.0	0.0	9.0	0.0	1.0
2005	delifi2	1975		4.0	2.0	2.0	0.5	0.5
2005	Veran	1973		1.0	0.0	1.0	0.0	1.0
2005	Kamilla	1982		2.0	0.0	2.0	0.0	1.0
2005	Tindrande	1983		1.0	0.0	1.0	0.0	1.0
2005	smultronpuss	1973		2.0	2.0	0.0	1.0	0.0
2005	giftgrodan	1980		1.0	1.0	0.0	1.0	0.0
2005	Beckah82	1983		5.0	0.0	5.0	0.0	1.0
2005	Lenen	1985		6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2005	Jenny81	1982		3.0	0.0	3.0	0.0	1.0
2005	Annemone	1985		1.0	0.0	1.0	0.0	1.0
2005	Yara	1987		1.0	0.0	1.0	0.0	1.0
2005	Monicag	1979		1.0	0.0	1.0	0.0	1.0
2005	Astarte	1980		3.0	0.0	3.0	0.0	1.0
2005	fisbubbla	1978		1.0	0.0	1.0	0.0	1.0
2005	junimagi	1982		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2005	sandraG	1987		1.0	0.0	1.0	0.0	1.0
2005	lillälva	1978		1.0	0.0	1.0	0.0	1.0
2005	Tummetott	1979		1.0	0.0	1.0	0.0	1.0
2005	Tulsa	1965		7.0	0.0	7.0	0.0	1.0
2005	Vitsippa	1973		4.0	0.0	4.0	0.0	1.0
2005	kixan	1982		4.0	0.0	4.0	0.0	1.0
2005	Marlene	1967		2.0	0.0	2.0	0.0	1.0
