year	v2rel_macroave	total_occurrences	total_authors
2004	0.7309163059163059	78.0	12.0
2005	0.8185315244791052	347.0	48.0
2006	0.8193417281091826	745.0	98.0
2007	0.8557758435418011	999.0	141.0
2008	0.8167797181212741	1183.0	173.0
2009	0.8354906279256822	1480.0	190.0
2010	0.8752881509910055	1071.0	136.0
2011	0.8715058493587438	1061.0	138.0
2012	0.8788953736322158	678.0	101.0
2013	0.8306721733551002	321.0	41.0
2014	0.7854166666666668	133.0	24.0
2015	0.911842105263158	107.0	19.0
2016	0.8	60.0	10.0
2017	0.8216450216450216	78.0	14.0
2018	0.8580357142857143	46.0	8.0
2019	0.89743961352657	71.0	10.0
2020	0.8777777777777778	58.0	6.0
