period	username	total	v1abs	v2abs	v1rel	v2rel
2013	Jämlik vård	2.0	0.0	2.0	0.0	1.0
2013	Axel20	1.0	0.0	1.0	0.0	1.0
2013	Aniiee	4.0	1.0	3.0	0.25	0.75
2013	Adelheid	1.0	0.0	1.0	0.0	1.0
2013	Lady Paraplyh	2.0	0.0	2.0	0.0	1.0
2013	Cia8701	1.0	0.0	1.0	0.0	1.0
2013	Perplex	1.0	0.0	1.0	0.0	1.0
2013	lykantrophona	13.0	9.0	4.0	0.6923076923076923	0.3076923076923077
2013	OriginaGeek	1.0	1.0	0.0	1.0	0.0
2013	SannaM	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2013	Hickupp	8.0	0.0	8.0	0.0	1.0
2013	Mystica 1	1.0	0.0	1.0	0.0	1.0
2013	Floff	1.0	0.0	1.0	0.0	1.0
2013	Sucker	1.0	1.0	0.0	1.0	0.0
2013	Toboas	5.0	5.0	0.0	1.0	0.0
2013	PGA	4.0	2.0	2.0	0.5	0.5
2013	elyse	9.0	9.0	0.0	1.0	0.0
2013	Pallas	1.0	1.0	0.0	1.0	0.0
2013	grind	2.0	2.0	0.0	1.0	0.0
2013	Russinet	1.0	0.0	1.0	0.0	1.0
2013	Creosote	2.0	2.0	0.0	1.0	0.0
2013	from2to3	1.0	1.0	0.0	1.0	0.0
2013	Trollstav	2.0	2.0	0.0	1.0	0.0
2013	PolyPond	7.0	6.0	1.0	0.8571428571428571	0.14285714285714285
2013	dessan59	1.0	1.0	0.0	1.0	0.0
2013	Eri765	1.0	1.0	0.0	1.0	0.0
2013	Enter Sandman	4.0	3.0	1.0	0.75	0.25
2013	Västjämtland	1.0	0.0	1.0	0.0	1.0
2013	Fagerlund	1.0	0.0	1.0	0.0	1.0
2013	hmhm04	1.0	0.0	1.0	0.0	1.0
2013	enthymeme	4.0	1.0	3.0	0.25	0.75
2013	lord sybb	1.0	0.0	1.0	0.0	1.0
2013	Simone de Beauvoir	1.0	0.0	1.0	0.0	1.0
2013	MrsPenn	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2013	yodi	2.0	0.0	2.0	0.0	1.0
2013	WaZ	2.0	0.0	2.0	0.0	1.0
2013	EnAnonumius	1.0	0.0	1.0	0.0	1.0
2013	Selfish Geene	1.0	1.0	0.0	1.0	0.0
2013	sockerflinga	1.0	1.0	0.0	1.0	0.0
2013	Klotjohan	16.0	7.0	9.0	0.4375	0.5625
2013	Jennie med ie	1.0	1.0	0.0	1.0	0.0
2013	alynda	5.0	1.0	4.0	0.2	0.8
2013	Dr Mupp	1.0	0.0	1.0	0.0	1.0
2013	Supertorsk	5.0	1.0	4.0	0.2	0.8
2013	gavlemamma	1.0	1.0	0.0	1.0	0.0
2013	LillGris	4.0	0.0	4.0	0.0	1.0
2013	Flaminia	1.0	0.0	1.0	0.0	1.0
2013	siolina	3.0	0.0	3.0	0.0	1.0
2013	JTA	7.0	7.0	0.0	1.0	0.0
2013	ytrewq	15.0	2.0	13.0	0.13333333333333333	0.8666666666666667
2013	Bill50X	4.0	3.0	1.0	0.75	0.25
2013	Tow2Mater	1.0	0.0	1.0	0.0	1.0
