period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2010	CuteElliz	22	Gen3	6.0	3.0	3.0	0.5	0.5
2010	millalle	24	Gen3	4.0	3.0	1.0	0.75	0.25
2010	tessise	29	Gen3	2.0	2.0	0.0	1.0	0.0
2010	JBC	24	Gen3	13.0	13.0	0.0	1.0	0.0
2010	krabbis	43	Gen1	1.0	1.0	0.0	1.0	0.0
2010	guldplutt	39	Gen2	5.0	5.0	0.0	1.0	0.0
2010	Dalton	24	Gen3	36.0	0.0	36.0	0.0	1.0
2010	metin	40	Gen2	10.0	6.0	4.0	0.6	0.4
2010	Killarnas morsa	38	Gen2	36.0	32.0	4.0	0.8888888888888888	0.1111111111111111
2010	Lisa1977	32	Gen2	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	Tittij	32	Gen2	12.0	5.0	7.0	0.4166666666666667	0.5833333333333334
2010	FreeForAll	26	Gen3	6.0	0.0	6.0	0.0	1.0
2010	Lavish	24	Gen3	94.0	34.0	60.0	0.3617021276595745	0.6382978723404256
2010	RiNan	26	Gen3	16.0	7.0	9.0	0.4375	0.5625
2010	Anatha	31	Gen2	38.0	4.0	34.0	0.10526315789473684	0.8947368421052632
2010	fjonkan	21	Gen3	18.0	7.0	11.0	0.3888888888888889	0.6111111111111112
2010	Lilla Jag	26	Gen3	10.0	3.0	7.0	0.3	0.7
2010	Spanjoren	34	Gen2	8.0	7.0	1.0	0.875	0.125
2010	Mejaochjag	33	Gen2	1.0	0.0	1.0	0.0	1.0
2010	GRO68	41	Gen1	5.0	0.0	5.0	0.0	1.0
2010	Fleur	34	Gen2	2.0	0.0	2.0	0.0	1.0
2010	Mary Wollstonecraft	32	Gen2	10.0	10.0	0.0	1.0	0.0
2010	tempest1	36	Gen2	5.0	5.0	0.0	1.0	0.0
2010	Kyanita	36	Gen2	5.0	5.0	0.0	1.0	0.0
2010	NadiaMi	35	Gen2	258.0	253.0	5.0	0.9806201550387597	0.01937984496124031
2010	Lilla JJ	32	Gen2	21.0	20.0	1.0	0.9523809523809523	0.047619047619047616
2010	Jojile	24	Gen3	6.0	0.0	6.0	0.0	1.0
2010	sofiaemma	40	Gen2	2.0	2.0	0.0	1.0	0.0
2010	YayasMami	21	Gen3	6.0	0.0	6.0	0.0	1.0
2010	LokesMamma84	25	Gen3	11.0	10.0	1.0	0.9090909090909091	0.09090909090909091
2010	Birgitta2	40	Gen2	59.0	3.0	56.0	0.05084745762711865	0.9491525423728814
2010	Maskot	39	Gen2	20.0	20.0	0.0	1.0	0.0
2010	Philippa	40	Gen2	7.0	2.0	5.0	0.2857142857142857	0.7142857142857143
2010	Gullebulle25	25	Gen3	6.0	3.0	3.0	0.5	0.5
