period	username	total	v1abs	v2abs	v1rel	v2rel
2014	Milo.Minderbender	1.0	0.0	1.0	0.0	1.0
2014	Gimbal	1.0	1.0	0.0	1.0	0.0
2020	rotebro-conny	1.0	0.0	1.0	0.0	1.0
2010	chillhunter	1.0	1.0	0.0	1.0	0.0
2013	Oddball	1.0	0.0	1.0	0.0	1.0
2013	Nafets	1.0	1.0	0.0	1.0	0.0
2013	SaftMaja	1.0	0.0	1.0	0.0	1.0
2013	LaaseUW	1.0	0.0	1.0	0.0	1.0
2013	badrumbadrum	1.0	0.0	1.0	0.0	1.0
2015	Monkeyspank	1.0	0.0	1.0	0.0	1.0
2015	anpejada	1.0	0.0	1.0	0.0	1.0
2021	nbsp	1.0	0.0	1.0	0.0	1.0
2021	mtflash	1.0	0.0	1.0	0.0	1.0
2021	Saekerhetspolisen	1.0	0.0	1.0	0.0	1.0
2017	FarangDingDong	1.0	0.0	1.0	0.0	1.0
2008	NoCharlie	1.0	1.0	0.0	1.0	0.0
2019	A.Ericsson	1.0	0.0	1.0	0.0	1.0
2019	negrofoben	1.0	0.0	1.0	0.0	1.0
2019	Ulrik.Agren	1.0	0.0	1.0	0.0	1.0
2016	654654	1.0	0.0	1.0	0.0	1.0
2016	zepofan	1.0	0.0	1.0	0.0	1.0
2018	ChemicalGirl	1.0	0.0	1.0	0.0	1.0
