period	username	total	v1abs	v2abs	v1rel	v2rel
2006	Beldaran	19.0	2.0	17.0	0.10526315789473684	0.8947368421052632
2006	Balderix	2.0	1.0	1.0	0.5	0.5
2006	Hansomfiser	1.0	0.0	1.0	0.0	1.0
2006	SomeMightSay	3.0	0.0	3.0	0.0	1.0
2006	Kamui	1.0	0.0	1.0	0.0	1.0
2006	Wittgenstein	6.0	6.0	0.0	1.0	0.0
2006	Cruella de Vil	4.0	4.0	0.0	1.0	0.0
2006	Bunny	6.0	0.0	6.0	0.0	1.0
2006	Snövit	26.0	15.0	11.0	0.5769230769230769	0.4230769230769231
2006	Duracell Bunny	30.0	30.0	0.0	1.0	0.0
2006	Big M	8.0	5.0	3.0	0.625	0.375
2006	poko-pekka	3.0	0.0	3.0	0.0	1.0
2006	Babianen	1.0	0.0	1.0	0.0	1.0
2006	Aska	10.0	7.0	3.0	0.7	0.3
2006	Brillan	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2006	blennlid	3.0	0.0	3.0	0.0	1.0
2006	AntiDemokrat	2.0	2.0	0.0	1.0	0.0
2006	StefanHeterJag	21.0	18.0	3.0	0.8571428571428571	0.14285714285714285
2006	Bolvag	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2006	Takiida	14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
2006	filofax	35.0	29.0	6.0	0.8285714285714286	0.17142857142857143
2006	Robin:D	5.0	0.0	5.0	0.0	1.0
2006	Dainea	10.0	9.0	1.0	0.9	0.1
2006	LOLLOO	1.0	1.0	0.0	1.0	0.0
2006	god mat	5.0	0.0	5.0	0.0	1.0
2006	skumrask	42.0	31.0	11.0	0.7380952380952381	0.2619047619047619
2006	Företagarsvinet	1.0	0.0	1.0	0.0	1.0
2006	PellePelle	2.0	0.0	2.0	0.0	1.0
2006	Mister	37.0	4.0	33.0	0.10810810810810811	0.8918918918918919
2006	Limited Edition	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2006	aeg	1.0	0.0	1.0	0.0	1.0
2006	J.N	15.0	11.0	4.0	0.7333333333333333	0.26666666666666666
2006	Tuesday	1.0	1.0	0.0	1.0	0.0
2006	Grandesporros	1.0	0.0	1.0	0.0	1.0
2006	Testing123	2.0	0.0	2.0	0.0	1.0
2006	Random_Fool	35.0	2.0	33.0	0.05714285714285714	0.9428571428571428
2006	Mar Sbigone	12.0	2.0	10.0	0.16666666666666666	0.8333333333333334
2006	Akunin	2.0	1.0	1.0	0.5	0.5
2006	Lawless78	22.0	22.0	0.0	1.0	0.0
2006	Fiamedknuff	101.0	82.0	19.0	0.8118811881188119	0.18811881188118812
2006	HasseHomo	2.0	1.0	1.0	0.5	0.5
2006	KG_	2.0	0.0	2.0	0.0	1.0
2006	JakeTheSnake	2.0	2.0	0.0	1.0	0.0
2006	Jooosse	10.0	1.0	9.0	0.1	0.9
2006	Dogdylan	6.0	0.0	6.0	0.0	1.0
2006	Fazel	2.0	2.0	0.0	1.0	0.0
2006	spättan	1.0	1.0	0.0	1.0	0.0
2006	Dowy	1.0	1.0	0.0	1.0	0.0
2006	netiC	2.0	0.0	2.0	0.0	1.0
2006	Millagoon	1.0	1.0	0.0	1.0	0.0
2006	DrDoktor	2.0	1.0	1.0	0.5	0.5
2006	Benji_wh	4.0	0.0	4.0	0.0	1.0
2006	Tuppen Gunnar	15.0	3.0	12.0	0.2	0.8
2006	Narcissa	7.0	3.0	4.0	0.42857142857142855	0.5714285714285714
2006	flows	9.0	1.0	8.0	0.1111111111111111	0.8888888888888888
2006	Chalice	4.0	0.0	4.0	0.0	1.0
2006	Exterus	1.0	0.0	1.0	0.0	1.0
2006	floer	12.0	5.0	7.0	0.4166666666666667	0.5833333333333334
2006	Schaffer	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2006	Lucky Luciano	1.0	0.0	1.0	0.0	1.0
2006	zlpe	1.0	0.0	1.0	0.0	1.0
2006	supersmurfigt	5.0	1.0	4.0	0.2	0.8
2006	ÅsaNisse	97.0	12.0	85.0	0.12371134020618557	0.8762886597938144
2006	Sinne	5.0	0.0	5.0	0.0	1.0
2006	syndig	1.0	0.0	1.0	0.0	1.0
2006	Sordid	15.0	4.0	11.0	0.26666666666666666	0.7333333333333333
2006	fahlenovic	4.0	1.0	3.0	0.25	0.75
2006	Piwo	1.0	0.0	1.0	0.0	1.0
2006	LastCaress	1.0	1.0	0.0	1.0	0.0
2006	Love=Fröling	1.0	0.0	1.0	0.0	1.0
2006	Sana	4.0	0.0	4.0	0.0	1.0
2006	Schröder	2.0	0.0	2.0	0.0	1.0
2006	Esperanza	2.0	2.0	0.0	1.0	0.0
2006	wingless	1.0	1.0	0.0	1.0	0.0
2006	Gardell	1.0	1.0	0.0	1.0	0.0
2006	CRONZ	8.0	2.0	6.0	0.25	0.75
2006	Alladin	15.0	0.0	15.0	0.0	1.0
2006	Scanie	7.0	0.0	7.0	0.0	1.0
2006	Syncrotron	11.0	10.0	1.0	0.9090909090909091	0.09090909090909091
2006	Tjohilda	1.0	1.0	0.0	1.0	0.0
2006	StorMamma	5.0	5.0	0.0	1.0	0.0
2006	David_S	5.0	0.0	5.0	0.0	1.0
2006	UpplysT	1.0	0.0	1.0	0.0	1.0
2006	beabea	5.0	5.0	0.0	1.0	0.0
2006	Rufsa	9.0	8.0	1.0	0.8888888888888888	0.1111111111111111
2006	Henkko	39.0	22.0	17.0	0.5641025641025641	0.4358974358974359
2006	jol	2.0	2.0	0.0	1.0	0.0
2006	Licorice	5.0	0.0	5.0	0.0	1.0
2006	Filma	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2006	arlaharen	4.0	4.0	0.0	1.0	0.0
2006	Roger Persson	17.0	17.0	0.0	1.0	0.0
2006	Fittslaktarn	3.0	0.0	3.0	0.0	1.0
2006	the new Cookie	1.0	1.0	0.0	1.0	0.0
2006	Superfluous	3.0	3.0	0.0	1.0	0.0
2006	stockholmaren	1.0	1.0	0.0	1.0	0.0
2006	Jackthehammer	1.0	1.0	0.0	1.0	0.0
2006	Memnok	13.0	9.0	4.0	0.6923076923076923	0.3076923076923077
2006	Coden	1.0	0.0	1.0	0.0	1.0
2006	stierna875	4.0	1.0	3.0	0.25	0.75
2006	token	5.0	2.0	3.0	0.4	0.6
2006	Kezella	1.0	1.0	0.0	1.0	0.0
2006	parida	2.0	0.0	2.0	0.0	1.0
2006	Christer p	4.0	4.0	0.0	1.0	0.0
2006	PostmannenLbb7	1.0	1.0	0.0	1.0	0.0
2006	Psyko Dad	9.0	9.0	0.0	1.0	0.0
2006	Anchi	2.0	0.0	2.0	0.0	1.0
2006	Tacoritz	1.0	0.0	1.0	0.0	1.0
2006	nightflye	2.0	2.0	0.0	1.0	0.0
2006	DarkSol	4.0	0.0	4.0	0.0	1.0
2006	Deanna	6.0	4.0	2.0	0.6666666666666666	0.3333333333333333
2006	Gronis	2.0	0.0	2.0	0.0	1.0
2006	HorHuset	2.0	0.0	2.0	0.0	1.0
2006	Cineasten	1.0	0.0	1.0	0.0	1.0
2006	HappySatan	4.0	0.0	4.0	0.0	1.0
2006	Jaded	1.0	0.0	1.0	0.0	1.0
2006	Batman_Bazooka	1.0	1.0	0.0	1.0	0.0
2006	Violets	1.0	0.0	1.0	0.0	1.0
2006	Sun Ruler	11.0	0.0	11.0	0.0	1.0
2006	mollydott	7.0	7.0	0.0	1.0	0.0
2006	Anemi	8.0	8.0	0.0	1.0	0.0
2006	roppan	4.0	0.0	4.0	0.0	1.0
2006	glyo	2.0	0.0	2.0	0.0	1.0
2006	cjva	3.0	0.0	3.0	0.0	1.0
2006	karlxipfalz	4.0	1.0	3.0	0.25	0.75
2006	Källartomten	2.0	1.0	1.0	0.5	0.5
2006	Mizza	4.0	4.0	0.0	1.0	0.0
2006	adlig	2.0	0.0	2.0	0.0	1.0
2006	Kingdom	2.0	0.0	2.0	0.0	1.0
2006	*Aine*	2.0	2.0	0.0	1.0	0.0
2006	Urandir	1.0	1.0	0.0	1.0	0.0
2006	Massax	8.0	8.0	0.0	1.0	0.0
2006	Curik	4.0	0.0	4.0	0.0	1.0
2006	Daddy Dajmkryzz	13.0	10.0	3.0	0.7692307692307693	0.23076923076923078
2006	jonkis	2.0	0.0	2.0	0.0	1.0
2006	Denno	11.0	0.0	11.0	0.0	1.0
2006	Flinta82	12.0	2.0	10.0	0.16666666666666666	0.8333333333333334
2006	NedMedAllt	4.0	3.0	1.0	0.75	0.25
2006	DXM-Redemption	6.0	0.0	6.0	0.0	1.0
2006	thorn	1.0	0.0	1.0	0.0	1.0
2006	BigDuke	9.0	0.0	9.0	0.0	1.0
2006	Mauser	13.0	2.0	11.0	0.15384615384615385	0.8461538461538461
2006	D.F	1.0	0.0	1.0	0.0	1.0
2006	mehmet	4.0	0.0	4.0	0.0	1.0
2006	Goddess_Purgatory	3.0	3.0	0.0	1.0	0.0
2006	BigMoney	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2006	belzebubb	3.0	0.0	3.0	0.0	1.0
2006	Räserfläns69	4.0	0.0	4.0	0.0	1.0
2006	mesmile	1.0	0.0	1.0	0.0	1.0
2006	Mysonoxen	6.0	6.0	0.0	1.0	0.0
2006	Mihailovic	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2006	edberg	4.0	3.0	1.0	0.75	0.25
2006	NovoPen	1.0	1.0	0.0	1.0	0.0
2006	Renegade	4.0	1.0	3.0	0.25	0.75
2006	RMP	4.0	4.0	0.0	1.0	0.0
2006	Jaskari	2.0	0.0	2.0	0.0	1.0
2006	Da3DaLuZ	3.0	0.0	3.0	0.0	1.0
2006	LordRaven	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2006	krogboxarn	1.0	0.0	1.0	0.0	1.0
2006	SchwarzWeiß	4.0	2.0	2.0	0.5	0.5
2006	timehunter	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2006	kroker	3.0	0.0	3.0	0.0	1.0
2006	Dreamyn	6.0	0.0	6.0	0.0	1.0
2006	Kollosal	2.0	0.0	2.0	0.0	1.0
2006	pluttplutt	1.0	0.0	1.0	0.0	1.0
2006	Pippipellikan	13.0	0.0	13.0	0.0	1.0
2006	PeG	1.0	1.0	0.0	1.0	0.0
2006	muddi	5.0	0.0	5.0	0.0	1.0
2006	Monika	4.0	1.0	3.0	0.25	0.75
2006	Uncle Phack	1.0	1.0	0.0	1.0	0.0
2006	RedX	6.0	6.0	0.0	1.0	0.0
2006	Don Fadäso	9.0	9.0	0.0	1.0	0.0
2006	schteker	4.0	1.0	3.0	0.25	0.75
