period	username	total	v1abs	v2abs	v1rel	v2rel
2012	feldgrau	21.0	12.0	9.0	0.5714285714285714	0.42857142857142855
2012	Steel-Garden	110.0	10.0	100.0	0.09090909090909091	0.9090909090909091
2012	FreddeF	5.0	3.0	2.0	0.6	0.4
2012	Steff83	60.0	6.0	54.0	0.1	0.9
2012	James-Michael-Mich...	50.0	0.0	50.0	0.0	1.0
2012	K.R.I.T	31.0	21.0	10.0	0.6774193548387096	0.3225806451612903
2012	snillet_1	55.0	3.0	52.0	0.05454545454545454	0.9454545454545454
2012	Barcelona_83	26.0	1.0	25.0	0.038461538461538464	0.9615384615384616
2012	Tenedor	5.0	5.0	0.0	1.0	0.0
2012	NobunagaOda	77.0	0.0	77.0	0.0	1.0
2012	xtroe	93.0	5.0	88.0	0.053763440860215055	0.946236559139785
2012	fredricos	37.0	5.0	32.0	0.13513513513513514	0.8648648648648649
2012	OG-lover	116.0	8.0	108.0	0.06896551724137931	0.9310344827586207
2012	dickpUmp	9.0	4.0	5.0	0.4444444444444444	0.5555555555555556
2012	anteri17	7.0	0.0	7.0	0.0	1.0
2012	Rodimusprime	28.0	1.0	27.0	0.03571428571428571	0.9642857142857143
2012	haser	116.0	6.0	110.0	0.05172413793103448	0.9482758620689655
2012	HataFeminister	11.0	0.0	11.0	0.0	1.0
2012	GoFuckADuck	7.0	4.0	3.0	0.5714285714285714	0.42857142857142855
2012	Sebbe89	16.0	1.0	15.0	0.0625	0.9375
2012	DOTA-swe	1.0	1.0	0.0	1.0	0.0
2012	isch	26.0	7.0	19.0	0.2692307692307692	0.7307692307692307
2012	FecutyZ	24.0	1.0	23.0	0.041666666666666664	0.9583333333333334
2012	BeWaterMyFriend	7.0	2.0	5.0	0.2857142857142857	0.7142857142857143
2012	riquelme	65.0	15.0	50.0	0.23076923076923078	0.7692307692307693
2012	Rogbianuz	8.0	3.0	5.0	0.375	0.625
2012	MuseMusse	3.0	0.0	3.0	0.0	1.0
2012	DavidNilsson	2.0	0.0	2.0	0.0	1.0
2012	hrjj	9.0	1.0	8.0	0.1111111111111111	0.8888888888888888
2012	El-Matho	1.0	0.0	1.0	0.0	1.0
2012	lurifaksen	1.0	0.0	1.0	0.0	1.0
2012	HeathSlocum	1.0	0.0	1.0	0.0	1.0
2012	baruba	37.0	2.0	35.0	0.05405405405405406	0.9459459459459459
2012	filiko	1.0	1.0	0.0	1.0	0.0
2012	chran508	29.0	1.0	28.0	0.034482758620689655	0.9655172413793104
2012	Macche	25.0	1.0	24.0	0.04	0.96
2012	Chandl3r	86.0	66.0	20.0	0.7674418604651163	0.23255813953488372
2012	Tony-Soprano	159.0	2.0	157.0	0.012578616352201259	0.9874213836477987
2012	Ferry31	166.0	36.0	130.0	0.21686746987951808	0.7831325301204819
2012	VanDenBerg	133.0	3.0	130.0	0.022556390977443608	0.9774436090225563
