variable	community	freq	trend	sclass	cohort	value	value2	sag	so	freqlog	comcat	speaker	indvalue	yob	speaker2
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	Kajsala	0.6666666666666666	1961	Kajsala
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	lokisse	0.21052631578947367	1961	lokisse
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	sallybuse	0.6666666666666666	1960	sallybuse
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	Goya	0.5	1963	Goya
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	Spookie	1.0	1961	Spookie
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	Immer	0.0	1961	Immer
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	Dilong	1.0	1963	Dilong
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	bili	1.0	1960	bili
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	MissLillan	1.0	1961	MissLillan
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	anzita	0.0	1960	anzita
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	Shizuka	0.0	1960	Shizuka
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	Gumbo	0.0	1962	Gumbo
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.47590129169076534	0.38492681407661167	var	var	3	1	de Robespierre	0.14285714285714285	1963	de Robespierre
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	hymafr	0.5454545454545454	1965	hymafr
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	blomman 2	0.0	1965	blomman 2
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Houdini	0.0	1966	Houdini
