variable	community	freq	trend	sclass	cohort	value	test1	test2	test3	test4	value2
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.45076439050123257	1	0	0	0	0.3725428236239047
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5802040472353588	0	1	0	0	0.3830091393048752
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6216311190111028	0	0	1	0	0.3773068467440599
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.6159218312794711	0	0	0	1	0.40142761434397434
försöka	0.9511025877666667	30164.0	up	initiative	1	0.9188601224541744	1	0	0	0	0.12448047876474284
försöka	0.9511025877666667	30164.0	up	initiative	2	0.9454920993814595	0	1	0	0	0.08655244732091369
försöka	0.9511025877666667	30164.0	up	initiative	3	0.9420723531903815	0	0	1	0	0.0916158551215526
försöka	0.9511025877666667	30164.0	up	initiative	4	0.9435171514235519	0	0	0	1	0.08989393540157788
glömma	0.8589009020666666	4026.0	unclear	initiative	1	0.7582012582012582	1	0	0	0	0.32823768634579453
glömma	0.8589009020666666	4026.0	unclear	initiative	2	0.8213868123893184	0	1	0	0	0.2574993103210467
glömma	0.8589009020666666	4026.0	unclear	initiative	3	0.8656917184246441	0	0	1	0	0.21075320147534335
glömma	0.8589009020666666	4026.0	unclear	initiative	4	0.8721799970193976	0	0	0	1	0.2042153960164497
komma	0.6056467489333334	86311.0	up	other	1	0.3325532669218743	1	0	0	0	0.30853299378604954
komma	0.6056467489333334	86311.0	up	other	2	0.4413937712507691	0	1	0	0	0.36304157242370144
komma	0.6056467489333334	86311.0	up	other	3	0.5822167273882827	0	0	1	0	0.3381023492964506
komma	0.6056467489333334	86311.0	up	other	4	0.7049947938005903	0	0	0	1	0.2846046667582943
planera	0.0661176389	1603.0	unclear	intensional	1	0.07246376811594203	1	0	0	0	0.12602394454946442
planera	0.0661176389	1603.0	unclear	intensional	2	0.06830091521872345	0	1	0	0	0.11976050887666564
planera	0.0661176389	1603.0	unclear	intensional	3	0.07550747863247863	0	0	1	0	0.1354052381245901
planera	0.0661176389	1603.0	unclear	intensional	4	0.06495184402161147	0	0	0	1	0.11882662937287009
riskera	0.10120799803333334	1023.0	up	intensional	1	0.08297101449275361	1	0	0	0	0.13708254568367992
riskera	0.10120799803333334	1023.0	up	intensional	2	0.1412894023188141	0	1	0	0	0.22761628723278093
riskera	0.10120799803333334	1023.0	up	intensional	3	0.09022556390977444	0	0	1	0	0.15886606468323985
riskera	0.10120799803333334	1023.0	up	intensional	4	0.05441347270615563	0	0	0	1	0.09820968244525644
slippa	0.9775664363000001	8760.0	unclear	other	1	0.976825434121017	1	0	0	0	0.03972782722111391
slippa	0.9775664363000001	8760.0	unclear	other	2	0.9710983037094654	0	1	0	0	0.05405298716304553
slippa	0.9775664363000001	8760.0	unclear	other	3	0.9754073463234502	0	0	1	0	0.0462652673084348
slippa	0.9775664363000001	8760.0	unclear	other	4	0.9651396556379002	0	0	0	1	0.06438972006267782
sluta	0.9347825901999999	6460.0	up	aspectual	1	0.9268749313629632	1	0	0	0	0.11129818251851803
sluta	0.9347825901999999	6460.0	up	aspectual	2	0.9218676093946103	0	1	0	0	0.13337678142461085
sluta	0.9347825901999999	6460.0	up	aspectual	3	0.9346871522513257	0	0	1	0	0.11235383917747593
sluta	0.9347825901999999	6460.0	up	aspectual	4	0.9373410910602056	0	0	0	1	0.10857907952227099
vägra	0.8474735531333334	6864.0	up	intensional	1	0.7023368187148494	1	0	0	0	0.2782051764091411
vägra	0.8474735531333334	6864.0	up	intensional	2	0.8315387964170593	0	1	0	0	0.22400913939941688
vägra	0.8474735531333334	6864.0	up	intensional	3	0.8404740553326489	0	0	1	0	0.2256688769362815
vägra	0.8474735531333334	6864.0	up	intensional	4	0.8119055257337022	0	0	0	1	0.2578894052703746
