period	username	total	v1abs	v2abs	v1rel	v2rel
2021	Conlon	1.0	0.0	1.0	0.0	1.0
2021	RedForce	1.0	0.0	1.0	0.0	1.0
2021	C0w	2.0	0.0	2.0	0.0	1.0
2021	Tightsund	1.0	0.0	1.0	0.0	1.0
2021	Arbetsskygg	1.0	0.0	1.0	0.0	1.0
2021	ThatsTheJoke	1.0	0.0	1.0	0.0	1.0
2021	Rasande-Rose	1.0	1.0	0.0	1.0	0.0
2021	Barshageudd	1.0	0.0	1.0	0.0	1.0
2021	LarryLarry	1.0	0.0	1.0	0.0	1.0
2021	skunkensune	1.0	0.0	1.0	0.0	1.0
2021	Pansarhyena	1.0	0.0	1.0	0.0	1.0
2021	asdfghjklzxcvbnm	1.0	0.0	1.0	0.0	1.0
2020	FriendlyNo1	1.0	0.0	1.0	0.0	1.0
2020	DoktorDawkins	1.0	0.0	1.0	0.0	1.0
2020	mannheimer83	1.0	0.0	1.0	0.0	1.0
2020	Rasande-Rose	1.0	0.0	1.0	0.0	1.0
2020	adolf512	1.0	0.0	1.0	0.0	1.0
2020	mr.gegge	3.0	0.0	3.0	0.0	1.0
2020	asdfghjklzxcvbnm	3.0	0.0	3.0	0.0	1.0
2020	C0w	10.0	0.0	10.0	0.0	1.0
2020	mattep74	1.0	0.0	1.0	0.0	1.0
2020	Peripheryy	2.0	0.0	2.0	0.0	1.0
2020	Bestick	1.0	0.0	1.0	0.0	1.0
2020	one_size	1.0	0.0	1.0	0.0	1.0
2020	Vistula	1.0	0.0	1.0	0.0	1.0
2014	Sius	1.0	0.0	1.0	0.0	1.0
2014	hash	1.0	0.0	1.0	0.0	1.0
2014	Dobbels	1.0	0.0	1.0	0.0	1.0
2014	StoneyJackson	1.0	0.0	1.0	0.0	1.0
2019	krakelibrankel	1.0	0.0	1.0	0.0	1.0
2019	nbsp	1.0	0.0	1.0	0.0	1.0
2019	VitSvenskMan	2.0	0.0	2.0	0.0	1.0
2019	Bajslukt	1.0	0.0	1.0	0.0	1.0
2019	Gratzi	1.0	0.0	1.0	0.0	1.0
2019	laxsill	2.0	0.0	2.0	0.0	1.0
2019	AbortRetryIgnore	1.0	1.0	0.0	1.0	0.0
2019	dcc55	1.0	0.0	1.0	0.0	1.0
2019	Pansarhyena	8.0	0.0	8.0	0.0	1.0
2019	Sha R'Tae	1.0	0.0	1.0	0.0	1.0
2019	Lastpall500kg	1.0	0.0	1.0	0.0	1.0
2019	asdfghjklzxcvbnm	2.0	0.0	2.0	0.0	1.0
2019	Nihenna	1.0	0.0	1.0	0.0	1.0
2019	Tjoflo	1.0	0.0	1.0	0.0	1.0
2016	Wal1berg	1.0	0.0	1.0	0.0	1.0
2016	ninjutsu	1.0	0.0	1.0	0.0	1.0
2016	Sha R'Tae	1.0	0.0	1.0	0.0	1.0
2009	SpaCC	1.0	1.0	0.0	1.0	0.0
2009	flipper1446	2.0	2.0	0.0	1.0	0.0
2009	Raphaelle	1.0	1.0	0.0	1.0	0.0
2017	sontillminpappa	1.0	0.0	1.0	0.0	1.0
2017	kakelpanna	2.0	0.0	2.0	0.0	1.0
2017	asdfghjklzxcvbnm	1.0	0.0	1.0	0.0	1.0
2010	Talismannen	2.0	2.0	0.0	1.0	0.0
2010	BiggusDickus74	2.0	2.0	0.0	1.0	0.0
2010	Tjelsi	1.0	1.0	0.0	1.0	0.0
2010	MarioForPresident	4.0	4.0	0.0	1.0	0.0
2007	xel0n	32.0	32.0	0.0	1.0	0.0
2007	Trill	3.0	3.0	0.0	1.0	0.0
2007	Gronabuddah	143.0	143.0	0.0	1.0	0.0
2007	927	7.0	7.0	0.0	1.0	0.0
2001	Mille Da Mouse (old)	1.0	1.0	0.0	1.0	0.0
2000	lol (old)	1.0	1.0	0.0	1.0	0.0
2000		2.0	2.0	0.0	1.0	0.0
2000	kalle (old)	1.0	1.0	0.0	1.0	0.0
2000	JH (old)	1.0	1.0	0.0	1.0	0.0
2005	skg	1.0	1.0	0.0	1.0	0.0
2002	Fulingen	1.0	1.0	0.0	1.0	0.0
2002	Ceratos	2.0	2.0	0.0	1.0	0.0
2002	Jonte	1.0	1.0	0.0	1.0	0.0
2013	laxsill	1.0	0.0	1.0	0.0	1.0
2013	DrSvenne	1.0	0.0	1.0	0.0	1.0
2013	nopathy	1.0	0.0	1.0	0.0	1.0
2013	DecentDick	1.0	1.0	0.0	1.0	0.0
2006	Caine777	1.0	1.0	0.0	1.0	0.0
2011	Ondve	1.0	1.0	0.0	1.0	0.0
2011	Buckshoota	1.0	1.0	0.0	1.0	0.0
2011	frinken	1.0	0.0	1.0	0.0	1.0
2015	Zamenis	1.0	0.0	1.0	0.0	1.0
2015	sampanl	1.0	0.0	1.0	0.0	1.0
2015	D-Reign	2.0	0.0	2.0	0.0	1.0
2012	Ferdawoon	1.0	1.0	0.0	1.0	0.0
2018	IKN	2.0	0.0	2.0	0.0	1.0
2018	Ondahamstern	1.0	1.0	0.0	1.0	0.0
2018	yokisuci	1.0	0.0	1.0	0.0	1.0
2018	tuppruskarn	2.0	0.0	2.0	0.0	1.0
2018	ReiseReise	1.0	0.0	1.0	0.0	1.0
2018	godboy	1.0	0.0	1.0	0.0	1.0
2018	LucNN	2.0	0.0	2.0	0.0	1.0
2018	avc	1.0	0.0	1.0	0.0	1.0
