period	username	total	v1abs	v2abs	v1rel	v2rel
2020	DrBonzo	1.0	0.0	1.0	0.0	1.0
2020	JGalliano	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2020	Kjellake93	1.0	0.0	1.0	0.0	1.0
2020	george.sthlm	5.0	2.0	3.0	0.4	0.6
2020	IMBILDEN	21.0	4.0	17.0	0.19047619047619047	0.8095238095238095
2020	CompressorVane	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2020	Nordiad	21.0	21.0	0.0	1.0	0.0
2020	GoUoD	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
2020	Kung_Ingenting	2.0	0.0	2.0	0.0	1.0
2020	Onsala	1.0	1.0	0.0	1.0	0.0
2020	#LOUDmouth#	1.0	0.0	1.0	0.0	1.0
2020	Baalzamon	15.0	0.0	15.0	0.0	1.0
2020	professorpuss	1.0	0.0	1.0	0.0	1.0
2020	Dicktherick	7.0	4.0	3.0	0.5714285714285714	0.42857142857142855
2020	HoppigGroda	3.0	0.0	3.0	0.0	1.0
2020	ath0	1.0	0.0	1.0	0.0	1.0
2020	84procent	1.0	0.0	1.0	0.0	1.0
2020	Mongoprofeten	11.0	11.0	0.0	1.0	0.0
2020	prarpa	1.0	0.0	1.0	0.0	1.0
2020	Sonnenwende	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2020	ormbiten	13.0	13.0	0.0	1.0	0.0
2020	kapsylen1	20.0	0.0	20.0	0.0	1.0
2020	Jannebigplay	5.0	2.0	3.0	0.4	0.6
2020	godboy	79.0	1.0	78.0	0.012658227848101266	0.9873417721518988
2020	Blocket.se	2.0	0.0	2.0	0.0	1.0
2020	Valdjen	2.0	0.0	2.0	0.0	1.0
2020	Grizlo	8.0	0.0	8.0	0.0	1.0
2020	PatricTheRider	5.0	0.0	5.0	0.0	1.0
2020	Revolutions	3.0	0.0	3.0	0.0	1.0
2020	Zenatoh	1.0	1.0	0.0	1.0	0.0
2020	Rabiate Runar	1.0	0.0	1.0	0.0	1.0
2020	Halshuggning	1.0	0.0	1.0	0.0	1.0
2020	slurppen	1.0	1.0	0.0	1.0	0.0
2020	badrumbadrum	3.0	0.0	3.0	0.0	1.0
2020	flukke	1.0	0.0	1.0	0.0	1.0
2020	KavatPojke	1.0	0.0	1.0	0.0	1.0
2020	TattooedFucker	13.0	0.0	13.0	0.0	1.0
2020	Yggdrasil12	3.0	0.0	3.0	0.0	1.0
2020	Solitair	3.0	3.0	0.0	1.0	0.0
2020	copybird	1.0	1.0	0.0	1.0	0.0
2020	BeHPNemesis12345	7.0	0.0	7.0	0.0	1.0
2020	Prutten12	2.0	0.0	2.0	0.0	1.0
2020	Stuffer	1.0	1.0	0.0	1.0	0.0
2020	stockholm6	1.0	1.0	0.0	1.0	0.0
2020	MondoBizarro	3.0	0.0	3.0	0.0	1.0
2020	KamratBlue	5.0	0.0	5.0	0.0	1.0
