period	username	total	v1abs	v2abs	v1rel	v2rel
2012	3-Negrer-Med-Kedja	1.0	1.0	0.0	1.0	0.0
2015	Tjyvas	1.0	0.0	1.0	0.0	1.0
2015	skriklimpan	1.0	0.0	1.0	0.0	1.0
2009	Rakii	1.0	1.0	0.0	1.0	0.0
2009	Cobalt	1.0	1.0	0.0	1.0	0.0
2009	heson	1.0	1.0	0.0	1.0	0.0
2009	adolfhilter	1.0	1.0	0.0	1.0	0.0
2009	thotthe	1.0	1.0	0.0	1.0	0.0
2013	dageby	1.0	1.0	0.0	1.0	0.0
2013	Flashborn	1.0	0.0	1.0	0.0	1.0
2013	Mikael861	4.0	0.0	4.0	0.0	1.0
2013	Disc0rd	1.0	1.0	0.0	1.0	0.0
2013	rullknufs	1.0	0.0	1.0	0.0	1.0
2013	alltid-i-blasvader	1.0	0.0	1.0	0.0	1.0
2011	3-Negrer-Med-Kedja	1.0	1.0	0.0	1.0	0.0
2011	While	1.0	1.0	0.0	1.0	0.0
2011	nietsoviet	2.0	2.0	0.0	1.0	0.0
2018	AutDisceAutDiscede	1.0	0.0	1.0	0.0	1.0
2018	zepofan	1.0	0.0	1.0	0.0	1.0
2018	Against-modernity	1.0	1.0	0.0	1.0	0.0
2018	Mackan52	1.0	0.0	1.0	0.0	1.0
2018	JohanSverkersson	1.0	0.0	1.0	0.0	1.0
2018	cdec	1.0	0.0	1.0	0.0	1.0
2018	Silllen	2.0	0.0	2.0	0.0	1.0
2018	Woodsmoke	1.0	0.0	1.0	0.0	1.0
2018	00a	1.0	0.0	1.0	0.0	1.0
2014	Jelloh	2.0	0.0	2.0	0.0	1.0
2014	urverksapelsin	1.0	0.0	1.0	0.0	1.0
2014	Mikael861	1.0	0.0	1.0	0.0	1.0
2014	Hippie	1.0	0.0	1.0	0.0	1.0
2014	Xheqnhouz	1.0	0.0	1.0	0.0	1.0
2019	KansasCityFagot	1.0	0.0	1.0	0.0	1.0
2019	ChiliPeppers	1.0	0.0	1.0	0.0	1.0
2019	Cloecud	1.0	0.0	1.0	0.0	1.0
2019	VitMan40Plus	1.0	0.0	1.0	0.0	1.0
2019	Custom_made	1.0	0.0	1.0	0.0	1.0
2019	OstermalmWeeknd	1.0	0.0	1.0	0.0	1.0
2019	ShariaInstructor	1.0	0.0	1.0	0.0	1.0
2019	Kniv-Yxa	1.0	0.0	1.0	0.0	1.0
2019	different_trip	1.0	0.0	1.0	0.0	1.0
2019	Mikael861	1.0	0.0	1.0	0.0	1.0
2019	HVIT.	1.0	0.0	1.0	0.0	1.0
2022	EnlitenUggla	1.0	0.0	1.0	0.0	1.0
2022	fendaden	1.0	0.0	1.0	0.0	1.0
2016	AutDisceAutDiscede	1.0	0.0	1.0	0.0	1.0
2016	JohanThe94	1.0	0.0	1.0	0.0	1.0
2016	vraalaak	1.0	0.0	1.0	0.0	1.0
2021	NissanMicra1988K10	1.0	0.0	1.0	0.0	1.0
2021	Genderbender	1.0	1.0	0.0	1.0	0.0
2021	GooksInTheWire	1.0	0.0	1.0	0.0	1.0
2021	AdMortem	1.0	0.0	1.0	0.0	1.0
2021	AnsvaravsnA	2.0	0.0	2.0	0.0	1.0
2021	Merwinna	1.0	0.0	1.0	0.0	1.0
2021	Gipsyn	1.0	0.0	1.0	0.0	1.0
2021	Giant Squid	1.0	0.0	1.0	0.0	1.0
2021	trevliggrabb	1.0	0.0	1.0	0.0	1.0
2010	Herr_Oin	1.0	1.0	0.0	1.0	0.0
2010	Mindfullnes	1.0	0.0	1.0	0.0	1.0
2010	SMD FB	2.0	2.0	0.0	1.0	0.0
2010	Tazqua	1.0	1.0	0.0	1.0	0.0
2017	Mikael861	5.0	0.0	5.0	0.0	1.0
2017	RZLA	1.0	0.0	1.0	0.0	1.0
2020	Odenplan69	1.0	0.0	1.0	0.0	1.0
2020	johnthedickholmes	1.0	0.0	1.0	0.0	1.0
