period	username	total	v1abs	v2abs	v1rel	v2rel
2022	OY	1.0	0.0	1.0	0.0	1.0
2022	kattenpaflashback	1.0	0.0	1.0	0.0	1.0
2022	Redoxreaktion	2.0	0.0	2.0	0.0	1.0
2022	Trolltestet	2.0	0.0	2.0	0.0	1.0
2022	mjoelk-kanna	1.0	0.0	1.0	0.0	1.0
2022	YP4XQ	1.0	0.0	1.0	0.0	1.0
2022	Haubits77B	1.0	0.0	1.0	0.0	1.0
2022	Umpalavemang	1.0	1.0	0.0	1.0	0.0
2022	itsyourfault	4.0	0.0	4.0	0.0	1.0
2022	Haziza	1.0	1.0	0.0	1.0	0.0
2022	andledningen	2.0	1.0	1.0	0.5	0.5
2022	Neroxx	1.0	0.0	1.0	0.0	1.0
2022	runx	2.0	0.0	2.0	0.0	1.0
2022	SvenHelsing	1.0	0.0	1.0	0.0	1.0
2022	Clas.Ohlsson.453	1.0	0.0	1.0	0.0	1.0
2022	Sinestro	2.0	0.0	2.0	0.0	1.0
2022	Eerieye	1.0	0.0	1.0	0.0	1.0
2022	Uluchsheniye	1.0	0.0	1.0	0.0	1.0
2022	JuniorDahlen	1.0	0.0	1.0	0.0	1.0
2022	Charlemange	1.0	0.0	1.0	0.0	1.0
2022	Bordskungen	1.0	0.0	1.0	0.0	1.0
2021	Morfar-52	1.0	1.0	0.0	1.0	0.0
2021	SoberZealot	1.0	0.0	1.0	0.0	1.0
2021	Nebeltag	1.0	0.0	1.0	0.0	1.0
2021	TupolevTu-144	1.0	0.0	1.0	0.0	1.0
2021	argaangelica	1.0	0.0	1.0	0.0	1.0
2021	Trolltestet	1.0	0.0	1.0	0.0	1.0
2021	Oucho.Sparks	1.0	0.0	1.0	0.0	1.0
2021	Talespin	1.0	0.0	1.0	0.0	1.0
2011	Bonzo666	1.0	1.0	0.0	1.0	0.0
2011	hitchmemo	1.0	0.0	1.0	0.0	1.0
2011	Kaiser Chief	1.0	0.0	1.0	0.0	1.0
2011	Reda	1.0	1.0	0.0	1.0	0.0
2009	admin	1.0	1.0	0.0	1.0	0.0
2009	Harpy	1.0	1.0	0.0	1.0	0.0
2009	Jecke	1.0	1.0	0.0	1.0	0.0
2009	Donco	1.0	1.0	0.0	1.0	0.0
2015	Enoch.Thulin	1.0	0.0	1.0	0.0	1.0
2015	Q.E.D.	1.0	0.0	1.0	0.0	1.0
2015	Platman	1.0	0.0	1.0	0.0	1.0
2015	R.a.z.o.r.	1.0	0.0	1.0	0.0	1.0
2015	Golonka	1.0	0.0	1.0	0.0	1.0
2015	Anti-Mises	2.0	0.0	2.0	0.0	1.0
2015	Lost-Soul	1.0	0.0	1.0	0.0	1.0
2015	seriously?	1.0	1.0	0.0	1.0	0.0
2015	Nibiru2011	1.0	1.0	0.0	1.0	0.0
2015	Trapizo	1.0	0.0	1.0	0.0	1.0
2015	Haschpundaren	1.0	1.0	0.0	1.0	0.0
2015	Redax	2.0	0.0	2.0	0.0	1.0
2015	TorkelSnorkel	1.0	0.0	1.0	0.0	1.0
2015	Gaypride	1.0	0.0	1.0	0.0	1.0
2015	Von-Arschloch	1.0	0.0	1.0	0.0	1.0
2015	tj.	1.0	0.0	1.0	0.0	1.0
2015	MalleusMaleficarum	1.0	0.0	1.0	0.0	1.0
2015	Doktatorn	1.0	0.0	1.0	0.0	1.0
2015	3.	1.0	0.0	1.0	0.0	1.0
2015	Deliberately	4.0	0.0	4.0	0.0	1.0
2015	bammerz	1.0	0.0	1.0	0.0	1.0
2015	danzo	3.0	0.0	3.0	0.0	1.0
2015	EliasAlucard	1.0	0.0	1.0	0.0	1.0
2015	ArnautDaniel	1.0	1.0	0.0	1.0	0.0
2017	whadeewhoo	1.0	0.0	1.0	0.0	1.0
2017	Disciplina	4.0	1.0	3.0	0.25	0.75
2017	Lilabanan	1.0	0.0	1.0	0.0	1.0
2017	Gonzo-fisting	1.0	0.0	1.0	0.0	1.0
2013	Avva66	1.0	0.0	1.0	0.0	1.0
2013	Straybullet	2.0	1.0	1.0	0.5	0.5
2013	Snuttegrisarna	1.0	0.0	1.0	0.0	1.0
2013	IamSirius	2.0	0.0	2.0	0.0	1.0
2013	Varnagel	2.0	1.0	1.0	0.5	0.5
2013	pungspark63	2.0	1.0	1.0	0.5	0.5
2013	Magnet83	3.0	3.0	0.0	1.0	0.0
2013	DzCh	2.0	0.0	2.0	0.0	1.0
2010	Eitzel	1.0	1.0	0.0	1.0	0.0
2010	rotadent	1.0	1.0	0.0	1.0	0.0
2010	Drozd	1.0	1.0	0.0	1.0	0.0
2010	ÅnkelGunnar	5.0	3.0	2.0	0.6	0.4
2010	StefanHeterJag	1.0	1.0	0.0	1.0	0.0
2010	maci	1.0	1.0	0.0	1.0	0.0
2010	Taiga	2.0	2.0	0.0	1.0	0.0
2010	Berengar	8.0	8.0	0.0	1.0	0.0
2010	FrasseFloyd	2.0	2.0	0.0	1.0	0.0
2010	flashyourightback	1.0	1.0	0.0	1.0	0.0
2010	Lars H	1.0	1.0	0.0	1.0	0.0
2010	Ezzelino	2.0	2.0	0.0	1.0	0.0
2010	Dogdylan	2.0	2.0	0.0	1.0	0.0
2010	Finnelit	1.0	1.0	0.0	1.0	0.0
2008	Froksos	1.0	1.0	0.0	1.0	0.0
2008	demiurg2	2.0	2.0	0.0	1.0	0.0
2008	Taiga	1.0	1.0	0.0	1.0	0.0
2008	Månljus	1.0	1.0	0.0	1.0	0.0
2008	PRUSSELUSKAN	2.0	2.0	0.0	1.0	0.0
2008	Birobidzhan	1.0	1.0	0.0	1.0	0.0
2020	genomsnittsvensken	1.0	0.0	1.0	0.0	1.0
2020	Thurizas-09	1.0	0.0	1.0	0.0	1.0
2020	Kedox	3.0	0.0	3.0	0.0	1.0
