period	username	total	v1abs	v2abs	v1rel	v2rel
2020	user00067779	2.0	0.0	2.0	0.0	1.0
2020	user00011476	1.0	1.0	0.0	1.0	0.0
2020	user00024052	2.0	0.0	2.0	0.0	1.0
2020	user00061817	1.0	1.0	0.0	1.0	0.0
2020	user00060664	1.0	0.0	1.0	0.0	1.0
2010	user00148263	2.0	2.0	0.0	1.0	0.0
2010	user00118552	1.0	1.0	0.0	1.0	0.0
2010	user00016734	2.0	2.0	0.0	1.0	0.0
2010	user00041824	1.0	1.0	0.0	1.0	0.0
2010	user00049439	1.0	1.0	0.0	1.0	0.0
2016	user00190802	1.0	0.0	1.0	0.0	1.0
2016	user00187603	1.0	1.0	0.0	1.0	0.0
2016	user00076380	2.0	2.0	0.0	1.0	0.0
2016	user00215315	1.0	1.0	0.0	1.0	0.0
2016	user00004430	1.0	0.0	1.0	0.0	1.0
2014	user00033684	3.0	0.0	3.0	0.0	1.0
2014	user00105530	2.0	0.0	2.0	0.0	1.0
2014	user00002634	1.0	0.0	1.0	0.0	1.0
2014	user00033017	1.0	0.0	1.0	0.0	1.0
2014	user00051486	6.0	0.0	6.0	0.0	1.0
2014	user00089755	2.0	0.0	2.0	0.0	1.0
2014	user00026663	2.0	2.0	0.0	1.0	0.0
2014	user00084936	1.0	1.0	0.0	1.0	0.0
2014	user00053989	2.0	0.0	2.0	0.0	1.0
2014	user00122663	1.0	0.0	1.0	0.0	1.0
2014	user00056883	1.0	0.0	1.0	0.0	1.0
2014	user00207675	1.0	0.0	1.0	0.0	1.0
2018	user00040477	2.0	0.0	2.0	0.0	1.0
2018	user00176564	2.0	0.0	2.0	0.0	1.0
2018	user00202469	2.0	0.0	2.0	0.0	1.0
2018	user00109527	1.0	0.0	1.0	0.0	1.0
2011	user00054772	2.0	2.0	0.0	1.0	0.0
2013	user00045243	1.0	1.0	0.0	1.0	0.0
2013	user00011300	1.0	1.0	0.0	1.0	0.0
2013	user00083586	2.0	2.0	0.0	1.0	0.0
2013	user00187446	1.0	1.0	0.0	1.0	0.0
2013	user00182569	1.0	1.0	0.0	1.0	0.0
2013	user00019185	1.0	1.0	0.0	1.0	0.0
2009	user00094962	1.0	1.0	0.0	1.0	0.0
2009	user00105377	1.0	1.0	0.0	1.0	0.0
2009	user00017112	2.0	2.0	0.0	1.0	0.0
2009	user00041824	3.0	3.0	0.0	1.0	0.0
2009	user00026070	1.0	1.0	0.0	1.0	0.0
2009	user00012794	1.0	0.0	1.0	0.0	1.0
2008	user00094962	1.0	1.0	0.0	1.0	0.0
2008	user00102466	1.0	1.0	0.0	1.0	0.0
2008	user00013021	1.0	1.0	0.0	1.0	0.0
2015	user00136523	8.0	0.0	8.0	0.0	1.0
2015	user00002188	2.0	0.0	2.0	0.0	1.0
2015	user00073626	1.0	0.0	1.0	0.0	1.0
2015	user00042655	2.0	0.0	2.0	0.0	1.0
2015	user00108291	1.0	0.0	1.0	0.0	1.0
2015	user00068467	1.0	0.0	1.0	0.0	1.0
2015	user00017322	2.0	0.0	2.0	0.0	1.0
2015	user00011334	2.0	0.0	2.0	0.0	1.0
2015	user00209014	1.0	0.0	1.0	0.0	1.0
2012	user00191985	1.0	1.0	0.0	1.0	0.0
2012	user00152149	2.0	2.0	0.0	1.0	0.0
2012	user00014220	1.0	0.0	1.0	0.0	1.0
2012	user00020013	1.0	1.0	0.0	1.0	0.0
2012	user00049517	1.0	0.0	1.0	0.0	1.0
2012	user00082870	2.0	2.0	0.0	1.0	0.0
2012	user00047707	1.0	0.0	1.0	0.0	1.0
2012	user00216231	1.0	0.0	1.0	0.0	1.0
2012	user00144801	1.0	1.0	0.0	1.0	0.0
2012	user00193372	1.0	1.0	0.0	1.0	0.0
2017	user00076492	2.0	0.0	2.0	0.0	1.0
2019	user00049020	1.0	0.0	1.0	0.0	1.0
2019	user00199076	1.0	0.0	1.0	0.0	1.0
