period	username	total	v1abs	v2abs	v1rel	v2rel
2012	user00010849	1.0	1.0	0.0	1.0	0.0
2012	user00014674	5.0	1.0	4.0	0.2	0.8
2012	user00115472	3.0	3.0	0.0	1.0	0.0
2012	user00025246	1.0	1.0	0.0	1.0	0.0
2012	user00013410	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2012	user00240986	1.0	0.0	1.0	0.0	1.0
2012	user00000177	6.0	0.0	6.0	0.0	1.0
2012	user00054023	1.0	1.0	0.0	1.0	0.0
2012	user00037546	1.0	0.0	1.0	0.0	1.0
2012	user00049166	1.0	0.0	1.0	0.0	1.0
2012	user00026552	1.0	0.0	1.0	0.0	1.0
2012	user00088050	1.0	0.0	1.0	0.0	1.0
2012	user00000138	3.0	0.0	3.0	0.0	1.0
2012	user00003270	1.0	1.0	0.0	1.0	0.0
2012	user00073311	2.0	0.0	2.0	0.0	1.0
2012	user00129839	46.0	7.0	39.0	0.15217391304347827	0.8478260869565217
2012	user00246911	1.0	1.0	0.0	1.0	0.0
2012	user00186853	2.0	0.0	2.0	0.0	1.0
2012	user00050020	1.0	0.0	1.0	0.0	1.0
2012	user00043693	21.0	16.0	5.0	0.7619047619047619	0.23809523809523808
2012	user00019279	4.0	2.0	2.0	0.5	0.5
2012	user00244338	1.0	1.0	0.0	1.0	0.0
2012	user00003329	1.0	1.0	0.0	1.0	0.0
2012	user00075984	1.0	0.0	1.0	0.0	1.0
2012	user00079570	2.0	0.0	2.0	0.0	1.0
2012	user00057494	9.0	1.0	8.0	0.1111111111111111	0.8888888888888888
2012	user00048738	1.0	0.0	1.0	0.0	1.0
2012	user00078403	1.0	0.0	1.0	0.0	1.0
2012	user00043672	3.0	0.0	3.0	0.0	1.0
2012	user00126521	1.0	1.0	0.0	1.0	0.0
2012	user00016550	2.0	0.0	2.0	0.0	1.0
2012	user00071108	1.0	1.0	0.0	1.0	0.0
2012	user00070180	3.0	0.0	3.0	0.0	1.0
2012	user00019099	1.0	0.0	1.0	0.0	1.0
2012	user00049590	1.0	0.0	1.0	0.0	1.0
2012	user00006743	1.0	0.0	1.0	0.0	1.0
2012	user00241056	1.0	0.0	1.0	0.0	1.0
2012	user00210926	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
2012	user00006102	1.0	1.0	0.0	1.0	0.0
2012	user00118256	34.0	0.0	34.0	0.0	1.0
2012	user00010724	37.0	1.0	36.0	0.02702702702702703	0.972972972972973
2012	user00051103	5.0	0.0	5.0	0.0	1.0
2012	user00041079	11.0	0.0	11.0	0.0	1.0
2012	user00005668	3.0	0.0	3.0	0.0	1.0
2012	user00060365	5.0	5.0	0.0	1.0	0.0
2012	user00014696	1.0	0.0	1.0	0.0	1.0
2012	user00058208	1.0	0.0	1.0	0.0	1.0
2012	user00066446	2.0	2.0	0.0	1.0	0.0
2012	user00178569	5.0	4.0	1.0	0.8	0.2
2012	user00115385	2.0	0.0	2.0	0.0	1.0
2012	user00046238	1.0	0.0	1.0	0.0	1.0
2012	user00241192	1.0	0.0	1.0	0.0	1.0
2012	user00083344	4.0	3.0	1.0	0.75	0.25
2012	user00026459	20.0	15.0	5.0	0.75	0.25
2012	user00033357	3.0	3.0	0.0	1.0	0.0
2012	user00195913	1.0	0.0	1.0	0.0	1.0
2012	user00059119	1.0	0.0	1.0	0.0	1.0
2012	user00024167	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2012	user00159657	18.0	0.0	18.0	0.0	1.0
2012	user00033598	1.0	0.0	1.0	0.0	1.0
2012	user00000106	2.0	0.0	2.0	0.0	1.0
2012	user00007699	1.0	0.0	1.0	0.0	1.0
2012	user00241389	5.0	1.0	4.0	0.2	0.8
2012	user00009249	52.0	0.0	52.0	0.0	1.0
2012	user00018319	1.0	0.0	1.0	0.0	1.0
2012	user00199685	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2012	user00000322	9.0	0.0	9.0	0.0	1.0
2012	user00047064	16.0	0.0	16.0	0.0	1.0
2012	user00046086	1.0	1.0	0.0	1.0	0.0
2012	user00115971	1.0	0.0	1.0	0.0	1.0
2012	user00114183	10.0	10.0	0.0	1.0	0.0
2012	user00180705	1.0	0.0	1.0	0.0	1.0
2012	user00241611	1.0	1.0	0.0	1.0	0.0
2012	user00007312	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
2012	user00081828	1.0	0.0	1.0	0.0	1.0
2012	user00124129	1.0	1.0	0.0	1.0	0.0
2012	user00049814	1.0	0.0	1.0	0.0	1.0
2012	user00136493	1.0	0.0	1.0	0.0	1.0
2012	user00001424	6.0	6.0	0.0	1.0	0.0
2012	user00061656	68.0	60.0	8.0	0.8823529411764706	0.11764705882352941
2012	user00068944	1.0	0.0	1.0	0.0	1.0
2012	user00076822	2.0	0.0	2.0	0.0	1.0
2012	user00036913	2.0	1.0	1.0	0.5	0.5
2012	user00074259	64.0	63.0	1.0	0.984375	0.015625
2012	user00022153	8.0	7.0	1.0	0.875	0.125
2012	user00013945	1.0	0.0	1.0	0.0	1.0
2012	user00014175	1.0	0.0	1.0	0.0	1.0
2012	user00032237	2.0	1.0	1.0	0.5	0.5
2012	user00019488	1.0	1.0	0.0	1.0	0.0
2012	user00194856	1.0	0.0	1.0	0.0	1.0
2012	user00049529	1.0	1.0	0.0	1.0	0.0
2012	user00066464	1.0	1.0	0.0	1.0	0.0
2012	user00182697	1.0	0.0	1.0	0.0	1.0
2012	user00086803	1.0	0.0	1.0	0.0	1.0
2012	user00201435	1.0	1.0	0.0	1.0	0.0
2012	user00089751	1.0	1.0	0.0	1.0	0.0
2012	user00008763	13.0	9.0	4.0	0.6923076923076923	0.3076923076923077
2012	user00023215	3.0	0.0	3.0	0.0	1.0
2012	user00059756	1.0	0.0	1.0	0.0	1.0
2012	user00000014	12.0	12.0	0.0	1.0	0.0
2012	user00015566	4.0	1.0	3.0	0.25	0.75
2012	user00093496	1.0	1.0	0.0	1.0	0.0
2012	user00176294	1.0	0.0	1.0	0.0	1.0
2012	user00061205	6.0	6.0	0.0	1.0	0.0
2012	user00012435	1.0	0.0	1.0	0.0	1.0
2012	user00171126	4.0	4.0	0.0	1.0	0.0
2012	user00008250	57.0	11.0	46.0	0.19298245614035087	0.8070175438596491
2012	user00084847	28.0	2.0	26.0	0.07142857142857142	0.9285714285714286
2012	user00173781	1.0	1.0	0.0	1.0	0.0
2012	user00019261	1.0	0.0	1.0	0.0	1.0
2012	user00053330	25.0	24.0	1.0	0.96	0.04
2012	user00046628	1.0	1.0	0.0	1.0	0.0
2012	user00032195	1.0	0.0	1.0	0.0	1.0
2012	user00006802	1.0	1.0	0.0	1.0	0.0
2012	user00022350	37.0	31.0	6.0	0.8378378378378378	0.16216216216216217
2012	user00003992	5.0	0.0	5.0	0.0	1.0
2012	user00017597	2.0	2.0	0.0	1.0	0.0
2012	user00017425	23.0	0.0	23.0	0.0	1.0
2012	user00091524	2.0	0.0	2.0	0.0	1.0
2012	user00075345	1.0	0.0	1.0	0.0	1.0
2012	user00242240	1.0	0.0	1.0	0.0	1.0
2012	user00004659	4.0	0.0	4.0	0.0	1.0
2012	user00006838	3.0	0.0	3.0	0.0	1.0
2012	user00002224	1.0	0.0	1.0	0.0	1.0
2012	user00090717	11.0	0.0	11.0	0.0	1.0
2012	user00015692	55.0	21.0	34.0	0.38181818181818183	0.6181818181818182
2012	user00009797	3.0	0.0	3.0	0.0	1.0
2012	user00045756	1.0	0.0	1.0	0.0	1.0
2012	user00055246	3.0	0.0	3.0	0.0	1.0
2012	user00242414	2.0	2.0	0.0	1.0	0.0
2012	user00043812	1.0	1.0	0.0	1.0	0.0
2012	user00028136	7.0	1.0	6.0	0.14285714285714285	0.8571428571428571
2012	user00048708	1.0	1.0	0.0	1.0	0.0
2012	user00013141	8.0	0.0	8.0	0.0	1.0
2012	user00084844	6.0	0.0	6.0	0.0	1.0
2012	user00097250	5.0	2.0	3.0	0.4	0.6
2012	user00024010	1.0	1.0	0.0	1.0	0.0
2012	user00005305	1.0	0.0	1.0	0.0	1.0
2012	user00014218	2.0	2.0	0.0	1.0	0.0
2012	user00028527	1.0	0.0	1.0	0.0	1.0
2012	user00003828	41.0	0.0	41.0	0.0	1.0
2012	user00242592	1.0	1.0	0.0	1.0	0.0
2012	user00241011	1.0	0.0	1.0	0.0	1.0
2012	user00004516	7.0	0.0	7.0	0.0	1.0
2012	user00137318	2.0	2.0	0.0	1.0	0.0
2012	user00012056	1.0	0.0	1.0	0.0	1.0
2012	user00112883	8.0	3.0	5.0	0.375	0.625
2012	user00019966	1.0	0.0	1.0	0.0	1.0
2012	user00052201	1.0	1.0	0.0	1.0	0.0
2012	user00002050	9.0	0.0	9.0	0.0	1.0
2012	user00242654	1.0	0.0	1.0	0.0	1.0
2012	user00011710	2.0	0.0	2.0	0.0	1.0
2012	user00035206	18.0	5.0	13.0	0.2777777777777778	0.7222222222222222
2012	user00054071	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2012	user00034344	1.0	1.0	0.0	1.0	0.0
2012	user00074209	5.0	0.0	5.0	0.0	1.0
2012	user00004605	1.0	1.0	0.0	1.0	0.0
2012	user00001806	1.0	0.0	1.0	0.0	1.0
2012	user00177303	1.0	0.0	1.0	0.0	1.0
2012	user00171459	1.0	0.0	1.0	0.0	1.0
2012	user00054616	1.0	0.0	1.0	0.0	1.0
2012	user00003715	1.0	1.0	0.0	1.0	0.0
2012	user00242101	1.0	1.0	0.0	1.0	0.0
2012	user00080866	1.0	1.0	0.0	1.0	0.0
2012	user00017072	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2012	user00193288	11.0	11.0	0.0	1.0	0.0
2012	user00035800	1.0	0.0	1.0	0.0	1.0
2012	user00028040	3.0	0.0	3.0	0.0	1.0
2012	user00015339	1.0	1.0	0.0	1.0	0.0
2012	user00061927	2.0	0.0	2.0	0.0	1.0
2012	user00000209	1.0	1.0	0.0	1.0	0.0
2012	user00086157	1.0	0.0	1.0	0.0	1.0
2012	user00001932	5.0	1.0	4.0	0.2	0.8
2012	user00003812	3.0	3.0	0.0	1.0	0.0
2012	user00080240	1.0	1.0	0.0	1.0	0.0
2012	user00001747	3.0	0.0	3.0	0.0	1.0
2012	user00243066	1.0	0.0	1.0	0.0	1.0
2012	user00243078	1.0	1.0	0.0	1.0	0.0
2012	user00019947	103.0	102.0	1.0	0.9902912621359223	0.009708737864077669
2012	user00041278	2.0	0.0	2.0	0.0	1.0
2012	user00009971	9.0	2.0	7.0	0.2222222222222222	0.7777777777777778
2012	user00052227	1.0	0.0	1.0	0.0	1.0
2012	user00003592	31.0	31.0	0.0	1.0	0.0
2012	user00072220	3.0	0.0	3.0	0.0	1.0
2012	user00031967	2.0	0.0	2.0	0.0	1.0
2012	user00110520	1.0	0.0	1.0	0.0	1.0
2012	user00119347	1.0	1.0	0.0	1.0	0.0
2012	user00139325	2.0	0.0	2.0	0.0	1.0
2012	user00035348	3.0	0.0	3.0	0.0	1.0
2012	user00056411	1.0	1.0	0.0	1.0	0.0
2012	user00012462	20.0	1.0	19.0	0.05	0.95
2012	user00015569	1.0	0.0	1.0	0.0	1.0
2012	user00001147	1.0	1.0	0.0	1.0	0.0
2012	user00011295	2.0	2.0	0.0	1.0	0.0
2012	user00019736	2.0	0.0	2.0	0.0	1.0
2012	user00004405	1.0	0.0	1.0	0.0	1.0
2012	user00042693	2.0	1.0	1.0	0.5	0.5
2012	user00113070	1.0	0.0	1.0	0.0	1.0
2012	user00005255	3.0	3.0	0.0	1.0	0.0
2012	user00092573	4.0	0.0	4.0	0.0	1.0
2012	user00045035	3.0	3.0	0.0	1.0	0.0
2012	user00117830	1.0	1.0	0.0	1.0	0.0
2012	user00047455	2.0	2.0	0.0	1.0	0.0
2012	user00030325	1.0	0.0	1.0	0.0	1.0
2012	user00062852	1.0	0.0	1.0	0.0	1.0
2012	user00027595	1.0	0.0	1.0	0.0	1.0
2012	user00021974	37.0	2.0	35.0	0.05405405405405406	0.9459459459459459
2012	user00009461	3.0	3.0	0.0	1.0	0.0
2012	user00020651	2.0	0.0	2.0	0.0	1.0
2012	user00006168	4.0	0.0	4.0	0.0	1.0
2012	user00052788	1.0	0.0	1.0	0.0	1.0
2012	user00242801	1.0	0.0	1.0	0.0	1.0
2012	user00243432	1.0	1.0	0.0	1.0	0.0
2012	user00023734	2.0	0.0	2.0	0.0	1.0
2012	user00149923	1.0	0.0	1.0	0.0	1.0
2012	user00110230	2.0	0.0	2.0	0.0	1.0
2012	user00059812	1.0	1.0	0.0	1.0	0.0
2012	user00174125	1.0	0.0	1.0	0.0	1.0
2012	user00020096	2.0	0.0	2.0	0.0	1.0
2012	user00055976	1.0	0.0	1.0	0.0	1.0
2012	user00014526	9.0	5.0	4.0	0.5555555555555556	0.4444444444444444
2012	user00002992	8.0	8.0	0.0	1.0	0.0
2012	user00053666	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2012	user00002598	3.0	0.0	3.0	0.0	1.0
2012	user00016488	3.0	0.0	3.0	0.0	1.0
2012	user00016340	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2012	user00014597	1.0	0.0	1.0	0.0	1.0
2012	user00012307	1.0	0.0	1.0	0.0	1.0
2012	user00012632	1.0	0.0	1.0	0.0	1.0
2012	user00049291	8.0	1.0	7.0	0.125	0.875
2012	user00048571	1.0	1.0	0.0	1.0	0.0
2012	user00130446	1.0	1.0	0.0	1.0	0.0
2012	user00078080	8.0	5.0	3.0	0.625	0.375
2012	user00136971	3.0	0.0	3.0	0.0	1.0
2012	user00163076	1.0	0.0	1.0	0.0	1.0
2012	user00006162	2.0	0.0	2.0	0.0	1.0
2012	user00019626	1.0	0.0	1.0	0.0	1.0
2012	user00000185	1.0	0.0	1.0	0.0	1.0
2012	user00073817	3.0	0.0	3.0	0.0	1.0
2012	user00147825	1.0	0.0	1.0	0.0	1.0
2012	user00242136	1.0	0.0	1.0	0.0	1.0
2012	user00243985	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2012	user00243991	1.0	0.0	1.0	0.0	1.0
2012	user00006858	3.0	0.0	3.0	0.0	1.0
2012	user00104744	1.0	0.0	1.0	0.0	1.0
2012	user00086876	2.0	0.0	2.0	0.0	1.0
2012	user00089787	2.0	0.0	2.0	0.0	1.0
2012	user00041854	1.0	0.0	1.0	0.0	1.0
2012	user00088392	1.0	0.0	1.0	0.0	1.0
2012	user00244108	1.0	0.0	1.0	0.0	1.0
2012	user00116027	11.0	2.0	9.0	0.18181818181818182	0.8181818181818182
2012	user00211378	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2012	user00024523	2.0	0.0	2.0	0.0	1.0
2012	user00024677	1.0	1.0	0.0	1.0	0.0
2012	user00008920	2.0	2.0	0.0	1.0	0.0
2012	user00053811	1.0	0.0	1.0	0.0	1.0
2012	user00022130	1.0	1.0	0.0	1.0	0.0
2012	user00051133	1.0	0.0	1.0	0.0	1.0
2012	user00244190	2.0	2.0	0.0	1.0	0.0
2012	user00028767	1.0	0.0	1.0	0.0	1.0
2012	user00017145	1.0	0.0	1.0	0.0	1.0
2012	user00090240	1.0	0.0	1.0	0.0	1.0
2012	user00068780	1.0	0.0	1.0	0.0	1.0
2012	user00116196	10.0	10.0	0.0	1.0	0.0
2012	user00068861	1.0	1.0	0.0	1.0	0.0
2012	user00067950	2.0	2.0	0.0	1.0	0.0
2012	user00010546	1.0	1.0	0.0	1.0	0.0
2012	user00030739	1.0	1.0	0.0	1.0	0.0
2012	user00010097	1.0	0.0	1.0	0.0	1.0
2012	user00126330	1.0	0.0	1.0	0.0	1.0
2012	user00052620	2.0	1.0	1.0	0.5	0.5
2012	user00008359	1.0	0.0	1.0	0.0	1.0
2012	user00005428	1.0	0.0	1.0	0.0	1.0
2012	user00011557	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2012	user00011001	3.0	0.0	3.0	0.0	1.0
2012	user00025549	1.0	0.0	1.0	0.0	1.0
2012	user00068319	1.0	1.0	0.0	1.0	0.0
2012	user00032986	1.0	1.0	0.0	1.0	0.0
2012	user00011582	1.0	1.0	0.0	1.0	0.0
2012	user00086706	4.0	0.0	4.0	0.0	1.0
2012	user00038477	1.0	1.0	0.0	1.0	0.0
2012	user00005262	10.0	2.0	8.0	0.2	0.8
2012	user00131821	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2012	user00086027	1.0	0.0	1.0	0.0	1.0
2012	user00019075	1.0	0.0	1.0	0.0	1.0
2012	user00009735	1.0	1.0	0.0	1.0	0.0
2012	user00043951	1.0	0.0	1.0	0.0	1.0
2012	user00000466	2.0	1.0	1.0	0.5	0.5
2012	user00056384	1.0	1.0	0.0	1.0	0.0
2012	user00028345	1.0	1.0	0.0	1.0	0.0
2012	user00170606	2.0	0.0	2.0	0.0	1.0
2012	user00184652	1.0	1.0	0.0	1.0	0.0
2012	user00062842	5.0	3.0	2.0	0.6	0.4
2012	user00244587	1.0	1.0	0.0	1.0	0.0
2012	user00136503	2.0	0.0	2.0	0.0	1.0
2012	user00050910	1.0	0.0	1.0	0.0	1.0
2012	user00061410	3.0	0.0	3.0	0.0	1.0
2012	user00031132	10.0	10.0	0.0	1.0	0.0
2012	user00185126	1.0	1.0	0.0	1.0	0.0
2012	user00244462	1.0	1.0	0.0	1.0	0.0
2012	user00036479	1.0	0.0	1.0	0.0	1.0
2012	user00001359	1.0	1.0	0.0	1.0	0.0
2012	user00129416	1.0	1.0	0.0	1.0	0.0
2012	user00006991	1.0	0.0	1.0	0.0	1.0
2012	user00055255	2.0	0.0	2.0	0.0	1.0
2012	user00012964	3.0	0.0	3.0	0.0	1.0
2012	user00002869	2.0	1.0	1.0	0.5	0.5
2012	user00038769	4.0	1.0	3.0	0.25	0.75
2012	user00137625	1.0	1.0	0.0	1.0	0.0
2012	user00021632	3.0	0.0	3.0	0.0	1.0
2012	user00042219	1.0	0.0	1.0	0.0	1.0
2012	user00032295	5.0	4.0	1.0	0.8	0.2
2012	user00244784	10.0	0.0	10.0	0.0	1.0
2012	user00055055	2.0	0.0	2.0	0.0	1.0
2012	user00140479	9.0	0.0	9.0	0.0	1.0
2012	user00000140	1.0	0.0	1.0	0.0	1.0
2012	user00244803	1.0	0.0	1.0	0.0	1.0
2012	user00244809	1.0	0.0	1.0	0.0	1.0
2012	user00049656	3.0	0.0	3.0	0.0	1.0
2012	user00018828	5.0	4.0	1.0	0.8	0.2
2012	user00010530	18.0	3.0	15.0	0.16666666666666666	0.8333333333333334
2012	user00016246	6.0	6.0	0.0	1.0	0.0
2012	user00063625	3.0	3.0	0.0	1.0	0.0
2012	user00011977	1.0	0.0	1.0	0.0	1.0
2012	user00036071	1.0	0.0	1.0	0.0	1.0
2012	user00006377	1.0	0.0	1.0	0.0	1.0
2012	user00009286	1.0	0.0	1.0	0.0	1.0
2012	user00016134	8.0	4.0	4.0	0.5	0.5
2012	user00128764	1.0	0.0	1.0	0.0	1.0
2012	user00130622	1.0	1.0	0.0	1.0	0.0
2012	user00142025	1.0	0.0	1.0	0.0	1.0
2012	user00092289	4.0	4.0	0.0	1.0	0.0
2012	user00178112	2.0	0.0	2.0	0.0	1.0
2012	user00052438	1.0	1.0	0.0	1.0	0.0
2012	user00017482	7.0	5.0	2.0	0.7142857142857143	0.2857142857142857
2012	user00043948	1.0	1.0	0.0	1.0	0.0
2012	user00162331	4.0	0.0	4.0	0.0	1.0
2012	user00047238	1.0	1.0	0.0	1.0	0.0
2012	user00098276	1.0	0.0	1.0	0.0	1.0
2012	user00094878	2.0	0.0	2.0	0.0	1.0
2012	user00070190	41.0	2.0	39.0	0.04878048780487805	0.9512195121951219
2012	user00174319	1.0	0.0	1.0	0.0	1.0
2012	user00026848	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2012	user00176293	1.0	1.0	0.0	1.0	0.0
2012	user00149255	1.0	0.0	1.0	0.0	1.0
2012	user00062518	1.0	0.0	1.0	0.0	1.0
2012	user00025120	1.0	1.0	0.0	1.0	0.0
2012	user00245131	1.0	0.0	1.0	0.0	1.0
2012	user00071461	1.0	0.0	1.0	0.0	1.0
2012	user00171986	2.0	2.0	0.0	1.0	0.0
2012	user00028718	5.0	4.0	1.0	0.8	0.2
2012	user00012737	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2012	user00005119	4.0	1.0	3.0	0.25	0.75
2012	user00084020	1.0	0.0	1.0	0.0	1.0
2012	user00111608	2.0	0.0	2.0	0.0	1.0
2012	user00219858	1.0	0.0	1.0	0.0	1.0
2012	user00068609	1.0	0.0	1.0	0.0	1.0
