period	username	total	v1abs	v2abs	v1rel	v2rel
2012	user00016266	1.0	0.0	1.0	0.0	1.0
2012	user00208069	1.0	1.0	0.0	1.0	0.0
2012	user00024649	1.0	0.0	1.0	0.0	1.0
2012	user00288065	1.0	0.0	1.0	0.0	1.0
2012	user00208800	1.0	1.0	0.0	1.0	0.0
2012	user00002840	5.0	0.0	5.0	0.0	1.0
2012	user00067715	1.0	1.0	0.0	1.0	0.0
2012	user00289756	1.0	1.0	0.0	1.0	0.0
2012	user00137394	1.0	1.0	0.0	1.0	0.0
2012	user00125514	4.0	4.0	0.0	1.0	0.0
2012	user00056722	1.0	0.0	1.0	0.0	1.0
2012	user00080891	1.0	1.0	0.0	1.0	0.0
2012	user00027944	1.0	1.0	0.0	1.0	0.0
2012	user00055076	1.0	1.0	0.0	1.0	0.0
2012	user00066646	1.0	1.0	0.0	1.0	0.0
2012	user00003970	1.0	1.0	0.0	1.0	0.0
2012	user00069721	1.0	0.0	1.0	0.0	1.0
2012	user00076390	1.0	0.0	1.0	0.0	1.0
2012	user00051829	1.0	1.0	0.0	1.0	0.0
2012	user00066678	1.0	0.0	1.0	0.0	1.0
2012	user00197348	1.0	1.0	0.0	1.0	0.0
2012	user00173249	2.0	2.0	0.0	1.0	0.0
2012	user00093755	1.0	0.0	1.0	0.0	1.0
2012	user00012430	1.0	1.0	0.0	1.0	0.0
2012	user00041776	1.0	1.0	0.0	1.0	0.0
2012	user00042917	1.0	1.0	0.0	1.0	0.0
2012	user00111207	1.0	1.0	0.0	1.0	0.0
2012	user00014377	1.0	0.0	1.0	0.0	1.0
2012	user00068794	4.0	4.0	0.0	1.0	0.0
2012	user00301056	6.0	6.0	0.0	1.0	0.0
2012	user00106353	1.0	1.0	0.0	1.0	0.0
2012	user00043920	1.0	1.0	0.0	1.0	0.0
2012	user00024010	1.0	1.0	0.0	1.0	0.0
2012	user00246071	1.0	1.0	0.0	1.0	0.0
2012	user00148327	1.0	0.0	1.0	0.0	1.0
2012	user00041511	1.0	1.0	0.0	1.0	0.0
2012	user00000543	1.0	1.0	0.0	1.0	0.0
2012	user00044930	1.0	1.0	0.0	1.0	0.0
2012	user00014827	2.0	2.0	0.0	1.0	0.0
2012	user00158409	1.0	0.0	1.0	0.0	1.0
2012	user00072149	3.0	3.0	0.0	1.0	0.0
2012	user00265786	1.0	0.0	1.0	0.0	1.0
2012	user00068830	1.0	0.0	1.0	0.0	1.0
2012	user00018990	2.0	0.0	2.0	0.0	1.0
2012	user00050636	1.0	1.0	0.0	1.0	0.0
2012	user00152225	1.0	1.0	0.0	1.0	0.0
2012	user00197384	1.0	1.0	0.0	1.0	0.0
2012	user00055434	1.0	1.0	0.0	1.0	0.0
2012	user00245472	1.0	1.0	0.0	1.0	0.0
2012	user00000324	1.0	0.0	1.0	0.0	1.0
