period	username	total	v1abs	v2abs	v1rel	v2rel
2014	user00211081	1.0	0.0	1.0	0.0	1.0
2014	user00031888	1.0	0.0	1.0	0.0	1.0
2014	user00001163	8.0	0.0	8.0	0.0	1.0
2014	user00217713	1.0	0.0	1.0	0.0	1.0
2014	user00014927	3.0	0.0	3.0	0.0	1.0
2014	user00068212	1.0	0.0	1.0	0.0	1.0
2014	user00051821	1.0	0.0	1.0	0.0	1.0
2014	user00299238	1.0	1.0	0.0	1.0	0.0
2014	user00333111	1.0	0.0	1.0	0.0	1.0
2014	user00283599	1.0	0.0	1.0	0.0	1.0
2014	user00134441	1.0	0.0	1.0	0.0	1.0
2014	user00031265	1.0	0.0	1.0	0.0	1.0
2014	user00000037	1.0	0.0	1.0	0.0	1.0
2014	user00009329	1.0	0.0	1.0	0.0	1.0
2014	user00126616	1.0	0.0	1.0	0.0	1.0
2014	user00038516	1.0	0.0	1.0	0.0	1.0
2020	user00030374	1.0	0.0	1.0	0.0	1.0
2020	user00063088	1.0	0.0	1.0	0.0	1.0
2020	user00006315	1.0	0.0	1.0	0.0	1.0
2020	user00017484	1.0	0.0	1.0	0.0	1.0
2020	user00097846	2.0	0.0	2.0	0.0	1.0
2020	user00005234	2.0	0.0	2.0	0.0	1.0
2020	user00118664	1.0	0.0	1.0	0.0	1.0
2020	user00082294	1.0	0.0	1.0	0.0	1.0
2020	user00031784	1.0	0.0	1.0	0.0	1.0
2020	user00073912	1.0	0.0	1.0	0.0	1.0
2020	user00079328	1.0	0.0	1.0	0.0	1.0
2020	user00262869	1.0	0.0	1.0	0.0	1.0
2020	user00062395	2.0	0.0	2.0	0.0	1.0
2020	user00066789	1.0	0.0	1.0	0.0	1.0
2020	user00029292	1.0	0.0	1.0	0.0	1.0
2021	user00250050	2.0	0.0	2.0	0.0	1.0
2021	user00012381	1.0	0.0	1.0	0.0	1.0
2021	user00173196	1.0	0.0	1.0	0.0	1.0
2021	user00077645	1.0	0.0	1.0	0.0	1.0
2021	user00191650	1.0	0.0	1.0	0.0	1.0
2021	user00217920	1.0	0.0	1.0	0.0	1.0
2021	user00010166	1.0	0.0	1.0	0.0	1.0
2021	user00173203	1.0	0.0	1.0	0.0	1.0
2021	user00290010	1.0	0.0	1.0	0.0	1.0
2021	user00062535	1.0	0.0	1.0	0.0	1.0
2021	user00079627	1.0	0.0	1.0	0.0	1.0
