period	username	total	v1abs	v2abs	v1rel	v2rel
2010	user00134893	2.0	0.0	2.0	0.0	1.0
2010	user00145282	1.0	0.0	1.0	0.0	1.0
2010	user00160317	1.0	1.0	0.0	1.0	0.0
2010	user00005006	15.0	7.0	8.0	0.4666666666666667	0.5333333333333333
2010	user00007409	1.0	0.0	1.0	0.0	1.0
2010	user00285367	1.0	0.0	1.0	0.0	1.0
2010	user00038074	1.0	0.0	1.0	0.0	1.0
2010	user00025629	7.0	0.0	7.0	0.0	1.0
2010	user00002219	2.0	0.0	2.0	0.0	1.0
2010	user00034195	1.0	0.0	1.0	0.0	1.0
2010	user00013173	1.0	0.0	1.0	0.0	1.0
2010	user00047931	1.0	0.0	1.0	0.0	1.0
2010	user00074033	1.0	0.0	1.0	0.0	1.0
2010	user00023584	13.0	6.0	7.0	0.46153846153846156	0.5384615384615384
2010	user00003822	5.0	0.0	5.0	0.0	1.0
2010	user00017102	3.0	0.0	3.0	0.0	1.0
2010	user00041554	2.0	0.0	2.0	0.0	1.0
2010	user00027009	1.0	1.0	0.0	1.0	0.0
2010	user00034370	2.0	0.0	2.0	0.0	1.0
2010	user00165438	1.0	0.0	1.0	0.0	1.0
2010	user00072611	1.0	0.0	1.0	0.0	1.0
2010	user00071734	3.0	0.0	3.0	0.0	1.0
2010	user00202197	1.0	0.0	1.0	0.0	1.0
2010	user00181999	1.0	0.0	1.0	0.0	1.0
2010	user00078198	1.0	1.0	0.0	1.0	0.0
2010	user00005806	2.0	2.0	0.0	1.0	0.0
2010	user00095334	1.0	0.0	1.0	0.0	1.0
2010	user00020199	3.0	3.0	0.0	1.0	0.0
2010	user00042372	1.0	0.0	1.0	0.0	1.0
2010	user00372729	1.0	0.0	1.0	0.0	1.0
2010	user00066938	1.0	0.0	1.0	0.0	1.0
2010	user00002174	4.0	0.0	4.0	0.0	1.0
2010	user00094807	1.0	1.0	0.0	1.0	0.0
2010	user00037611	2.0	0.0	2.0	0.0	1.0
2010	user00117342	1.0	0.0	1.0	0.0	1.0
2010	user00021126	1.0	0.0	1.0	0.0	1.0
2010	user00020400	1.0	0.0	1.0	0.0	1.0
2010	user00005540	1.0	0.0	1.0	0.0	1.0
2010	user00037379	1.0	0.0	1.0	0.0	1.0
2010	user00167077	2.0	0.0	2.0	0.0	1.0
2010	user00024387	1.0	0.0	1.0	0.0	1.0
2010	user00038609	1.0	0.0	1.0	0.0	1.0
2010	user00020096	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	user00184270	1.0	1.0	0.0	1.0	0.0
2010	user00002824	1.0	0.0	1.0	0.0	1.0
2010	user00031121	1.0	0.0	1.0	0.0	1.0
2010	user00049991	1.0	0.0	1.0	0.0	1.0
2010	user00038066	1.0	0.0	1.0	0.0	1.0
2010	user00027645	1.0	0.0	1.0	0.0	1.0
2010	user00055537	3.0	0.0	3.0	0.0	1.0
2010	user00085486	1.0	1.0	0.0	1.0	0.0
2010	user00078466	3.0	0.0	3.0	0.0	1.0
2010	user00010458	1.0	0.0	1.0	0.0	1.0
2010	user00085319	2.0	2.0	0.0	1.0	0.0
2010	user00006736	1.0	0.0	1.0	0.0	1.0
2010	user00049453	2.0	0.0	2.0	0.0	1.0
2010	user00007230	1.0	0.0	1.0	0.0	1.0
2010	user00045716	1.0	1.0	0.0	1.0	0.0
2010	user00070436	1.0	1.0	0.0	1.0	0.0
2010	user00000168	8.0	8.0	0.0	1.0	0.0
2010	user00003003	4.0	0.0	4.0	0.0	1.0
2010	user00045367	1.0	0.0	1.0	0.0	1.0
2010	user00020804	4.0	0.0	4.0	0.0	1.0
2010	user00020454	1.0	1.0	0.0	1.0	0.0
2010	user00054902	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	user00074568	2.0	1.0	1.0	0.5	0.5
2010	user00035857	2.0	0.0	2.0	0.0	1.0
2010	user00020555	4.0	0.0	4.0	0.0	1.0
2010	user00041218	2.0	0.0	2.0	0.0	1.0
2010	user00006127	2.0	0.0	2.0	0.0	1.0
2010	user00032930	1.0	0.0	1.0	0.0	1.0
2010	user00281944	2.0	2.0	0.0	1.0	0.0
2010	user00034181	5.0	5.0	0.0	1.0	0.0
2010	user00046699	1.0	0.0	1.0	0.0	1.0
2010	user00047363	1.0	1.0	0.0	1.0	0.0
2010	user00000557	2.0	2.0	0.0	1.0	0.0
2010	user00001616	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	user00209462	1.0	0.0	1.0	0.0	1.0
2010	user00008823	1.0	0.0	1.0	0.0	1.0
2010	user00000927	1.0	0.0	1.0	0.0	1.0
2010	user00019189	2.0	0.0	2.0	0.0	1.0
2010	user00008233	4.0	0.0	4.0	0.0	1.0
2010	user00042516	2.0	1.0	1.0	0.5	0.5
2010	user00032702	1.0	0.0	1.0	0.0	1.0
2010	user00014490	1.0	0.0	1.0	0.0	1.0
2010	user00020656	1.0	0.0	1.0	0.0	1.0
2010	user00010562	1.0	0.0	1.0	0.0	1.0
2010	user00115353	1.0	0.0	1.0	0.0	1.0
2010	user00005085	1.0	0.0	1.0	0.0	1.0
2010	user00108234	1.0	0.0	1.0	0.0	1.0
2010	user00093736	3.0	0.0	3.0	0.0	1.0
2010	user00019648	1.0	0.0	1.0	0.0	1.0
2010	user00003617	1.0	0.0	1.0	0.0	1.0
2010	user00065300	3.0	0.0	3.0	0.0	1.0
2010	user00039817	1.0	0.0	1.0	0.0	1.0
2010	user00030533	2.0	0.0	2.0	0.0	1.0
2010	user00005884	1.0	0.0	1.0	0.0	1.0
2010	user00010132	4.0	4.0	0.0	1.0	0.0
2010	user00040313	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	user00215850	1.0	0.0	1.0	0.0	1.0
2010	user00005522	2.0	0.0	2.0	0.0	1.0
2010	user00022041	1.0	0.0	1.0	0.0	1.0
2010	user00050387	2.0	0.0	2.0	0.0	1.0
2010	user00038855	1.0	0.0	1.0	0.0	1.0
2010	user00004766	3.0	0.0	3.0	0.0	1.0
2010	user00084966	2.0	1.0	1.0	0.5	0.5
2010	user00057642	1.0	0.0	1.0	0.0	1.0
2010	user00042343	1.0	0.0	1.0	0.0	1.0
2010	user00003090	1.0	1.0	0.0	1.0	0.0
2010	user00057387	1.0	1.0	0.0	1.0	0.0
2010	user00150935	1.0	0.0	1.0	0.0	1.0
2010	user00104016	1.0	0.0	1.0	0.0	1.0
2010	user00103868	1.0	0.0	1.0	0.0	1.0
2010	user00039360	1.0	0.0	1.0	0.0	1.0
2010	user00034246	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	user00099234	1.0	0.0	1.0	0.0	1.0
2010	user00084776	1.0	1.0	0.0	1.0	0.0
2010	user00015791	1.0	0.0	1.0	0.0	1.0
2010	user00081879	2.0	2.0	0.0	1.0	0.0
2010	user00060896	2.0	0.0	2.0	0.0	1.0
2010	user00042422	1.0	1.0	0.0	1.0	0.0
2010	user00046150	1.0	0.0	1.0	0.0	1.0
2010	user00022467	1.0	0.0	1.0	0.0	1.0
2010	user00010574	1.0	0.0	1.0	0.0	1.0
2010	user00073974	1.0	0.0	1.0	0.0	1.0
2010	user00008831	1.0	1.0	0.0	1.0	0.0
2010	user00060009	1.0	0.0	1.0	0.0	1.0
2010	user00150127	1.0	0.0	1.0	0.0	1.0
2010	user00125330	1.0	0.0	1.0	0.0	1.0
2010	user00045449	1.0	0.0	1.0	0.0	1.0
2010	user00030723	1.0	0.0	1.0	0.0	1.0
2010	user00038629	1.0	1.0	0.0	1.0	0.0
2010	user00006678	1.0	0.0	1.0	0.0	1.0
2010	user00052796	2.0	0.0	2.0	0.0	1.0
2010	user00117339	1.0	1.0	0.0	1.0	0.0
2010	user00000563	1.0	0.0	1.0	0.0	1.0
2010	user00020963	1.0	0.0	1.0	0.0	1.0
2010	user00051162	5.0	4.0	1.0	0.8	0.2
2010	user00032922	1.0	0.0	1.0	0.0	1.0
2010	user00018696	1.0	0.0	1.0	0.0	1.0
2010	user00013004	3.0	0.0	3.0	0.0	1.0
2010	user00035206	1.0	1.0	0.0	1.0	0.0
2010	user00011267	1.0	0.0	1.0	0.0	1.0
2010	user00092468	1.0	0.0	1.0	0.0	1.0
2010	user00003319	1.0	1.0	0.0	1.0	0.0
2010	user00153640	1.0	1.0	0.0	1.0	0.0
2010	user00001342	5.0	0.0	5.0	0.0	1.0
2010	user00029019	1.0	1.0	0.0	1.0	0.0
2010	user00032061	1.0	0.0	1.0	0.0	1.0
2010	user00009919	2.0	0.0	2.0	0.0	1.0
2010	user00016284	1.0	1.0	0.0	1.0	0.0
2010	user00042938	1.0	0.0	1.0	0.0	1.0
2010	user00045019	1.0	0.0	1.0	0.0	1.0
2010	user00065185	1.0	0.0	1.0	0.0	1.0
2010	user00021376	1.0	0.0	1.0	0.0	1.0
2010	user00148567	1.0	1.0	0.0	1.0	0.0
2010	user00029021	1.0	0.0	1.0	0.0	1.0
2010	user00144741	1.0	0.0	1.0	0.0	1.0
2010	user00009005	1.0	0.0	1.0	0.0	1.0
2010	user00011913	4.0	2.0	2.0	0.5	0.5
2010	user00032161	2.0	1.0	1.0	0.5	0.5
2010	user00041321	1.0	0.0	1.0	0.0	1.0
2010	user00063665	1.0	1.0	0.0	1.0	0.0
2010	user00059829	5.0	5.0	0.0	1.0	0.0
2010	user00015044	1.0	0.0	1.0	0.0	1.0
2010	user00042753	10.0	0.0	10.0	0.0	1.0
2010	user00043478	1.0	0.0	1.0	0.0	1.0
2010	user00076127	1.0	1.0	0.0	1.0	0.0
2010	user00009092	1.0	0.0	1.0	0.0	1.0
2010	user00003730	1.0	0.0	1.0	0.0	1.0
2010	user00003862	2.0	1.0	1.0	0.5	0.5
2010	user00049472	1.0	0.0	1.0	0.0	1.0
2010	user00041054	1.0	0.0	1.0	0.0	1.0
2010	user00040060	1.0	0.0	1.0	0.0	1.0
2010	user00076730	1.0	1.0	0.0	1.0	0.0
2010	user00011242	1.0	0.0	1.0	0.0	1.0
2010	user00029250	3.0	0.0	3.0	0.0	1.0
2010	user00067636	2.0	0.0	2.0	0.0	1.0
2010	user00200615	1.0	0.0	1.0	0.0	1.0
2010	user00015333	2.0	0.0	2.0	0.0	1.0
2010	user00059845	2.0	0.0	2.0	0.0	1.0
2010	user00006954	5.0	5.0	0.0	1.0	0.0
2010	user00009562	2.0	1.0	1.0	0.5	0.5
2010	user00012457	1.0	0.0	1.0	0.0	1.0
2010	user00021195	2.0	0.0	2.0	0.0	1.0
2010	user00015104	2.0	0.0	2.0	0.0	1.0
2010	user00125592	1.0	0.0	1.0	0.0	1.0
2010	user00081629	1.0	0.0	1.0	0.0	1.0
2010	user00001983	2.0	0.0	2.0	0.0	1.0
2010	user00072175	1.0	1.0	0.0	1.0	0.0
2010	user00055042	1.0	0.0	1.0	0.0	1.0
2010	user00088024	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	user00105708	1.0	1.0	0.0	1.0	0.0
2010	user00006105	1.0	0.0	1.0	0.0	1.0
2010	user00007258	1.0	0.0	1.0	0.0	1.0
2010	user00118404	4.0	0.0	4.0	0.0	1.0
2010	user00051120	1.0	0.0	1.0	0.0	1.0
2010	user00155062	1.0	0.0	1.0	0.0	1.0
2010	user00077607	1.0	1.0	0.0	1.0	0.0
2010	user00129526	1.0	1.0	0.0	1.0	0.0
2010	user00112548	2.0	1.0	1.0	0.5	0.5
2010	user00017615	2.0	0.0	2.0	0.0	1.0
2010	user00009862	1.0	0.0	1.0	0.0	1.0
2010	user00006281	1.0	0.0	1.0	0.0	1.0
2010	user00055715	1.0	0.0	1.0	0.0	1.0
2010	user00003687	2.0	0.0	2.0	0.0	1.0
2010	user00042517	2.0	1.0	1.0	0.5	0.5
2010	user00199237	1.0	0.0	1.0	0.0	1.0
2010	user00072939	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	user00010366	1.0	1.0	0.0	1.0	0.0
2010	user00023366	1.0	1.0	0.0	1.0	0.0
2010	user00064265	1.0	1.0	0.0	1.0	0.0
2010	user00089719	1.0	1.0	0.0	1.0	0.0
2010	user00042426	1.0	0.0	1.0	0.0	1.0
2010	user00022852	1.0	1.0	0.0	1.0	0.0
2010	user00026487	2.0	2.0	0.0	1.0	0.0
2010	user00011520	1.0	1.0	0.0	1.0	0.0
2010	user00018833	1.0	0.0	1.0	0.0	1.0
2010	user00347417	1.0	0.0	1.0	0.0	1.0
2010	user00062300	1.0	1.0	0.0	1.0	0.0
2010	user00056023	1.0	0.0	1.0	0.0	1.0
2010	user00002114	1.0	0.0	1.0	0.0	1.0
2010	user00068977	2.0	1.0	1.0	0.5	0.5
2010	user00010868	1.0	1.0	0.0	1.0	0.0
2010	user00259505	1.0	0.0	1.0	0.0	1.0
2010	user00027606	1.0	1.0	0.0	1.0	0.0
2010	user00248050	7.0	7.0	0.0	1.0	0.0
2010	user00009539	1.0	1.0	0.0	1.0	0.0
2010	user00098791	1.0	0.0	1.0	0.0	1.0
2010	user00007733	1.0	0.0	1.0	0.0	1.0
2010	user00141585	1.0	0.0	1.0	0.0	1.0
2010	user00041729	1.0	0.0	1.0	0.0	1.0
2010	user00020105	2.0	0.0	2.0	0.0	1.0
2010	user00179989	1.0	0.0	1.0	0.0	1.0
2010	user00077265	1.0	0.0	1.0	0.0	1.0
2010	user00287575	1.0	0.0	1.0	0.0	1.0
2010	user00052324	1.0	1.0	0.0	1.0	0.0
2010	user00004349	1.0	0.0	1.0	0.0	1.0
2010	user00224778	1.0	1.0	0.0	1.0	0.0
2010	user00028427	1.0	1.0	0.0	1.0	0.0
2010	user00189502	1.0	1.0	0.0	1.0	0.0
2010	user00092869	1.0	0.0	1.0	0.0	1.0
2010	user00063920	1.0	0.0	1.0	0.0	1.0
2010	user00143348	1.0	0.0	1.0	0.0	1.0
2010	user00049656	1.0	1.0	0.0	1.0	0.0
2010	user00012363	2.0	0.0	2.0	0.0	1.0
2010	user00014555	1.0	0.0	1.0	0.0	1.0
2010	user00031265	2.0	1.0	1.0	0.5	0.5
2010	user00262656	2.0	2.0	0.0	1.0	0.0
2010	user00014339	1.0	0.0	1.0	0.0	1.0
2010	user00200423	1.0	0.0	1.0	0.0	1.0
2010	user00025747	1.0	0.0	1.0	0.0	1.0
2010	user00168368	1.0	1.0	0.0	1.0	0.0
2010	user00036363	1.0	1.0	0.0	1.0	0.0
2010	user00029462	3.0	3.0	0.0	1.0	0.0
2010	user00027144	2.0	0.0	2.0	0.0	1.0
2010	user00020538	1.0	0.0	1.0	0.0	1.0
2010	user00063152	1.0	1.0	0.0	1.0	0.0
2010	user00112514	2.0	2.0	0.0	1.0	0.0
2010	user00020429	1.0	0.0	1.0	0.0	1.0
2010	user00084428	1.0	0.0	1.0	0.0	1.0
2010	user00042394	1.0	0.0	1.0	0.0	1.0
2010	user00056069	1.0	0.0	1.0	0.0	1.0
2010	user00181887	2.0	2.0	0.0	1.0	0.0
2010	user00005387	8.0	7.0	1.0	0.875	0.125
2010	user00000489	4.0	0.0	4.0	0.0	1.0
2010	user00131003	2.0	0.0	2.0	0.0	1.0
2010	user00064552	1.0	0.0	1.0	0.0	1.0
2010	user00372667	1.0	1.0	0.0	1.0	0.0
2010	user00345826	1.0	0.0	1.0	0.0	1.0
2010	user00063248	4.0	4.0	0.0	1.0	0.0
2010	user00001866	2.0	0.0	2.0	0.0	1.0
2010	user00187885	1.0	1.0	0.0	1.0	0.0
2010	user00033517	2.0	2.0	0.0	1.0	0.0
2010	user00301337	4.0	4.0	0.0	1.0	0.0
2010	user00373424	1.0	0.0	1.0	0.0	1.0
2010	user00327721	1.0	0.0	1.0	0.0	1.0
2010	user00229550	1.0	1.0	0.0	1.0	0.0
2010	user00016121	1.0	0.0	1.0	0.0	1.0
2010	user00088856	1.0	0.0	1.0	0.0	1.0
2010	user00372673	4.0	4.0	0.0	1.0	0.0
2010	user00034372	1.0	0.0	1.0	0.0	1.0
2010	user00014047	1.0	0.0	1.0	0.0	1.0
2010	user00060358	1.0	0.0	1.0	0.0	1.0
2010	user00327311	1.0	1.0	0.0	1.0	0.0
2010	user00000990	1.0	0.0	1.0	0.0	1.0
2010	user00184102	1.0	0.0	1.0	0.0	1.0
2010	user00110823	1.0	0.0	1.0	0.0	1.0
2010	user00015282	1.0	0.0	1.0	0.0	1.0
2010	user00018519	1.0	1.0	0.0	1.0	0.0
2010	user00014283	1.0	0.0	1.0	0.0	1.0
2010	user00035733	1.0	1.0	0.0	1.0	0.0
2010	user00001213	1.0	0.0	1.0	0.0	1.0
2010	user00201526	1.0	1.0	0.0	1.0	0.0
2010	user00008037	4.0	3.0	1.0	0.75	0.25
2010	user00372994	2.0	2.0	0.0	1.0	0.0
2010	user00066423	3.0	3.0	0.0	1.0	0.0
2010	user00022255	1.0	0.0	1.0	0.0	1.0
2010	user00082218	1.0	1.0	0.0	1.0	0.0
2010	user00051073	2.0	1.0	1.0	0.5	0.5
2010	user00119146	1.0	0.0	1.0	0.0	1.0
2010	user00069806	2.0	1.0	1.0	0.5	0.5
2010	user00372881	2.0	0.0	2.0	0.0	1.0
2010	user00340456	3.0	3.0	0.0	1.0	0.0
2010	user00066194	2.0	0.0	2.0	0.0	1.0
2010	user00098378	2.0	0.0	2.0	0.0	1.0
2010	user00016779	1.0	1.0	0.0	1.0	0.0
2010	user00005542	1.0	0.0	1.0	0.0	1.0
2010	user00007657	3.0	0.0	3.0	0.0	1.0
2010	user00145217	1.0	0.0	1.0	0.0	1.0
2010	user00012288	1.0	0.0	1.0	0.0	1.0
2010	user00105424	1.0	0.0	1.0	0.0	1.0
2010	user00028815	4.0	0.0	4.0	0.0	1.0
2010	user00145789	1.0	0.0	1.0	0.0	1.0
2010	user00067370	2.0	0.0	2.0	0.0	1.0
2010	user00163567	1.0	1.0	0.0	1.0	0.0
2010	user00000421	1.0	0.0	1.0	0.0	1.0
2010	user00055997	4.0	0.0	4.0	0.0	1.0
2010	user00118281	1.0	0.0	1.0	0.0	1.0
2010	user00022784	1.0	0.0	1.0	0.0	1.0
2010	user00035313	1.0	0.0	1.0	0.0	1.0
2010	user00015239	1.0	1.0	0.0	1.0	0.0
2010	user00258375	1.0	0.0	1.0	0.0	1.0
2010	user00054925	1.0	1.0	0.0	1.0	0.0
2010	user00109784	1.0	0.0	1.0	0.0	1.0
2010	user00042479	1.0	0.0	1.0	0.0	1.0
2010	user00109713	4.0	1.0	3.0	0.25	0.75
2010	user00322175	1.0	0.0	1.0	0.0	1.0
2010	user00139270	2.0	1.0	1.0	0.5	0.5
2010	user00006289	3.0	0.0	3.0	0.0	1.0
2010	user00203243	1.0	1.0	0.0	1.0	0.0
2010	user00091039	1.0	0.0	1.0	0.0	1.0
2010	user00061075	1.0	0.0	1.0	0.0	1.0
2010	user00006074	1.0	0.0	1.0	0.0	1.0
2010	user00334108	1.0	0.0	1.0	0.0	1.0
2010	user00020534	2.0	0.0	2.0	0.0	1.0
2010	user00037481	1.0	0.0	1.0	0.0	1.0
2010	user00020015	2.0	2.0	0.0	1.0	0.0
2010	user00014674	1.0	0.0	1.0	0.0	1.0
2010	user00021855	2.0	0.0	2.0	0.0	1.0
2010	user00010814	1.0	0.0	1.0	0.0	1.0
2010	user00035323	1.0	0.0	1.0	0.0	1.0
2010	user00055097	1.0	0.0	1.0	0.0	1.0
2010	user00007666	2.0	0.0	2.0	0.0	1.0
2010	user00038298	1.0	0.0	1.0	0.0	1.0
2010	user00009302	1.0	0.0	1.0	0.0	1.0
2010	user00008132	1.0	0.0	1.0	0.0	1.0
2010	user00372647	1.0	0.0	1.0	0.0	1.0
2010	user00025719	2.0	0.0	2.0	0.0	1.0
2010	user00012823	1.0	1.0	0.0	1.0	0.0
2010	user00079587	1.0	0.0	1.0	0.0	1.0
2010	user00043431	1.0	1.0	0.0	1.0	0.0
2010	user00086968	1.0	1.0	0.0	1.0	0.0
2010	user00217625	1.0	1.0	0.0	1.0	0.0
2010	user00264026	1.0	0.0	1.0	0.0	1.0
2010	user00021067	1.0	0.0	1.0	0.0	1.0
2010	user00042935	1.0	0.0	1.0	0.0	1.0
2010	user00012111	2.0	0.0	2.0	0.0	1.0
2010	user00052596	1.0	0.0	1.0	0.0	1.0
2010	user00006299	1.0	0.0	1.0	0.0	1.0
2010	user00041583	1.0	0.0	1.0	0.0	1.0
2010	user00032248	1.0	0.0	1.0	0.0	1.0
2010	user00069838	1.0	0.0	1.0	0.0	1.0
2010	user00270074	1.0	1.0	0.0	1.0	0.0
2010	user00034509	1.0	0.0	1.0	0.0	1.0
2010	user00001400	1.0	0.0	1.0	0.0	1.0
2010	user00098293	1.0	0.0	1.0	0.0	1.0
2010	user00197803	1.0	0.0	1.0	0.0	1.0
2010	user00235776	1.0	0.0	1.0	0.0	1.0
2010	user00014636	2.0	0.0	2.0	0.0	1.0
2010	user00101317	3.0	0.0	3.0	0.0	1.0
2010	user00055689	4.0	0.0	4.0	0.0	1.0
2010	user00170750	5.0	0.0	5.0	0.0	1.0
2010	user00266243	13.0	13.0	0.0	1.0	0.0
2010	user00012060	1.0	0.0	1.0	0.0	1.0
2010	user00031998	16.0	3.0	13.0	0.1875	0.8125
2010	user00013476	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	user00035993	10.0	10.0	0.0	1.0	0.0
2010	user00097396	7.0	4.0	3.0	0.5714285714285714	0.42857142857142855
2010	user00224680	1.0	0.0	1.0	0.0	1.0
2010	user00025071	2.0	2.0	0.0	1.0	0.0
2010	user00038964	3.0	0.0	3.0	0.0	1.0
2010	user00082202	2.0	2.0	0.0	1.0	0.0
2010	user00168730	1.0	0.0	1.0	0.0	1.0
2010	user00003897	3.0	0.0	3.0	0.0	1.0
2010	user00035010	1.0	0.0	1.0	0.0	1.0
2010	user00106178	1.0	0.0	1.0	0.0	1.0
2010	user00030024	2.0	0.0	2.0	0.0	1.0
2010	user00373855	2.0	0.0	2.0	0.0	1.0
2010	user00147449	1.0	0.0	1.0	0.0	1.0
2010	user00023271	8.0	0.0	8.0	0.0	1.0
2010	user00027086	1.0	0.0	1.0	0.0	1.0
2010	user00182775	1.0	0.0	1.0	0.0	1.0
2010	user00001429	1.0	0.0	1.0	0.0	1.0
2010	user00003650	2.0	1.0	1.0	0.5	0.5
2010	user00074605	1.0	0.0	1.0	0.0	1.0
2010	user00009869	2.0	0.0	2.0	0.0	1.0
2010	user00049694	1.0	0.0	1.0	0.0	1.0
2010	user00000379	1.0	0.0	1.0	0.0	1.0
2010	user00011432	2.0	0.0	2.0	0.0	1.0
2010	user00001330	1.0	0.0	1.0	0.0	1.0
2010	user00085462	1.0	0.0	1.0	0.0	1.0
2010	user00101174	1.0	0.0	1.0	0.0	1.0
2010	user00031297	1.0	1.0	0.0	1.0	0.0
2010	user00113483	2.0	0.0	2.0	0.0	1.0
2010	user00070413	1.0	0.0	1.0	0.0	1.0
2010	user00047377	25.0	25.0	0.0	1.0	0.0
2010	user00162938	1.0	0.0	1.0	0.0	1.0
2010	user00055053	4.0	0.0	4.0	0.0	1.0
2010	user00038621	1.0	0.0	1.0	0.0	1.0
2010	user00153873	28.0	28.0	0.0	1.0	0.0
2010	user00276571	3.0	3.0	0.0	1.0	0.0
2010	user00229565	1.0	1.0	0.0	1.0	0.0
2010	user00369382	8.0	8.0	0.0	1.0	0.0
2010	user00103077	1.0	1.0	0.0	1.0	0.0
2010	user00114615	1.0	1.0	0.0	1.0	0.0
2010	user00001543	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	user00066573	1.0	0.0	1.0	0.0	1.0
2010	user00054913	1.0	1.0	0.0	1.0	0.0
2010	user00003853	1.0	0.0	1.0	0.0	1.0
2010	user00023148	1.0	1.0	0.0	1.0	0.0
2010	user00102984	1.0	0.0	1.0	0.0	1.0
2010	user00003329	2.0	1.0	1.0	0.5	0.5
2010	user00023537	1.0	1.0	0.0	1.0	0.0
2010	user00032356	1.0	0.0	1.0	0.0	1.0
2010	user00007675	2.0	1.0	1.0	0.5	0.5
2010	user00012311	1.0	0.0	1.0	0.0	1.0
2010	user00017702	5.0	0.0	5.0	0.0	1.0
2010	user00168556	1.0	0.0	1.0	0.0	1.0
2010	user00045340	2.0	0.0	2.0	0.0	1.0
2010	user00000185	1.0	0.0	1.0	0.0	1.0
2010	user00087197	1.0	0.0	1.0	0.0	1.0
2010	user00010727	1.0	0.0	1.0	0.0	1.0
2010	user00001002	1.0	0.0	1.0	0.0	1.0
2010	user00004633	1.0	1.0	0.0	1.0	0.0
2010	user00002113	1.0	0.0	1.0	0.0	1.0
2010	user00112654	1.0	1.0	0.0	1.0	0.0
2010	user00005281	1.0	0.0	1.0	0.0	1.0
2010	user00004396	1.0	0.0	1.0	0.0	1.0
2010	user00000322	5.0	0.0	5.0	0.0	1.0
2010	user00225303	5.0	0.0	5.0	0.0	1.0
2010	user00055076	7.0	0.0	7.0	0.0	1.0
2010	user00013141	1.0	0.0	1.0	0.0	1.0
2010	user00082206	1.0	0.0	1.0	0.0	1.0
2010	user00003830	1.0	0.0	1.0	0.0	1.0
2010	user00048245	1.0	0.0	1.0	0.0	1.0
2010	user00001474	1.0	0.0	1.0	0.0	1.0
2010	user00072591	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	user00011714	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	user00015851	2.0	0.0	2.0	0.0	1.0
2010	user00003709	1.0	0.0	1.0	0.0	1.0
2010	user00052057	1.0	1.0	0.0	1.0	0.0
2010	user00017337	1.0	0.0	1.0	0.0	1.0
2010	user00071789	1.0	0.0	1.0	0.0	1.0
2010	user00114641	1.0	0.0	1.0	0.0	1.0
2010	user00071392	4.0	0.0	4.0	0.0	1.0
2010	user00086922	1.0	1.0	0.0	1.0	0.0
2010	user00017621	2.0	0.0	2.0	0.0	1.0
2010	user00011277	2.0	2.0	0.0	1.0	0.0
2010	user00065579	1.0	1.0	0.0	1.0	0.0
2010	user00114366	1.0	0.0	1.0	0.0	1.0
2010	user00010975	2.0	0.0	2.0	0.0	1.0
2010	user00020092	1.0	0.0	1.0	0.0	1.0
2010	user00042067	1.0	1.0	0.0	1.0	0.0
2010	user00067167	1.0	0.0	1.0	0.0	1.0
2010	user00349795	1.0	1.0	0.0	1.0	0.0
2010	user00037468	3.0	0.0	3.0	0.0	1.0
2010	user00000263	4.0	0.0	4.0	0.0	1.0
2010	user00011282	1.0	0.0	1.0	0.0	1.0
2010	user00046700	1.0	0.0	1.0	0.0	1.0
2010	user00051468	1.0	1.0	0.0	1.0	0.0
2010	user00374177	2.0	0.0	2.0	0.0	1.0
2010	user00050297	1.0	0.0	1.0	0.0	1.0
2010	user00024131	2.0	0.0	2.0	0.0	1.0
2010	user00019646	2.0	0.0	2.0	0.0	1.0
2010	user00012658	3.0	0.0	3.0	0.0	1.0
2010	user00263372	1.0	1.0	0.0	1.0	0.0
