period	username	total	v1abs	v2abs	v1rel	v2rel
2020	user00005531	9.0	0.0	9.0	0.0	1.0
2020	user00169855	10.0	0.0	10.0	0.0	1.0
2020	user00093549	1.0	0.0	1.0	0.0	1.0
2020	user00065796	1.0	0.0	1.0	0.0	1.0
2020	user00003581	9.0	0.0	9.0	0.0	1.0
2020	user00002190	3.0	0.0	3.0	0.0	1.0
2020	user00011634	1.0	0.0	1.0	0.0	1.0
2020	user00045248	1.0	0.0	1.0	0.0	1.0
2020	user00040306	7.0	4.0	3.0	0.5714285714285714	0.42857142857142855
2020	user00254088	1.0	0.0	1.0	0.0	1.0
2020	user00259959	4.0	0.0	4.0	0.0	1.0
2020	user00221346	2.0	0.0	2.0	0.0	1.0
2020	user00090939	3.0	0.0	3.0	0.0	1.0
2020	user00265792	4.0	0.0	4.0	0.0	1.0
2020	user00202357	5.0	0.0	5.0	0.0	1.0
2020	user00251434	11.0	0.0	11.0	0.0	1.0
2020	user00064864	1.0	0.0	1.0	0.0	1.0
2020	user00257251	6.0	0.0	6.0	0.0	1.0
2020	user00059446	2.0	0.0	2.0	0.0	1.0
2020	user00179652	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2020	user00246571	4.0	0.0	4.0	0.0	1.0
2020	user00015175	2.0	0.0	2.0	0.0	1.0
2020	user00256262	4.0	0.0	4.0	0.0	1.0
2020	user00080682	1.0	0.0	1.0	0.0	1.0
2020	user00253152	1.0	0.0	1.0	0.0	1.0
2020	user00009013	6.0	0.0	6.0	0.0	1.0
2020	user00077205	3.0	0.0	3.0	0.0	1.0
2020	user00061543	2.0	0.0	2.0	0.0	1.0
2020	user00072639	1.0	0.0	1.0	0.0	1.0
2020	user00122703	2.0	0.0	2.0	0.0	1.0
2020	user00184458	11.0	0.0	11.0	0.0	1.0
2020	user00058106	1.0	0.0	1.0	0.0	1.0
2020	user00206132	2.0	0.0	2.0	0.0	1.0
2020	user00079328	15.0	0.0	15.0	0.0	1.0
2020	user00002736	5.0	0.0	5.0	0.0	1.0
2020	user00303221	8.0	0.0	8.0	0.0	1.0
2020	user00002438	10.0	0.0	10.0	0.0	1.0
2020	user00117010	1.0	0.0	1.0	0.0	1.0
2020	user00007911	4.0	0.0	4.0	0.0	1.0
2020	user00253099	5.0	0.0	5.0	0.0	1.0
2020	user00264497	1.0	0.0	1.0	0.0	1.0
2020	user00001793	4.0	0.0	4.0	0.0	1.0
2020	user00057869	1.0	0.0	1.0	0.0	1.0
2020	user00016724	7.0	0.0	7.0	0.0	1.0
2020	user00017173	2.0	0.0	2.0	0.0	1.0
2020	user00262068	2.0	0.0	2.0	0.0	1.0
2020	user00252956	1.0	0.0	1.0	0.0	1.0
2020	user00263841	12.0	0.0	12.0	0.0	1.0
2020	user00072734	3.0	0.0	3.0	0.0	1.0
2020	user00067782	1.0	0.0	1.0	0.0	1.0
2020	user00004982	2.0	0.0	2.0	0.0	1.0
2020	user00053286	3.0	0.0	3.0	0.0	1.0
2020	user00253433	4.0	0.0	4.0	0.0	1.0
2020	user00118947	1.0	0.0	1.0	0.0	1.0
2020	user00064006	18.0	0.0	18.0	0.0	1.0
2020	user00179486	2.0	0.0	2.0	0.0	1.0
2020	user00022185	2.0	0.0	2.0	0.0	1.0
2020	user00120915	2.0	0.0	2.0	0.0	1.0
2020	user00028819	1.0	0.0	1.0	0.0	1.0
2020	user00256453	2.0	0.0	2.0	0.0	1.0
2020	user00210092	1.0	0.0	1.0	0.0	1.0
