period	username	total	v1abs	v2abs	v1rel	v2rel
2005	user00045852	14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
2005	user00219689	4.0	1.0	3.0	0.25	0.75
2005	user00001171	19.0	2.0	17.0	0.10526315789473684	0.8947368421052632
2005	user00079203	9.0	0.0	9.0	0.0	1.0
2005	user00079729	4.0	1.0	3.0	0.25	0.75
2005	user00051066	5.0	1.0	4.0	0.2	0.8
2005	user00086306	1.0	1.0	0.0	1.0	0.0
2005	user00017213	2.0	0.0	2.0	0.0	1.0
2005	user00370123	12.0	9.0	3.0	0.75	0.25
2005	user00020257	2.0	2.0	0.0	1.0	0.0
2005	user00215103	1.0	0.0	1.0	0.0	1.0
2005	user00056889	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
2005	user00000323	29.0	28.0	1.0	0.9655172413793104	0.034482758620689655
2005	user00201390	1.0	1.0	0.0	1.0	0.0
2005	user00069613	1.0	0.0	1.0	0.0	1.0
2005	user00056725	2.0	2.0	0.0	1.0	0.0
2005	user00019334	55.0	43.0	12.0	0.7818181818181819	0.21818181818181817
2005	user00000320	28.0	25.0	3.0	0.8928571428571429	0.10714285714285714
2005	user00002931	2.0	0.0	2.0	0.0	1.0
2005	user00035276	7.0	6.0	1.0	0.8571428571428571	0.14285714285714285
2005	user00000680	2.0	0.0	2.0	0.0	1.0
2005	user00028505	8.0	4.0	4.0	0.5	0.5
2005	user00178898	7.0	0.0	7.0	0.0	1.0
2005	user00000271	8.0	7.0	1.0	0.875	0.125
2005	user00106245	10.0	10.0	0.0	1.0	0.0
2005	user00136297	6.0	0.0	6.0	0.0	1.0
2005	user00051692	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2005	user00005682	11.0	10.0	1.0	0.9090909090909091	0.09090909090909091
2005	user00016708	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2005	user00011434	1.0	0.0	1.0	0.0	1.0
2005	user00130639	5.0	5.0	0.0	1.0	0.0
2005	user00012334	10.0	4.0	6.0	0.4	0.6
2005	user00133326	1.0	0.0	1.0	0.0	1.0
2005	user00023748	3.0	0.0	3.0	0.0	1.0
2005	user00355279	5.0	5.0	0.0	1.0	0.0
2005	user00097340	1.0	0.0	1.0	0.0	1.0
2005	user00316058	2.0	2.0	0.0	1.0	0.0
2005	user00162112	2.0	2.0	0.0	1.0	0.0
2005	user00240670	9.0	8.0	1.0	0.8888888888888888	0.1111111111111111
2005	user00002217	5.0	2.0	3.0	0.4	0.6
2005	user00019996	3.0	0.0	3.0	0.0	1.0
2005	user00047283	1.0	0.0	1.0	0.0	1.0
2005	user00027373	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2005	user00100710	2.0	1.0	1.0	0.5	0.5
2005	user00134141	1.0	1.0	0.0	1.0	0.0
2005	user00033728	4.0	1.0	3.0	0.25	0.75
2005	user00030147	6.0	4.0	2.0	0.6666666666666666	0.3333333333333333
2005	user00059674	13.0	13.0	0.0	1.0	0.0
2005	user00075110	3.0	0.0	3.0	0.0	1.0
2005	user00105910	3.0	0.0	3.0	0.0	1.0
2005	user00079204	2.0	1.0	1.0	0.5	0.5
2005	user00013518	2.0	0.0	2.0	0.0	1.0
2005	user00062896	2.0	1.0	1.0	0.5	0.5
2005	user00093404	1.0	0.0	1.0	0.0	1.0
2005	user00083320	1.0	1.0	0.0	1.0	0.0
2005	user00031455	1.0	0.0	1.0	0.0	1.0
2005	user00129639	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2005	user00473881	1.0	0.0	1.0	0.0	1.0
2005	user00170974	1.0	1.0	0.0	1.0	0.0
2005	user00216321	1.0	0.0	1.0	0.0	1.0
2005	user00281694	1.0	0.0	1.0	0.0	1.0
2005	user00196707	2.0	2.0	0.0	1.0	0.0
2005	user00160004	1.0	0.0	1.0	0.0	1.0
2005	user00473865	2.0	1.0	1.0	0.5	0.5
2005	user00075214	1.0	0.0	1.0	0.0	1.0
2005	user00099128	1.0	1.0	0.0	1.0	0.0
2005	user00181822	1.0	0.0	1.0	0.0	1.0
2005	user00008603	1.0	1.0	0.0	1.0	0.0
2005	user00017684	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2005	user00197011	1.0	0.0	1.0	0.0	1.0
2005	user00022442	3.0	3.0	0.0	1.0	0.0
